AET,241,0.0,0.0,63.91,63.389999
BA,241,0.0,0.0,104.919998,103.919998
CPB,241,0.5817086374982926,2.1853903850667753,43.290001,43.18
DLTR.O,241,0.34760971265398666,1.4096268952293336,53.18,52.700001
EOG,241,0.0,0.0,157.5,157.050003
FB.O,241,0.11051709180756478,0.09048374180359596,42.02,41.290001
GM,241,0.35479764343959874,0.25422989241919236,34.5,34.080002
GS,241,0.7070728839477639,3.1900596380233077,153.770004,152.130005
JNJ,241,0.40495764227280096,0.22224546620451535,86.779999,86.410004
M,241,0.34760971265398666,1.4096268952293336,44.68,44.43
MSFT.O,241,0.35946317129377725,1.7804327427939743,33.369999,33.400002
TGT,241,0.649238193904835,0.38599161682011174,63.25,63.310001
VZ,241,2.3621228479934,1.4424675960583344,47.830002,47.380001
WMT,241,0.0,0.0,72.639999,72.980003
BA,245,0.22224546620451535,0.40495764227280096,105.129997,105.010002
BMY,245,0.32928698165641584,1.0932712802343052,42.009998,41.720001
CBS,245,0.0,0.0,52.619999,53.5
VZ,245,1.0992885758486295,1.3641451769647943,45.52,46.009998
AMGN.O,246,0.244280551632034,0.1637461506155964,111.32,113.019997
AAPL.O,246,0.22224546620451535,0.40495764227280096,499.560005,498.690025
BAC,246,0.0,0.0,14.21,14.32
HRB,246,0.26812801841425576,0.5967298790565082,27.1,27.700001
BA,246,2.4863573903653613,1.3221624327381665,105.050003,106.370003
BMY,246,0.22224546620451535,0.40495764227280096,41.75,41.990002
CBS,246,0.6671837256838968,1.813593397770141,54.099998,54.599998
CVX,246,0.0,0.0,120.349998,120.860001
C,246,0.0,0.0,49.310001,49.599998
FB.O,246,0.3032653298563167,0.8243606353500641,42.009998,41.779999
GS,246,0.0,0.0,154.759995,155.740005
LLY,246,0.22224546620451535,0.40495764227280096,51.360001,52.18
LMT,246,0.5713933482705724,1.4210905144065724,123.349998,124.269997
MSFT.O,246,1.4563986230142432,4.06190020159387,31.389999,31.200001
MS,246,0.3274923012311928,0.488561103264068,26.27,26.51
VZ,246,1.0391091151267586,2.7686471972652393,45.709999,46.779999
VIAB.O,246,0.22224546620451535,0.40495764227280096,79.690002,80.099998
WFC,246,1.0932712802343052,0.32928698165641584,41.360001,41.5
AAPL.O,247,1.4655828136160822,3.5099022326658247,500.250008,495.269974
BCR,247,0.22224546620451535,0.40495764227280096,116.459999,116.779999
HRB,247,0.0,0.0,27.68,27.040001
BA,247,1.1268487014609851,1.0871830024536098,106.160004,106.650002
CHK,247,0.09048374180359596,0.11051709180756478,26.18,26.170001
COP,247,0.36591269376653923,2.213642800041255,67.660004,67.769997
DAL,247,1.4792628970544168,0.9785251755612507,20.33,20.25
DG,247,0.38599161682011174,0.649238193904835,56.580002,57.380001
XOM,247,0.1637461506155964,0.244280551632034,88.059998,87.349998
F,247,1.4096268952293336,0.34760971265398666,17.1,17.299999
GS,247,0.11051709180756478,0.09048374180359596,155.990005,156.169998
LMT,247,0.7639366344367052,0.8440700344525806,123.580002,124.139999
MU.O,247,0.0,0.0,14.95,15.17
MSFT.O,247,3.193203614936134,1.480872129104082,31.1,31.23
NWSA.DF,247,0.09048374180359596,0.11051709180756478,15.97,16.24
NWS.O,247,0.09048374180359596,0.11051709180756478,16.200001,16.389999
PG,247,0.6585739633128317,2.1865425604686104,77.580002,77.139999
QCOM.O,247,0.5770431096441141,0.6591875346919933,67.330002,67.830002
VZ,247,0.09048374180359596,0.11051709180756478,47.110001,46.639999
WMB,247,0.9449011653032021,0.5185727544772025,35.240002,35.130001
AAPL.O,248,0.634816605279011,1.095811860760852,498.43998,498.220001
T,248,0.6872136208601042,0.37864511022182057,33.5,33.41
ADP.O,248,0.6137824216638815,1.11484437715366,72.450004,73.130005
BBY,248,0.09048374180359596,0.11051709180756478,37.360001,37.02
BA,248,0.0,0.0,107.0,106.07
COST.O,248,0.7869259594911536,0.6442804834308056,114.300003,114.349998
FB.O,248,0.38599161682011174,0.649238193904835,43.09,43.950001
GPS,248,0.09048374180359596,0.11051709180756478,40.82,40.389999
GS,248,0.09048374180359596,0.11051709180756478,156.979996,156.660004
JPM,248,0.1637461506155964,0.244280551632034,52.41,52.560001
M,248,0.35946317129377725,1.7804327427939743,46.099998,45.080002
MSFT.O,248,0.4444909324090307,0.8099152845456019,31.309999,31.15
MS,248,0.0,0.0,26.83,26.809999
MSI,248,0.4444909324090307,0.8099152845456019,56.169998,56.470001
VZ,248,0.11051709180756478,0.09048374180359596,47.009998,46.34
WMT,248,0.0,0.0,72.699997,72.589996
GS,251,0.3032653298563167,0.8243606353500641,157.410004,159.490005
MS,251,0.3032653298563167,0.8243606353500641,26.959999,27.440001
JWN,251,0.1637461506155964,0.244280551632034,56.66,56.580002
AXP,252,0.0,0.0,74.220001,74.599998
APA,252,0.09048374180359596,0.11051709180756478,87.650002,87.260002
AAPL.O,252,4.542287471252899,4.653776619393169,506.199997,494.639999
BAC,252,0.22224546620451535,0.40495764227280096,14.52,14.61
BA,252,1.1482623269174395,1.766356940921362,107.639999,108.169998
CVX,252,0.0,0.0,122.82,123.010002
CMCSA.O,252,0.0,0.0,42.450001,42.84
FE,252,0.11051709180756478,0.09048374180359596,37.400002,37.869999
GM,252,0.09048374180359596,0.11051709180756478,36.939999,37.0
GS,252,0.48423281346350866,1.0453948189651936,162.979996,165.139999
HCA,252,0.34760971265398666,1.4096268952293336,39.029999,39.34
JEC,252,1.112204613136874,0.580857226422367,58.869999,58.509998
JPM,252,1.9351362776457783,5.2415947038117485,53.830002,53.669998
