AMZN.O,UPDATE 1-Amazon launches 'try-before-you-buy' fashion service June 20 Amazon.com Inc wants to turn your living room into a fitting room. ~Whole Foods CEO hints at another brand under Amazon After Amazon.com Inc  completes its takeover of high-end grocer Whole Foods Market Inc , it might launch another brand with different standards, the grocery chain's chief executive said in remarks reported in a securities filing on Monday. ~UPDATE 2-Whole Foods CEO hints at another brand under Amazon June 19 After Amazon.com Inc completes its takeover of high-end grocer Whole Foods Market Inc, it might launch another brand with different standards, the grocery chain's chief executive said in remarks reported in a securities filing on Monday. ~Whole Foods CEO says brand's standards intact under Amazon June 19 Whole Foods Market Inc will keep its quality standards if Amazon.com Inc's $13.7 billion purchase goes through -- though in the future the company might introduce a different brand with different standards, according to a filing on Monday. ~
AAPL.O,Apple tells court Qualcomm chip licenses are invalid June 20 Apple Inc broadened a legal attack on Qualcomm Inc, arguing to a U.S. federal court that license agreements that secure the chip maker a cut of every iPhone manufactured were invalid. ~
BLK,BRIEF-BlackRock's Emily Fletchter comments on MSCI decision on Argentina, Saudi Arabia * Says decision by MSCI to not upgrade Argentina to Emerging Markets status may be a disappointment to some market participants ~BRIEF-John Varley steps down from BlackRock board * John Varley steps down from BlackRock board of directors Source text for Eikon: Further company coverage: ~BlackRock takes Scalable Capital stake in Europe 'robo-advisor' push LONDON/NEW YORK BlackRock , the world's biggest asset manager, made its first push into Europe's "robo-advice" market on Tuesday after taking a stake in Anglo-German digital investment manager Scalable Capital. ~PRESS DIGEST- Financial Times - June 20 June 20 The following are the top stories in the Financial Times. Reuters has not verified these stories and does not vouch for their accuracy. ~
BA,Boeing's defense unit seeks franchise-level win: executive PARIS Boeing Co, the world's largest plane maker, is banking on the recent reorganization of its defense arm to deliver a large U.S. defense contract win, the CEO of the unit said Tuesday. ~AIRSHOW-Boeing's defence unit seeks franchise-level win - executive PARIS, June 20 Boeing Co, the world's largest plane maker, is banking on the recent reorganization of its defence arm to deliver a large U.S. defence contract win, the CEO of the unit said Tuesday. ~AIRSHOW-Ethiopian Airlines in jet deals with Boeing, Airbus, Bombardier ADDIS ABABA, June 20 Ethiopian Airlines has placed an order for 10 Airbus A350-900 passenger jets, it said on Tuesday, in addition to at least another 10 it already has on order. ~Boeing upbeat on mid-market jet, sees composite fuselage PARIS Boeing's head of airplane developments said on Tuesday he was "very optimistic" that the world's largest planemaker would close the business for a new mid-market jet designed to open up new routes from the middle of the next decade. ~BRIEF-Boeing, Ethiopian Airlines sign commitment to purchase two 777 Freighters * Boeing, Ethiopian Airlines sign commitment to purchase two 777 Freighters ~Airbus, Boeing commercial aircraft deals at Paris Airshow Following is a summary of commercial aircraft deals announced by Airbus  and Boeing  at the Paris Airshow: ~Boeing launches new jet with flurry of orders PARIS Boeing  unveiled a new version of its bestselling 737 aircraft on Monday, injecting life into a faltering civil aviation market as French President Emmanuel Macron flew in to open the world's biggest air show in Paris. | Video  ~BRIEF-Boeing's Aviall enters parts agreement with GE Aviation for F110 Engine * Through Aviall enters exclusive aftermarket distribution agreement with ge aviation for spare parts supporting F110-100 and F110-129 engines ~BRIEF-Boeing, Japan Investment Adviser announce commitment for 10 737 max 8 airplanes * Boeing, Japan Investment Adviser announce commitment for 10 737 max 8 airplanes ~
CSCO.O,Cisco adds subscription services to its core networking business SAN FRANCISCO, June 20 Cisco Systems Inc's core networking business on Tuesday took its first step into the market of subscription services, announcing a suite of new security and automation tools for big businesses. ~
COP,Cenovus to face investors amid rift after share decline CALGARY, Alberta, June 20 Cenovus Energy Inc will seek on Tuesday to convince investors of the value of an unpopular acquisition this year amid continuing skepticism from shareholders. ~
FDX,UPDATE 2-FedEx forecasts higher profit for FY 2018 * Says no final decision on additional peak pricing changes (Adds details from conference call, analyst comment; updates shares) ~BRIEF-FedEx Q4 adjusted earnings per share $4.25 * FedEx Corp. Reports record fourth quarter and full-year earnings ~FedEx reports quarterly profit June 20 Package delivery company FedEx Corp reported a quarterly profit compared with loss in the year-ago period, boosted by higher sales across all its business units. ~
F,UPDATE 7-Ford bets on low oil prices, moves Focus production to China DETROIT/WASHINGTON, June 20 Ford Motor Co said on Tuesday it will move some production of its Focus small car to China and import the vehicles to the United States in a long-term bet on low oil prices and stable U.S.-China trade relations despite recent tensions. ~Business Watch: For bets on China, not Mexico Ford said it will move some production of its Focus model to China, suggesting the world's second-largest economy - and not Mexico - could play a much larger role in future vehicle production for North America. Back in January, U.S. President Trump had slammed Ford for shipping small-car manufacturing to Mexico. ~Ford Mexico sees no immediate impact on jobs after China Focus announcement MEXICO CITY Ford Motor Co said on Tuesday it expects no immediate impact on employment levels due to the carmaker's announcement it would be exporting its next-generation Focus compact car from China to North America in 2019, rather than Mexico. ~Ford Mexico sees no immediate impact on jobs after China Focus announcement MEXICO CITY, June 20 Ford Motor Co said on Tuesday it expects no immediate impact on employment levels due to the carmaker's announcement it would be exporting its next-generation Focus compact car from China to North America in 2019, rather than Mexico. ~Ford says new Focus cars to be initially sourced from China June 20 Ford Motor Co said on Tuesday it would begin production of its next-generation Focus small car in the second half of 2019 and most of the cars for the North American market would be initially sourced from China. ~
GE,BRIEF-General Electric signs services agreement with Jordan’s Samra Electric Power Company * General Electric Co signs a multi-year services agreement with Jordan’s samra electric power company ~BRIEF-General Electric says West Atlantic to lease four 737-800 Boeing converted freighters from GE Capital * General Electric Co - West Atlantic to lease four 737-800 Boeing converted freighters from  GE Capital Aviation Services ~
GS,MOVES-Goldman Sachs hires Jeff Douthit from Credit Suisse NEW YORK, June 20 (IFR) - Goldman Sachs poached Jeff Douthit from rival Credit Suisse naming him head of global business and consumer services, according to an internal memo. ~
INTC.O,Continental joins BMW, Intel, Mobileye platform for self-driving cars BERLIN, June 20 Continental said on Tuesday it would join a self-driving platform developed by BMW , Intel and Mobileye with the German auto parts and tyre maker handling integration of components and software. ~
JPM,JPMorgan asset manager neutral on Italian bonds - CIO to Reuters MILAN, June 20 The asset management arm of JPMorgan has a neutral position on Italian government bonds with a bias to buy more if cross-country yield spreads widen, the chief investment officer for fixed-income assets said. ~
LEN,UPDATE 2-Lennar's handy profit beat highlights strong spring selling season June 20 Lennar Corp reported a higher-than-expected quarterly profit on Tuesday, as it sold more homes at higher prices during the crucial spring selling season, boding well for rivals D.R. Horton Inc and PulteGroup Inc. ~CORRECTED-Lennar's quarterly revenue rises 18.8 pct on higher home sales June 20 Lennar Corp, the No. 2 U.S. homebuilder, reported an 18.8 percent rise in quarterly revenue on Tuesday, as it sold more homes at higher prices and orders rose 11.8 percent. ~
LMT,AIRSHOW-Germany aims to finish missile defence deal with MBDA, Lockheed by year end -ministry PARIS, June 20 The German government hopes to complete negotiations with European weapons maker MBDA and its U.S. partner, Lockheed Martin Corp about a multi-billion euro missile defence system by year-end, a ministry spokesman said on Tuesday. ~Lockheed launches new version of Super Hercules aircraft Lockheed Martin Corp  launched on Tuesday a new version of its Super Hercules military transport aircraft at the Paris Air Show, meant for use in special operations. ~AIRSHOW-Lockheed launches new version of Super Hercules aircraft June 20    Lockheed Martin Corp launched on Tuesday a new version of its Super Hercules military transport aircraft at the Paris Air Show, meant for use in special operations. ~BRIEF-Hybrid Air Freighters signs LOI to purchase lockheed Martin hybrid airships * Hybrid Air Freighters signs letter of intent to purchase Lockheed Martin hybrid airships ~Air Force to resume F-35 operations after suspension at Arizona base The U.S. Air Force said on Monday it will resume local flying operations of Lockheed Martin Corp's F-35 jets at Luke Air Force base in Arizona after an 11-day suspension. ~Air Force to resume F-35 operations after suspension at Arizona base June 19 The U.S. Air Force said on Monday it will resume local flying operations of Lockheed Martin Corp's F-35 jets at Luke Air Force base in Arizona after an 11-day suspension. ~
M,UPDATE 1-Amazon launches 'try-before-you-buy' fashion service June 20 Amazon.com Inc wants to turn your living room into a fitting room. ~
