BA,Iran says Boeing to provide financing for firm's first six planes: Fars news agency BEIRUT Boeing has agreed to provide financing for the first six planes it sells to Iran, Iran Air chief Executive Farhad Parvaresh was quoted as saying by Fars news agency on Tuesday. ~Market taking Trump promises seriously, threats not literally: James Saft The stock market is taking U.S. President-elect Donald Trump’s promises of benefits like tax breaks seriously, but aren’t taking his Twitter threats and grandstanding literally. ~Fed turns to Trump agenda with rate hike nearly in the bag WASHINGTON The Federal Reserve inaugurates the Trump era this week with a near-certain interest rate increase and new economic forecasts providing a first glimpse into whether the U.S. election has reshaped the central bank's growth and inflation outlook. | Video  ~
XOM,UAE's ADNOC to cut January oil supplies to Asia; Kuwait, Oman to follow SINGAPORE/DUBAI Abu Dhabi National Oil Company on Tuesday said it would cut crude supplies by 3-5 percent across its three export grades to meet commitments under an OPEC deal to curb output. ~Trump to name Exxon Mobil CEO Tillerson as U.S. secretary of state: Fox News U.S. President-elect Donald Trump will name Exxon Mobil Corp Chief Executive Officer Rex Tillerson as his choice for secretary of state, Fox News reported on Monday, citing unnamed sources. ~
GM,GM delivers its first Bolt electric car in Tesla's backyard General Motors Co  on Tuesday said it delivered its first Chevrolet Bolt electric cars to three customers in Fremont, California, home to rival electric automaker Tesla Motors Inc's  assembly plant. ~Factbox: U.S. companies bet on stable China relations In the more than four decades since President Richard Nixon’s historic trip to China, the United States has become China’s largest export and China is one of the largest markets for U.S. exporters and a source of supply for everything from smartphones to spark plugs. ~
GS,Trump taps Goldman Sachs executive Cohn for key economic post WASHINGTON U.S. President-elect Donald Trump on Monday said he would appoint Goldman Sachs Group Inc President and Chief Operating Officer Gary Cohn to head the White House National Economic Council, a group that coordinates economic policy across agencies. ~
MSFT.O,Factbox: Trump meetings include rapper Kanye West, Microsoft founder Bill Gates Donald Trump is holding a new round of meetings on Tuesday as he continues to form his administration before taking over from Democratic President Barack Obama on Jan. 20. ~
