AET,BRIEF-Aetna sets quarterly cash dividend of $0.50 per share * Sets quarterly cash dividend of $0.50 per share Source text for Eikon: Further company coverage: ~
AIG,Companies use kidnap insurance to guard against ransomware attacks NEW YORK/LONDON Companies without cyber insurance are dusting off policies covering kidnap, ransom and extortion in the world's political hotspots to recoup losses caused by ransomware viruses such as "WannaCry", insurers say. ~
AAPL.O,Dealmakers aplenty, SoftBank's Son looks for wonks Deep Nishar spends more time roaming university hallways than he does corporate boardrooms. ~Dealmakers aplenty, SoftBank's Son looks for wonks May 19 Deep Nishar spends more time roaming university hallways than he does corporate boardrooms. ~
ADM,ADM Brazil unit completes $85 mln Santos port investment SANTOS, Brazil, May 19 The Brazilian unit of Archer Daniels Midland Co on Friday said it had completed a 33 percent expansion in its Santos port terminal's export capacity to 8 million tonnes of grains per year. ~
T,UPDATE 1- About 37,000 AT&T; workers go on three-day strike May 19 About 37,000 AT&T; Inc workers, or less than 14 percent of the company's total workforce, began a three-day strike on Friday after failing to reach an agreement with the No. 2 U.S. wireless carrier over new contracts. ~BRIEF-AT&T; spokesperson says 37,000 workers currently on strike * Says 37,000 AT&T; workers currently on strike Further company coverage: ~AT&T; workers go on three-day strike May 19 A majority of AT&T; Inc's wireless, wireline and DirecTV  workers began a three-day strike on Friday after failing to reach an agreement with the No. 2 U.S. wireless carrier over new contracts. ~BRIEF-AT&T; invests nearly $60 mln over 3-year period * AT&T; invests nearly $60 million over 3-year period to enhance local networks in Modesto area Source text for Eikon: Further company coverage: ~
BA,UPDATE 3-Boeing scrambles to save big Canada fighter jet deal - source OTTAWA/SEATTLE, May 19 Boeing Co on Friday rushed to fix a gamble that looks to have gone wrong, with the defense unit of the U.S. plane maker seeking to fend off a Canadian threat to scrap the purchase of 18 Super Hornet jets, a source familiar with the matter told Reuters. ~Canada links fighter jet deal to Boeing's dumping claims SEATTLE Canada suggested on Thursday it could scrap plans to buy Boeing Co fighter jets if the United States backed Boeing's claims that Canadian plane maker Bombardier Inc dumped jetliners in the U.S. market. ~
CPB,UPDATE 2-Campbell Soup misses profit, sales estimates; trims sales forecast * Shares down as much as 5 pct in morning trade (Adds details, background; Updates shares) ~US STOCKS-Wall St gains as Trump rout eases * Indexes up: Dow 0.26 pct, S&P; 0.39 pct, Nasdaq 0.54 pct (Updates to open) ~US STOCKS-Wall St set to open higher as Trump slump eases * Futures up: Dow 32 pts, S&P; 6.5 pts, Nasdaq 21.5 pts (Adds details, comments, updates prices) ~BRIEF-Campbell Soup reports Q3 earnings per share $0.58 * Q3 earnings per share view $0.64 -- Thomson Reuters I/B/E/S ~Campbell Soup's profit drops 4.8 pct May 19 Campbell Soup Co reported a 4.8 percent drop in quarterly profit on Friday, hurt by higher promotions and weak demand for products in its C-Fresh unit, soups and V8 vegetable juices. ~
CBS,UPDATE 1-CBS' CEO Moonves says Viacom undervalued NEW YORK, May 19 CBS Corp Chief Executive Leslie Moonves said in response to a shareholder question on Friday that he believed shares of Viacom Inc , which the network considered merging with last year, were undervalued. ~BRIEF-Cbs Corp sets quarterly dividend of $0.18 per share * Sets quarterly dividend of $0.18 per share Source text for Eikon: Further company coverage: ~CBS CEO Moonves says Viacom is undervalued May 19 CBS Chief Executive Officer Leslie Moonves told shareholders on Friday he believes shares of Viacom , which the network considered merging with last year, are undervalued. ~
DE,CORRECTED-UPDATE 3-Deere raises 2017 forecast on strong farm equipment demand * Sees FY 2017 equipment sales up 9 pct, from up 4 pct previously ~US STOCKS-Wall St. ends off session highs after fresh Russia probe reports * NY Times: Trump said firing Comey relieved "great pressure" ~BRIEF-Deere Q2 earnings per share $2.49 * Q2 earnings per share view $1.68 -- Thomson Reuters I/B/E/S ~Deere profit jumps 62 percent May 19 Deere & Co reported on Friday a 62 percent jump in quarterly profit, helped by improving demand for its products, and the U.S. farm equipment maker raised its fiscal 2017 financial forecast. ~
XOM,Proxy firm ISS advises vote against Exxon exec pay plan Influential proxy adviser Institutional Shareholder Services (ISS) recommended investors break with Exxon Mobil Corp on some closely watched questions due to be voted at the energy company's May 31 annual meeting. ~Nigerian oil labour union calls for Exxon Mobil shutdown in Delta YENAGOA, Nigeria, May 19 A Nigerian oil labour union on Friday called for the shutdown of all Exxon Mobil Corp facilities in the Niger Delta, a union representative said. ~Proxy firm ISS advises vote against Exxon exec pay plan Influential proxy adviser Institutional Shareholder Services (ISS) recommended investors break with Exxon Mobil Corp on some closely watched questions due to be voted at the energy company's May 31 annual meeting. ~Proxy firm ISS advises vote against Exxon exec pay plan May 18 Influential proxy adviser Institutional Shareholder Services (ISS) recommended investors break with Exxon Mobil Corp on some closely watched questions due to be voted at the energy company's May 31 annual meeting. ~ExxonMobil plans to import fuel to Mexico to supply its gas stations MEXICO CITY ExxonMobil Corp said on Thursday that it will start importing its own gasoline into Mexico before the end of the year to supply the Mobil-brand gas stations it will be opening in Latin America's second largest economy. ~ExxonMobil plans to import fuel to Mexico to supply its gas stations MEXICO CITY, May 18 ExxonMobil Corp said on Thursday that it will start importing its own gasoline into Mexico before the end of the year to supply the Mobil-brand gas stations it will be opening in Latin America's second largest economy. ~
F,Ford using first over-the-air software updates to its 2016 cars SAN FRANCISCO, May 19 Ford Motor Co said on Friday it would delve into the growing arena of "over-the-air" software updates, adding Android  Auto and Apple CarPlay to its Sync 3-equipped 2016 vehicles for the first time via a wireless software update. ~Ford to invest $350 million in Livonia transmission plant in Michigan WASHINGTON Ford Motor Co  said Friday it would invest $350 million to upgrade its Livonia transmission plant in Michigan as the company expands its lineup of powertrains. ~UPDATE 1-Ford to invest $350 mln in Livonia transmission plant in Michigan WASHINGTON, May 19 Ford Motor Co said Friday it would invest $350 million to upgrade its Livonia transmission plant in Michigan as the company expands its lineup of powertrains. ~Ford to invest $350 mln in Livonia transmission plant in Michigan May 19 Ford Motor Co said it would invest $350 million to upgrade its Livonia transmission plant in Michigan as the company expands its lineup of fuel-efficient powertrains. ~
BEN,A decade after debt forgiveness, Africa still hooked on dollars LONDON When rich countries wrote off billions of dollars of African debt in 2005, they hoped governments would think twice about borrowing again in costly foreign currencies. ~INVESTMENT FOCUS-A decade after debt forgiveness, Africa still hooked on dollars LONDON, May 19 When rich countries wrote off billions of dollars of African debt in 2005, they hoped governments would think twice about borrowing again in costly foreign currencies. ~
GE,CORRECTED-General Electric to launch service plant for power turbines in Nigeria LAGOS, May 18 General Electric (GE) plans to launch a repair and service plant for power turbines and has invested over $100 million, its local CEO said, as it seeks to tap growing demand for gas-fired power plants in Africa's biggest economy. ~
GS,UPDATE 1-Goldman's Donovan to withdraw from deputy Treasury secretary nomination -source May 19 Goldman Sachs Group Inc banker James Donovan who was nominated by U.S. President Donald Trump as deputy Treasury secretary, has withdrawn his name, according to a person familiar with the matter. ~
IBM,Ex-IBM employee from China pleads guilty to code theft charges NEW YORK, May 19 A former software engineer for IBM in China pleaded guilty on Friday to stealing proprietary source code from the company, federal prosecutors announced on Friday. ~DERIVATIVES-DTCC on track for Q1 2018 blockchain CDS reporting LONDON, May 19 (IFR) - The Depository Trust & Clearing Corporation plans to go live in the first quarter of 2018 with its blockchain-driven platform for credit default swaps reporting. ~
JNJ,Janssen files suit in U.S. to block sale of Samsung Bioepis' Remicade copy SEOUL A unit of healthcare conglomerate Johnson & Johnson filed a lawsuit to block a copy of its rheumatoid arthritis drug Remicade made by South Korea's Samsung Bioepis Co Ltd from being sold in the United States. ~Janssen files suit in U.S. to block sale of Samsung Bioepis' Remicade copy SEOUL, May 19 A unit of healthcare conglomerate Johnson & Johnson filed a lawsuit to block a copy of its rheumatoid arthritis drug Remicade made by South Korea's Samsung Bioepis Co Ltd from being sold in the United States. ~
