GOOGL.O,UK 'Google tax' will target inter-company payments LONDON, Dec 9 A new British tax on companies that shift profits out of the country and into tax havens will target inter-company fees for services like use of intellectual property, according to a Treasury document seen by Reuters. ~UK 'Google tax' will target inter-company payments LONDON A new British tax on companies that shift profits out of the country and into tax havens will target inter-company fees for services like use of intellectual property, according to a Treasury document seen by Reuters. ~
GOOG.O,UK 'Google tax' will target inter-company payments LONDON, Dec 9 A new British tax on companies that shift profits out of the country and into tax havens will target inter-company fees for services like use of intellectual property, according to a Treasury document seen by Reuters. ~UK 'Google tax' will target inter-company payments LONDON A new British tax on companies that shift profits out of the country and into tax havens will target inter-company fees for services like use of intellectual property, according to a Treasury document seen by Reuters. ~
AAPL.O,UPDATE 1-Morgan Stanley fined $4 million over rule lapse (Adds comment from Morgan Stanley and the SEC, as well as background on the fraud case) ~
BA,UPDATE 1-U.S. spending bill adds $1.46 bln for military to buy 15 Boeing jets WASHINGTON, Dec 9 A spending bill agreed by lawmakers from the U.S. House and Senate provides $554.2 billion in funding for the U.S. military in fiscal 2015, including $1.46 billion for 15 EA-18G electronic attack jets built by Boeing Co . ~U.S. spending bill adds $1.46 bln for military to buy 15 Boeing jets WASHINGTON, Dec 9 A spending bill agreed by lawmakers from the U.S. House and Senate provides $554.2 billion in funding for the U.S. military in fiscal 2015, including $1.46 billion for 15 EA-18G electronic attack jets built by Boeing Co . ~
CBS,David Letterman's final 'Late Show' set for May 20 LOS ANGELES, Dec 10 Late night U.S. talk show host David Letterman will anchor his final broadcast on May 20 before retiring and handing the reins of the "Late Show" to Stephen Colbert, network CBS Corp said on Wednesday. ~
C,UK court reserves judgment in Citi, Mercuria's Chinese metals dispute LONDON A London court declined to make an immediate ruling on Wednesday in a case between U.S. bank Citigroup Inc  and trade house Mercuria over who should face about $270 million of potential losses from metals financing deals in China, following a probe into suspected fraud. ~MOVES-Castle Harbour hires ex-Citigroup executive Eric Daniel Dec 10 Financial services provider Castle Harbour Securities appointed former Citigroup Inc  executive Eric Daniel to co-manage its new global convertible bond fund. ~SMBC nears deal to buy Citi's Japan retail businesses: sources Citigroup Inc  is in the final stages of talks with Sumitomo Mitsui Banking Corp (SMBC) on the sale of its Japanese retail banking operations for about 40 billion yen ($334 million), sources with knowledge of the matter said. ~UPDATE 2-SMBC nears deal to buy Citi's Japan retail businesses-sources * SMBC to buy Citi's Japan retail operations for about $330m - sources ~
COST.O,US STOCKS-Energy weakness pulls Wall St lower * Indexes off: Dow 0.7 pct, S&P; 0.62 pct, Nasdaq 0.41 pct   (Updates to late morning) ~US STOCKS-Wall Street falls as energy sector weighs * Indexes off: Dow 0.63 pct, S&P; 0.58 pct, Nasdaq 0.31 pct   (Updates to market open) ~US STOCKS-Wall St to open slightly lower after choppy session * Futures off: Dow 39 pts, S&P; 4.5 pts, Nasdaq 5 pts   (Adds quote, updates prices) ~Costco quarterly profit tops estimates Costco Wholesale Corp  reported a better-than-expected quarterly profit as increased promotions helped the warehouse club operator deal with fierce competition. ~UPDATE 2-Costco quarterly profit tops estimates Dec 10 Costco Wholesale Corp reported a better-than-expected quarterly profit as increased promotions helped the warehouse club operator deal with fierce competition. ~US STOCKS-Futures edge lower after volatile session * Futures off: Dow 39 pts, S&P; 4.5 pts, Nasdaq 6.25 pts   (Adds premarket actives) ~US STOCKS-Futures little changed after volatile session NEW YORK, Dec 10 U.S. stock index futures were little changed on Wednesday, a day after stocks staged an intraday rally to end nearly flat after a decline of as much as 1.3 percent. ~Costco profit rises 17 percent Dec 10 Costco Wholesale Corp reported a 17 percent rise in quarterly profit, helped by higher promotions that boosted sales. ~
EBAY.O,Ebay considering cutting 10 pct of workforce - WSJ Dec 10 Online retailer eBay Inc is mulling over a plan to cut thousands of jobs early next year, as it readies to spin off its PayPal unit, the Wall Street Journal reported, citing people familiar with the company's thinking. ~
FB.O,Instagram crosses 300 million users, edges past Twitter Dec 10 Facebook Inc's photo-sharing service, Instagram, said it  had more than 300 million users, sharing over 70 million photos and videos each day. ~
FCX,China Jiangxi Copper, U.S. Freeport agree 2015 TC/RC at $107/T HONG KONG, Dec 10 Jiangxi Copper Company Ltd   and U.S. miner Freeport McMoRan  have agreed to term treatment and refining charges (TC/RC) of $107 per tonne and 10.7 cents per pound for copper concentrate shipments to the Chinese metal producer in 2015, two sources said on Wednesday. ~
GILD.O,Gilead sued over 'exorbitant' hepatitis C drug prices Philadelphia's transportation authority has filed a class action lawsuit accusing Gilead Sciences Inc of charging "exorbitant" prices for its blockbuster hepatitis C drug Sovaldi. ~Gilead sued over 'exorbitant' hepatitis C drug prices Dec 10 Philadelphia's transportation authority has filed a class action lawsuit accusing Gilead Sciences Inc  of charging "exorbitant" prices for its blockbuster hepatitis C drug Sovaldi. ~
