ALXN.O,UPDATE 2-FDA approves Alexion drug for ultra-rare disease Dec 8 The U.S. Food and Drug Administration on Tuesday approved Alexion Pharmaceutical Inc's treatment for an ultra-rare and potentially fatal genetic disorder. ~FDA approves Alexion Pharma's enzyme-replacement therapy Dec 8 The U.S. Food and Drug Administration on Tuesday approved Alexion Pharmaceutical Inc's treatment for a rare and potentially fatal genetic disorder. ~
GOOGL.O,Alphabet mulls expanding Fiber internet service to LA, Chicago Dec 8 Alphabet Inc said it would consider bringing its Fiber  internet service to Los Angeles and Chicago, the two biggest cities the tech giant has worked with so far for the super-fast web service. ~Former Google life sciences unit renames itself Verily CHICAGO Alphabet Inc's life sciences unit, which was previously a part of the tech company's Google X research and development unit, has picked Verily as its new name as it seeks more visibility in the fast-growing medical technology sector. ~
GOOG.O,Alphabet mulls expanding Fiber internet service to LA, Chicago Dec 8 Alphabet Inc said it would consider bringing its Fiber  internet service to Los Angeles and Chicago, the two biggest cities the tech giant has worked with so far for the super-fast web service. ~Former Google life sciences unit renames itself Verily CHICAGO Alphabet Inc's life sciences unit, which was previously a part of the tech company's Google X research and development unit, has picked Verily as its new name as it seeks more visibility in the fast-growing medical technology sector. ~
AAPL.O,Apple releases first Arabic version of Siri SAN FRANCISCO, Dec 8 Apple Inc on Tuesday released a version of its virtual personal assistant Siri for Arabic speakers in the United Arab Emirates and Saudi Arabia, potentially making its iPhones more attractive in a largely affluent market of more than 30 million people. ~Majority of Apple Watch owners plan to give it as a gift: poll SAN FRANCISCO As Apple Watch enters the critical holiday shopping season, it looks likely to get a sales boost from happy customers, almost two-thirds of whom are planning to give one as a gift, a Reuters/Ipsos poll showed on Tuesday. ~UPDATE 1-Majority of Apple Watch owners plan to give it as a gift SAN FRANCISCO, Dec 8 As Apple Watch enters the critical holiday shopping season, it looks likely to get a sales boost from happy customers, almost two-thirds of whom are planning to give one as a gift, a Reuters/Ipsos poll showed on Tuesday. ~
T,UPDATE 1-AT&T; CEO hints at launching mobile video streaming service Dec 8 AT&T; Inc Chief Executive Randall Stephenson on Tuesday hinted at launching a mobile video streaming service as early as January to target price-conscious U.S. viewers who don't currently have pay-TV subscriptions. ~AT&T; CEO hints at launching mobile video streaming service Dec 8 AT&T; Inc Chief Executive Randall Stephenson on Tuesday hinted at launching a mobile video streaming service as early as January to target price-conscious U.S. viewers who don't currently have payTV subscriptions. ~
BA,U.S. EXIM board vote delay could hobble trade bank for months WASHINGTON, Dec 8 Senate Banking Committee Chairman Richard Shelby said on Tuesday he is "in no hurry" to hold a vote on U.S. Export-Import Bank board nominees, potentially keeping the trade lender from approving large transactions over $10 million for months. ~Boeing 737 MAX on track for early 2016 takeoff SEATTLE, Dec 8 Boeing Co marked the successful assembly of its first 737 MAX on Tuesday, signaling that the key program is on schedule for first flight early next year. ~
CMG,Chipotle says Boston illnesses likely due to norovirus, not E. coli Eighty Boston College students fell ill after eating at a Chipotle Mexican Grill restaurant this past weekend, and early test results point to the highly contagious norovirus as the culprit, public health investigators said on Tuesday. ~UPDATE 5-Norovirus suspected at Chipotle visited by 80 sick Boston College students * Boston College said 80 students got sick after Chipotle visits ~U.S. FDA still searching for source of E. coli outbreak at Costco A U.S. federal agency has yet to identify the source of an E. coli outbreak that sickened at least 19 people in seven states who may have been infected after eating rotisserie chicken salad sold at Costco Wholesale Corp. ~U.S. FDA still searching for source of E. coli outbreak at Costco Dec 8 A U.S. federal agency has yet to identify the source of an E. coli outbreak that sickened at least 19 people in seven states who may have been infected after eating rotisserie chicken salad sold at Costco Wholesale Corp. ~Chipotle shares take fresh hit after Boston College students fall ill LOS ANGELES Thirty Boston College students got sick after eating at Chipotle Mexican Grill  over the weekend, a school spokesman said, sending company shares down 6 percent in extended trading on Monday on fears of more food poisoning problems at the burrito chain. ~UPDATE 3-Chipotle shares take fresh hit after Boston College students fall ill LOS ANGELES, Dec 7 Thirty Boston College students got sick after eating at Chipotle Mexican Grill  over the weekend, a school spokesman said, sending company shares down 6 percent in extended trading on Monday on fears of more food poisoning problems at the burrito chain. ~
COST.O,U.S. FDA still searching for source of E. coli outbreak at Costco Dec 8 A U.S. federal agency has yet to identify the source of an E. coli outbreak that sickened at least 19 people in seven states who may have been infected after eating rotisserie chicken salad sold at Costco Wholesale Corp. ~
DE,LightSquared strikes spectrum deal after exiting bankruptcy Dec 8 Wireless venture LightSquared LP , which emerged from a long bankruptcy on Monday, said it has reached an agreement with Deere & Co on spectrum use that will lead to the settlement of its lawsuit with the company. ~
BEN,UPDATE 1-Franklin Templeton's Hasenstab: Fed hike to widen EM divergence LONDON, Dec 8 An expected rise in U.S. interest rates will magnify differences between emerging economies in 2016, with South Korea, Mexico and Malaysia likely to prove resilient, said Franklin Templeton's star bond investor Michael Hasenstab. ~
GIS,Kellogg, Sony and others sign up to emissions goals PARIS/BERLIN, Dec 8 Kellogg, Sony , Coca-Cola Enterprises and a group of other companies have committed to targets certified by independent assessors to cut their carbon emissions, they said on Tuesday. ~
HRS,UPDATE 2-Raytheon's GPS control system is 'a disaster' -U.S. Air Force general WASHINGTON, Dec 8 The U.S. Air Force's top space official on Tuesday slammed a new ground control system for GPS satellites being built by Raytheon Co as "a disaster" and said the Pentagon planned "significant" changes with the company to address the issues. ~
IBM,Ex-IBM employee from China arrested in U.S. for code theft NEW YORK A former software engineer for IBM Corp in China has been arrested by U.S. authorities for allegedly stealing proprietary source code from his former employer, prosecutors announced on Tuesday. ~Ex-IBM employee from China arrested in U.S. for code theft NEW YORK, Dec 8 A former software engineer for IBM Corp in China has been arrested by U.S. authorities for allegedly stealing proprietary source code from his former employer, prosecutors announced on Tuesday. ~
JPM,European Factors to Watch-Shares head for steady open LONDON, Dec 8 European shares headed for a steady open on Tuesday, with a slight recovery in crude oil prices and some positive company updates seen underpinning the market. ~
KMI,Pipeline giant Kinder Morgan slashes dividend 75 percent HOUSTON, Dec 8 Kinder Morgan Inc slashed its dividend 75 percent on Tuesday, marking the first time ever the pipeline giant has cut payouts to shareholders since it has been a publicly traded company. ~
LLL,UPDATE 3-L-3 Comms to sell government services unit for $550 mln Dec 8 L-3 Communications Holdings Inc  said it would sell its government services division, National Security Solutions, to smaller defense contractor CACI International Inc for $550 million in cash. ~L-3 Communications to sell government services unit for $550 mln Dec 8 L-3 Communications Holdings Inc  said it would sell its government services division, National Security Solutions, to smaller defense contractor CACI International Inc for $550 million in cash. ~
MS,Morgan Stanley to take $150 million severance charge in fourth quarter Morgan Stanley will take a $150 million severance charge in the fourth quarter related to a workforce reduction, a company spokesman said on Tuesday. ~Morgan Stanley to take $150 mln severance charge in Q4 Dec 8 Morgan Stanley will take a $150 million severance charge in the fourth quarter related to a workforce reduction, a company spokesman said on Tuesday. ~Morgan Stanley closing base metals trading -sources LONDON, Dec 8 U.S. investment bank Morgan Stanley is closing its base metals trading desks globally, possibly as part of a wider job cuts programme, metals industry sources said. ~
NSC,REFILE-UPDATE 5-CP says willing to take Norfolk bid to shareholders CHICAGO/MONTREAL/BOSTON, Dec 8 Executives of Canadian Pacific Railway touted the benefits of the firm's proposed bid for U.S. railroad Norfolk Southern Corp  during a call Tuesday with analysts, but made it clear they would court activist investors and shareholders to fight a proxy battle to complete the deal. ~Canadian Pacific revises offer for Norfolk Southern Dec 8 Canadian Pacific Railway Ltd  revised its offer to buy U.S. railroad operator Norfolk Southern Corp, less than a week after its previous offer of $28.4 billion was rejected. ~Canadian Pacific to revise terms of bid for Norfolk Southern -WSJ Dec 7 Canadian Pacific Railway Ltd (CP Rail) is expected to revise deal terms for its acquisition of Norfolk Southern, to allay fears of a prolonged regulatory review and put cash earlier in shareholders' hands, the Wall Street Journal reported, citing people familiar with the matter. ~
OMC,PRESS DIGEST- Financial Times - Dec 8 Dec 8 The following are the top stories in the Financial Times. Reuters has not verified these stories and does not vouch for their accuracy. ~
PG,France's Publicis loses P&G; contracts in U.S. Dec 8 French advertising agency Publicis Groupe  has lost Procter & Gamble's (P&G;) media contracts in the United States, the company said on Tuesday, confirming media reports. ~
RTN,U.S.-Japan funded Raytheon SM-3 missile aces second test: sources WASHINGTON The United States and Japan on Tuesday conducted a second successful test of Raytheon Co's new Standard Missile-3 (SM-3) Block IIA missile that is being jointly developed by the two countries, according to two sources familiar with the test. ~UPDATE 2-Raytheon's GPS control system is 'a disaster' -U.S. Air Force general WASHINGTON, Dec 8 The U.S. Air Force's top space official on Tuesday slammed a new ground control system for GPS satellites being built by Raytheon Co as "a disaster" and said the Pentagon planned "significant" changes with the company to address the issues. ~UPDATE 1-U.S.-Japan funded Raytheon SM-3 missile aces 2nd test -sources WASHINGTON, Dec 8 The United States and Japan on Tuesday conducted a second successful test of Raytheon Co's  new Standard Missile-3 (SM-3) Block IIA missile that is being jointly developed by the two countries, according to two sources familiar with the test. ~Raytheon awarded $543 million contract for SM-3 missiles WASHINGTON Raytheon Co  was awarded a contract for more than $543 million for 17 Standard Missile-3 Block IIA missiles, the Pentagon said on Tuesday. ~Raytheon awarded $543 mln contract for SM-3 missiles WASHINGTON, Dec 8 Raytheon Co was awarded a contract for more than $543 million for 17 Standard Missile-3 Block IIA missiles, the Pentagon said on Tuesday. ~U.S.-Japan funded Raytheon SM-3 missile aces 2nd test -sources WASHINGTON, Dec 8 The United States and Japan on Tuesday conducted a second successful test of Raytheon Co's  new Standard Missile-3 (SM-3) Block IIA missile that is being jointly developed by the two countries, according to two sources familiar with the test. ~U.S. approves sale of 'smart bomb' kits to Turkey WASHINGTON The U.S. State Department has approved the sale of precision bomb kits valued at $70 million to Turkey, a member of NATO and a key part of the U.S.-led coalition fighting Islamic State militants in Syria, the Pentagon said Thursday. ~Raytheon's GPS control system is 'a disaster' - U.S. Air Force general WASHINGTON General John Hyten, commander of Air Force Space Command, on Tuesday called Raytheon Co's work on a new ground control system for GPS satellites "a disaster," and said the Pentagon would undertake "significant" changes with the company to address the issues. ~Raytheon's GPS control system is "a disaster" - U.S. Air Force general WASHINGTON, Dec 8 General John Hyten, commander of Air Force Space Command, on Tuesday called Raytheon Co's  work on a new ground control system for GPS satellites "a disaster," and said the Pentagon would undertake "significant" changes with the company to address the issues. ~
SBUX.O,Stumptown in a K-Cup? Keurig deal brings margin opportunity NEW YORK, Dec 8 Taking coffee maker Keurig Green Mountain Inc private will give JAB Holding Co an opportunity to press for higher margins and even increase prices for the single-serve K-Cups used in about 21 million U.S. homes, analysts and industry bankers said. ~
STT,U.S. appeals court overturns SEC commissioners in State Street case A federal appeals court on Tuesday overturned a U.S. Securities and Exchange Commission decision to hold two former State Street Corp executives liable for misleading investors about a seemingly low-risk mutual fund's exposure to subprime bonds. ~U.S. appeals court overturns SEC commissioners in State Street case Dec 8 A federal appeals court on Tuesday overturned a U.S. Securities and Exchange Commission decision to hold two former State Street Corp executives liable for misleading investors about a seemingly low-risk mutual fund's exposure to subprime bonds. ~
KO,Stumptown in a K-Cup? Keurig deal brings margin opportunity NEW YORK, Dec 8 Taking coffee maker Keurig Green Mountain Inc private will give JAB Holding Co an opportunity to press for higher margins and even increase prices for the single-serve K-Cups used in about 21 million U.S. homes, analysts and industry bankers said. ~UPDATE 1-Coca-Cola appoints Hendrik Steckhan to lead U.S. operations Dec 8 Coca-Cola Co will appoint Hendrik Steckhan as president of its U.S. operations and named Stuart Kronauge and Ivan Pollard as co-heads of U.S. marketing, according to an internal memo. ~Coca-Cola appoints Hendrik Steckhan to lead U.S. operations-WSJ Dec 8 Coca-Cola Co has appointed Hendrik Steckhan as president of its U.S. operations and named Stuart Kronauge and Ivan Pollard as co-heads of U.S. marketing, the Wall Street Journal reported. ~
DIS,Disney doubles stake in Vice to $400 mln - source Dec 8 Walt Disney Co is doubling its stake in youth-focused digital media company Vice Media to $400 million, a source familiar with the matter said. ~
VZ,AOL to cut 100 jobs, mainly in its dial-up business - Techcrunch Dec 8 Digital media company AOL has laid off around 100 employees, mainly in its dial-up business, as it looks to eliminate overlap with parent Verizon Communcations Inc , Techcrunch.com reported on Tuesday. (http://tcrn.ch/1N9bTvM) ~
WFC,Confidence, not rates, is key for U.S. economy- Wells Fargo CEO Dec 8 Still-fragile consumer confidence, rather than expected interest rate hikes, is the most important factor holding back a stronger U.S. economic recovery, Wells Fargo CEO John Stumpf said on Tuesday. ~
