ABBV.N,CORRECTED-UPDATE 3-AbbVie's rheumatoid arthritis drug succeeds in trial * Upadacitinib, a JAK inhibitor, more effective than a placebo ~BRIEF-Synlogic says has completed 1st phase of AbbVie collaboration * Synlogic says has completed first phase of its ongoing collaboration with AbbVie ~BRIEF-Abbvie's upadacitinib meets all primary, ranked secondary endpoints in phase 3 study * AbbVie's upadacitinib (ABT-494) meets all primary and ranked secondary endpoints in phase 3 study in rheumatoid arthritis ~AbbVie's rheumatoid arthritis drug succeeds in late-stage trial June 7 U.S. drugmaker AbbVie Inc said on Wednesday its drug to treat moderate-to-severe rheumatoid arthritis met the main goal in a late-stage study. ~
AGN,UPDATE 1-Mylan defends chairman to ISS ahead of June 22 investor vote June 7 Mylan NV defended Chairman Robert Coury's role to ISS this week as the influential proxy firm prepares to advise shareholders on how they should vote on the re-election of Coury and other directors, according to a letter the drugmaker released on Wednesday. ~Mylan defends chairman to ISS ahead of June 22 investor vote Mylan NV defended Chairman Robert Coury's role to ISS this week as the influential proxy firm prepares to advise shareholders on how they should vote on the re-election of Coury and other directors, according to a letter the drugmaker released on Wednesday. ~Mylan defends chairman to ISS ahead of June 22 investor vote June 7 Mylan NV defended Chairman Robert Coury's role to ISS this week as the influential proxy firm prepares to advise shareholders on how they should vote on the re-election of Coury and other directors, according to a letter the drugmaker released on Wednesday. ~BRIEF-Allergan to acquire Keller Medical, adding Keller Funnel to co's leading plastic surgery portfolio * Allergan to acquire Keller Medical, Inc., adding Keller Funnel® to company's leading plastic surgery portfolio Source text for Eikon: Further company coverage: ~
GOOGL.O,Judge rules Uber must disclose key document in Waymo self-driving car case SAN FRANCISCO A magistrate judge has ruled that Uber Technologies Inc [UBER.UL] must hand over a key document that could shed light on what its executives knew about alleged theft of trade secrets from Alphabet Inc's  Waymo self-driving car unit. ~Judge rules Uber must disclose key document in Waymo self-driving car case SAN FRANCISCO, June 7 A magistrate judge has ruled that Uber Technologies Inc must hand over a key document that could shed light on what its executives knew about alleged theft of trade secrets from Alphabet Inc's Waymo self-driving car unit. ~UPDATE 1-Lack of power lines hits sub-Saharan Africa's biggest wind farm COPENHAGEN, June 7 The biggest wind farm in sub-Saharan Africa is ready for launch but will remain idle until next year as Kenya's government has not yet installed the transmission lines needed to get the clean power to customers, the provider of the turbines said. ~
GOOG.O,Judge rules Uber must disclose key document in Waymo self-driving car case SAN FRANCISCO A magistrate judge has ruled that Uber Technologies Inc [UBER.UL] must hand over a key document that could shed light on what its executives knew about alleged theft of trade secrets from Alphabet Inc's  Waymo self-driving car unit. ~Judge rules Uber must disclose key document in Waymo self-driving car case SAN FRANCISCO, June 7 A magistrate judge has ruled that Uber Technologies Inc must hand over a key document that could shed light on what its executives knew about alleged theft of trade secrets from Alphabet Inc's Waymo self-driving car unit. ~UPDATE 1-Lack of power lines hits sub-Saharan Africa's biggest wind farm COPENHAGEN, June 7 The biggest wind farm in sub-Saharan Africa is ready for launch but will remain idle until next year as Kenya's government has not yet installed the transmission lines needed to get the clean power to customers, the provider of the turbines said. ~
AMZN.O,UPDATE 2-Amazon error sends some shoppers to dog photo, not product page June 7 Amazon.com Inc told some shoppers on Wednesday that there was a problem when they were trying to view product listings. ~BRIEF-Amazon to open first Oregon fulfillment center in Troutdale * Amazon to open first Oregon fulfillment center in Troutdale; will create 1,500-plus full-time jobs Source text for Eikon: Further company coverage: ~BRIEF-Baristas Coffee Co says Amazon placed order for white coffee single serve cups * Baristas Coffee Company Inc says Amazon placed order for its white coffee single serve cups compatible with Keurig 2.0 k-cup brewing system Source text for Eikon: Further company coverage: ~BRIEF-Amazon announces plans to expand in Miami with new fulfillment center * Amazon announces plans to expand in Miami with new fulfillment center ~
ANTM.N,Trump says Obamacare in 'death spiral,' urges Congress to act CINCINNATI, June 7 U.S. President Donald Trump said on Wednesday that the Obamacare healthcare system is in a "death spiral" and must be reformed soon, a day after insurer Anthem Inc announced it would withdraw from the Ohio healthcare insurance exchange next year. ~
AAPL.O,Exclusive: Apple makes iPhone screen fixes easier as states mull repair laws SAN FRANCISCOHey Siri, where can I get my cracked iPhone screen fixed? | Video  ~UPDATE 1-AAC Tech surges after research firms defend it against short-seller * Shares in AAC end up 13.6 pct higher (Recasts with defence by other research firms) ~
BA,Boeing's Insitu, Textron's AAI each win $475 mln U.S. defense contracts -Pentagon WASHINGTON, June 7 Boeing Co's Insitu Inc and Textron Inc's AAI Corp are each being awarded $475 million U.S. defense contracts for Mid-Endurance Unmanned Aircraft Systems intelligence, surveillance, and reconnaissance services, the Pentagon said on Wednesday. (Reporting by Eric Beech) ~Boeing studies 'mild to wild' design for pivotal mid-market jet CANCUN, Mexico Boeing  has looked at options "from mild to wild" for the design of a proposed mid-market jet, a senior executive said, hinting at a breakthrough that industry sources say will create building blocks for future models. ~Boeing studies 'mild to wild' design for pivotal mid-market jet * Marketing chief says new plane needed to fill mid-market gap ~
CVX,Rockefeller art collection to be auctioned benefiting charities NEW YORK Works of art, furniture and decorative objects from the collection of the late David Rockefeller, the billionaire banker and philanthropist who was the last surviving grandchild of Standard Oil founder John D. Rockefeller, will be sold at auction next year, Christie's said on Wednesday. ~Rockefeller art collection to be auctioned benefiting charities NEW YORK, June 7 Works of art, furniture and decorative objects from the collection of the late David Rockefeller, the billionaire banker and philanthropist who was the last surviving grandchild of Standard Oil founder John D. Rockefeller, will be sold at auction next year, Christie's said on Wednesday. ~
DLPH.N,UPDATE 2-Delphi, Transdev to develop self-driving transport service in Europe DETROIT, June 7 Delphi Automotive PLC will partner with Paris-based Transdev Group, a public transport service controlled by the French government, to develop an automated on-demand shuttle service in Europe, the companies said on Wednesday. ~BRIEF-Transdev, Delphi announce commercial partnership for autonomous transportation * Transdev and Delphi announce commercial partnership for autonomous transportation ~Delphi, Transdev to develop self-driving shuttle service in Europe DETROIT, June 7 Delphi Automotive PLC will partner with Paris-based Transdev Group, a public transport service controlled by the French government, to develop an automated on-demand shuttle service in Europe, the companies said on Wednesday. ~
DVN,CORRECTED-Investors expect to meet with Exxon on climate-impact report HOUSTON, June 1 Exxon Mobil Corp investors will push to meet with oil company officials this summer to hash out elements of a climate-impact analysis following a shareholder vote calling for studies of technology and climate-related risks to its business. ~
DG,Dollar Tree sues Dollar Express, alleges funds siphoned WASHINGTON U.S. discount retailer Dollar Tree Inc  has filed a lawsuit against Dollar Express which was unsealed on Tuesday, alleging that the smaller company's private equity owners siphoned off funds and failed to pay for $50 million in goods and services. ~
DLTR.O,Dollar Tree sues Dollar Express, alleges funds siphoned WASHINGTON U.S. discount retailer Dollar Tree Inc  has filed a lawsuit against Dollar Express which was unsealed on Tuesday, alleging that the smaller company's private equity owners siphoned off funds and failed to pay for $50 million in goods and services. ~
XOM,Investors expect to meet with Exxon on climate-impact report  (This June 2 story corrects paragraph 8 to show the shareholder vote on the study proposal was at Marathon Petroleum, not Marathon Oil) ~CORRECTED-Investors expect to meet with Exxon on climate-impact report HOUSTON, June 1 Exxon Mobil Corp investors will push to meet with oil company officials this summer to hash out elements of a climate-impact analysis following a shareholder vote calling for studies of technology and climate-related risks to its business. ~
FB.O,BRIEF-Facebook is planning to move Whatsapp off IBM's public cloud - CNBC * Facebook is planning to move whatsapp off IBM's public cloud, CNBC citing source ~Facebook launches features to connect U.S. users to elected officials WASHINGTON, June 7 Facebook Inc announced a set of three new features on Wednesday intended to boost civic engagement among users in the United States on its platform by connecting them more easily with their elected representatives. ~
F,BRIEF-Ford says May China vehicle sales -3 percent y/y * May China vehicle sales total 87,733 units, -3 percent y/y, versus +11 percent in April ~
GGP,Mall owner GGP doubles down on brick and mortar retailing NEW YORK, June 7 The head of GGP Inc, one of the biggest high-quality U.S. mall property owners, sees the recent spate of U.S. department store closings as a chance to expand its redevelopment operations with plans to buy 100 of the shuttered emporiums. ~
GM,Ford offering short-term consumer auto leases through Canvas DETROIT, June 7 Silicon Valley's latest mobility startup, a short-term vehicle leasing company called Canvas, is backed by old-school muscle: Ford Motor Credit Co, the dealer and consumer financing arm of U.S. automaker Ford Motor Co . ~
GS,Goldman Sachs boost rates for savers in bid to attract deposits June 7 U.S. savers who routinely scour personal finance sites for the best deposit rates are soon going to see an unusual bank at the top of the list: Goldman Sachs Group Inc . ~
