ABBV.N,AbbVie presses case for Shire deal in discreet roadshow * U.S. drugmaker urges deal in talks with Shire shareholders ~
AA,Alcoa tells U.S. SEC that warehousing reforms could hit premiums Aluminum producer Alcoa Inc will warn investors about the risks that proposed warehousing rules could pose to its business, saying they could affect its finances and the premiums it charges, according to correspondence with regulators. ~
GOOGL.O,UPDATE 1-Google reverses decision to delete British newspaper links July 3 Google Inc  on Thursday reversed its decision to remove several links to stories in Britain's Guardian newspaper, underscoring the difficulty the search engine is having implementing Europe's "right to be forgotten" ruling. ~Google restores some news article links suppressed post EU order-FT July 3 Google Inc has begun restoring links to newspaper articles that it had suppressed in Web searches this week following a European Union ruling in May on citizens' "right to be forgotten," the Financial Times reported. ~Ex-Merrill CEO says he has 'no knowledge' of Google search wipe NEW YORK, July 3 E. Stanley O'Neal, the former chief executive of Merrill Lynch, said on Thursday he has "no knowledge" of an apparent effort to remove a BBC article mentioning him from Google Inc search results in Europe. ~UPDATE 1-HTC's profit surge slightly beats forecasts TAIPEI, July 3 Taiwanese smartphone maker HTC Corp on Thursday reported an 80 percent rise in second-quarter net profit from a year ago, slightly beating analyst expectations, as a turnaround strategy started to stem a decline in sales. ~UPDATE 1-Goldman says Google has blocked email with leaked client data NEW YORK, July 2 Goldman Sachs Group Inc  on Wednesday said Google Inc has blocked access to an email containing confidential client data that a contractor sent to a stranger's Gmail account by mistake, an error that the bank said threatened a "needless and massive" breach of privacy. ~
GOOG.O,UPDATE 1-Google reverses decision to delete British newspaper links July 3 Google Inc  on Thursday reversed its decision to remove several links to stories in Britain's Guardian newspaper, underscoring the difficulty the search engine is having implementing Europe's "right to be forgotten" ruling. ~Google restores some news article links suppressed post EU order-FT July 3 Google Inc has begun restoring links to newspaper articles that it had suppressed in Web searches this week following a European Union ruling in May on citizens' "right to be forgotten," the Financial Times reported. ~Ex-Merrill CEO says he has 'no knowledge' of Google search wipe NEW YORK, July 3 E. Stanley O'Neal, the former chief executive of Merrill Lynch, said on Thursday he has "no knowledge" of an apparent effort to remove a BBC article mentioning him from Google Inc search results in Europe. ~UPDATE 1-HTC's profit surge slightly beats forecasts TAIPEI, July 3 Taiwanese smartphone maker HTC Corp on Thursday reported an 80 percent rise in second-quarter net profit from a year ago, slightly beating analyst expectations, as a turnaround strategy started to stem a decline in sales. ~UPDATE 1-Goldman says Google has blocked email with leaked client data NEW YORK, July 2 Goldman Sachs Group Inc  on Wednesday said Google Inc has blocked access to an email containing confidential client data that a contractor sent to a stranger's Gmail account by mistake, an error that the bank said threatened a "needless and massive" breach of privacy. ~
AMZN.O,Amazon's Luxembourg taxes under scrutiny - FT July 3 European officials have asked Luxembourg to hand over documents relating to U.S. online retailer Amazon's  tax affairs in the country, the Financial Times reported on Thursday, citing official sources. ~Unions from five countries meet over Amazon working conditions * Amazon building more logistics centres in eastern Europe ~
ADM,ADM close to $3.4 bln deal to buy Wild Flavors - Bloomberg July 3 Archer Daniels Midland Co is close to buying natural food ingredients maker Wild Flavors GmbH, backed by buyout group KKR & Co, for about 2.5 billion euros ($3.4 billion), Bloomberg reported, citing people familiar with the matter. ~
ADP.O,GLOBAL MARKETS-Strong U.S. jobs report pushes up dollar, Treasury yields * ECB keeps rates at record low, Draghi expected to stay dovish ~GLOBAL MARKETS-Shares at record highs for ECB, payrolls double-header * ECB keeps rates at record low, Draghi expected to stay dovish ~FOREX-Swedish crown hits 3-1/2 yr low after hefty rate cut, Aussie weak * Swedish crown sinks after rate cut, drags Norwegian crown too ~Euro zone bond yields rise as U.S. jobs, ECB double act eyed * Market ratchets up U.S. jobs data bets after strong ADP report     * Rise in euro zone bond yields tempered ahead of ECB decision     * Spain sells 4.5 bln euros of bonds; France raises 8.5 bln   (Updates with Spanish, French bond sales, adds fresh quotes)     By Emelia Sithole-Matarise     LONDON, July 3 Euro zone bond yields mostly pushed higher on Thursday as investors positioned for what may be a strong non-farm payrolls report after robust private sector data pointed to a stro ~Euro zone bond yields edge up before U.S. payrolls, ECB * Market ratchets up U.S. jobs data bets after strong ADP report     * Rise in euro zone bond yields tempered ahead of ECB decision     * Spain to sell up to 4.5 billion euros in bonds before data, ECB      By Emelia Sithole-Matarise     LONDON, July 3 Euro zone bond yields rose on Thursday as investors positioned for what may be a strong non-farm payrolls report after robust private sector data pointed to a strong recovery in the U.S. labour market.     Economists expect U.S. employ ~GLOBAL MARKETS-Asian stocks tread water ahead of U.S. jobs data * Asia in wait-and-see mood before 1230 GMT U.S. jobs data ~
BA,Norwegian Air seeks to buy more Boeing 787-9s -WSJ July 3 Budget airline Norwegian Air  wants to add more Boeing planes to its fleet as it looks to expand its international services, the Wall Street Journal reported the airline's chief executive as saying on Thursday. ~
GS,UPDATE 1-Goldman says Google has blocked email with leaked client data NEW YORK, July 2 Goldman Sachs Group Inc  on Wednesday said Google Inc has blocked access to an email containing confidential client data that a contractor sent to a stranger's Gmail account by mistake, an error that the bank said threatened a "needless and massive" breach of privacy. ~
LMT,RPT-Mitsubishi Electric eyes F-35 missile deal with Europe's MBDA-sources (Repeats item first issued on Thursday with no changes to text) ~Mitsubishi Electric eyes F-35 missile deal with Europe's MBDA-sources TOKYO, July 3 Japan's Mitsubishi Electric  has agreed to take the first step towards a partnership with European missile maker MBDA to develop a medium-range air-to-air missile for the F-35 stealth fighter, two people with knowledge of the matter said. ~
MS,Morgan Stanley buys Deutsche's bulk commodities trading book NEW YORK, July 3 Morgan Stanley has bought Deutsche Bank's bulk commodities trading book dealing in coal, iron ore and freight forward contracts to expand in commodities derivatives, a source familiar with the matter said on Thursday. ~
PCAR.O,UPDATE 3-Volkswagen denies planning a bid for U.S. Paccar * Rumors of VW bid for U.S. truck maker nothing new   (Adds Breakingviews link) ~Deals of the day- Mergers and acquisitions (Adds Lorillard, UBS, T-Hrvatski Telekom, MMX, Melrose, Unipetrol) ~REFILE-VW denies rumours of planned takeover bid for U.S.'s Paccar (Corrects name in second paragraph - to Bernhard, from Bernhardt) ~German stocks - Factors to watch on July 3 FRANKFURT, July 3 The DAX top-30 index  looked set to open 0.1 percent lower on Thursday, according to premarket data from brokerage Lang & Schwarz at 0620 GMT. ~RPT-Market Chatter- Corporate finance press digest July 3 The following corporate finance-related stories were reported by media: ~Market Chatter- Corporate finance press digest July 3 The following corporate finance-related stories were reported by media: ~
