GOOGL.O,Salesforce still mulls bid for Twitter as shareholders resist -sources Oct 10 Salesforce.com Inc is still deliberating whether it should make an offer for Twitter Inc  in the face of resistance from Salesforce shareholders over the strategic merits and valuation of such a deal, people familiar with the matter said on Monday. ~Twitter's shares slump on report that potential bidders lose interest Twitter Inc's  shares slumped more than 13 percent in early trading on Monday after a weekend Bloomberg report that top potential bidders, including Salesforce.com Inc ,  had lost interest in making a bid for the company. ~
GOOG.O,Salesforce still mulls bid for Twitter as shareholders resist -sources Oct 10 Salesforce.com Inc is still deliberating whether it should make an offer for Twitter Inc  in the face of resistance from Salesforce shareholders over the strategic merits and valuation of such a deal, people familiar with the matter said on Monday. ~Twitter's shares slump on report that potential bidders lose interest Twitter Inc's  shares slumped more than 13 percent in early trading on Monday after a weekend Bloomberg report that top potential bidders, including Salesforce.com Inc ,  had lost interest in making a bid for the company. ~
AAPL.O,Apple stock hits highest since December on Samsung Note 7 fire crisis SAN FRANCISCO Apple Inc's  stock on Monday jumped 2.3 percent, reaching a high not seen since December, after rival Samsung Electronics Co Ltd  suspended production of its flagship Galaxy Note 7 smartphones following reports of fires in replacement devices. ~Apple stock hits highest since Dec on Samsung Note 7 fire crisis SAN FRANCISCO, Oct 10 Apple Inc's stock on Monday jumped 2.2 percent, reaching a high not seen since December, after rival Samsung Electronics Co Ltd  suspended production of its flagship Galaxy Note 7 smartphones following reports of fires in replacement devices. ~
T,UPDATE 1-Apple stock hits highest since Dec on Samsung Note 7 fire crisis SAN FRANCISCO, Oct 10 Apple Inc's stock on Monday jumped 2.3 percent, reaching a high not seen since December, after rival Samsung Electronics Co Ltd  suspended production of its flagship Galaxy Note 7 smartphones following reports of fires in replacement devices. ~Apple stock hits highest since Dec on Samsung Note 7 fire crisis SAN FRANCISCO, Oct 10 Apple Inc's stock on Monday jumped 2.2 percent, reaching a high not seen since December, after rival Samsung Electronics Co Ltd  suspended production of its flagship Galaxy Note 7 smartphones following reports of fires in replacement devices. ~
CBS,CBS CEO Moonves to seek autonomy following any deal with Viacom -sources CBS Corp Chief Executive Leslie Moonves is planning to seek autonomy from the Redstone family, the broadcaster's controlling shareholder, in leading the company if it merges with Viacom Inc, two people familiar with the matter said. ~CBS CEO Moonves to seek autonomy following any deal with Viacom -sources Oct 10  CBS Corp Chief Executive Leslie Moonves is planning to seek autonomy from the Redstone family, the broadcaster's controlling shareholder, in leading the company if it merges with Viacom Inc, two people familiar with the matter said. ~
DLR,Silver Lake explores sale of Vantage Data Centers -sources Oct 10 Private equity firm Silver Lake Partners LP is exploring a sale of Vantage Data Centers Management Co LLC that it hopes will value the U.S. company at well in excess of $1 billion, including debt, people familiar with the matter said on Monday. ~
DOV,BRIEF-Dover Corp sees Q3 earnings per share $0.81 to $0.83 * Dover Corporation: Dover revises guidance, provides update on business trends, and updates the status of its Wayne Fueling Systems acquisition ~
DUK,BRIEF-Duke Energy to sell certain international businesses to I Squared Capital * Duke Energy - To sell international businesses in Peru, Chile, Ecuador, Guatemala, El Salvador,Argentina to I Squared Capital for $1.2 billion enterprise value ~BRIEF-Duke Energy says more than 95 pct of customer outages restored * Duke energy - as of 2 pm, about 8,500 customers were without electricity, mostly in areas of volusia county where electric system was severely impacted ~BRIEF-Duke Energy says about 430,000 outages yet to be restored * Duke Energy - roughly 1.2 mln customers were affected by Hurricane Matthew; in past 48 hours, Duke Energy has restored about 825,000 outages ~Duke Energy shareholder lawsuit over CEO firing moves forward Duke Energy Corp's board must face a shareholder lawsuit over its abrupt 2012 firing of its newly installed chief executive, a Delaware judge has ruled. ~Duke Energy shareholder lawsuit over CEO firing moves forward Duke Energy Corp's board must face a shareholder lawsuit over its abrupt 2012 firing of its newly installed chief executive, a Delaware judge has ruled. ~UPDATE 1-Duke Energy to sell Brazilian unit for about $1.2 bln Oct 10 Duke Energy Corp said it agreed to sell its Brazilian unit to clean energy company China Three Gorges Corp for about $1.2 billion, including debt, as it focuses on regulated power markets in the United States. ~Duke Energy to sell Brazilian unit for about $1.2 bln Oct 10 Duke Energy Corp said it agreed to sell its Brazilian unit to clean energy company China Three Gorges Corp for about $1.2 billion, including debt, as it focuses on regulated power markets in the United States. ~
FB.O,Facebook rolls out business software, launches pricing war SAN FRANCISCO, Oct 10 Facebook Inc  launched a workplace version of its mobile app and website on Monday, marking the social networking company's first foray into the hotly competitive and crowded enterprise software arena. ~Facebook reports 11-million-pound UK tax credit as revenues soar LONDON Facebook said its main UK subsidiary generated an 11-million-pound tax credit in 2015 even as revenues soared, thanks to its tax efficient structure, accounts published on the weekend showed. ~
F,BRIEF-Ford's Lincoln targets 65 China dealerships by end-2016 - exec * Ford's Lincoln aims to have 65 China dealerships by end-2016, up from previous forecast of 60 - Lincoln China President Amy Marentic ~
BEN,Hasenstab heads up new Franklin Templeton global FX fund LONDON U.S. fund manager Franklin Templeton said on Monday it was launching a new global currency fund headed by its star bond investor Michael Hasenstab and one of his chief lieutenants. ~Hasenstab heads up new Franklin Templeton global FX fund LONDON, Oct 10 U.S. fund manager Franklin Templeton said on Monday it was launching a new global currency fund headed by its star bond investor Michael Hasenstab and one of his chief lieutenants. ~
FCX,Freeport reaches deal with workers to end Indonesia copper mine stoppage JAKARTA, Oct 10 Mining operations at Freeport-McMoRan Inc.'s giant Grasberg open pit site in the Indonesian province of Papua "have returned to normal" after resolution of a labour dispute, the company said on Monday. ~
GE,UPDATE 1-GE confirms interest in $2 bln Nigeria railway concession LAGOS, Oct 10 General Electric (GE)  confirmed its a "keen interest" in acquiring a Nigeria railway concession project worth around $2 billion, the U.S. company said on Monday. ~
MRK,UPDATE 1-Bristol lung-cancer setback puts rival Merck drug in driver seat Oct 10 New data is likely to prompt doctors to abandon Bristol-Myers Squibb's immunotherapy Opdivo in favor of Merck & Co's rival Keytruda in a large segment of the lucrative lung cancer market, analysts said on Monday. ~
MSFT.O,Microsoft, Banco Votorantim partner on Brazil fintech investments SAO PAULO, Oct 10 Microsoft Corp and Brazilian lender Banco Votorantim are investing together in financial technology startups, executives said in a Monday interview, as the U.S. tech company adds a new specialty to its venture capital portfolio in Brazil. ~BRIEF-Innofactor buys Lumagate to expand in Nordic countries * Has reached agreement on acquiring Lumagate group, Nordic IT service providers focused on cloud-based solutions in Microsoft ecosystem ~
MON,Microsoft, Banco Votorantim partner on Brazil fintech investments SAO PAULO, Oct 10 Microsoft Corp and Brazilian lender Banco Votorantim are investing together in financial technology startups, executives said in a Monday interview, as the U.S. tech company adds a new specialty to its venture capital portfolio in Brazil. ~
