GOOGL.O,Apple expected to showcase new powers for Siri at developer event June 13 Apple Inc is expected to show off new abilities for its Siri digital assistant on Monday by debuting tools to let developers work with the company's artificial intelligence. ~
GOOG.O,Apple expected to showcase new powers for Siri at developer event June 13 Apple Inc is expected to show off new abilities for its Siri digital assistant on Monday by debuting tools to let developers work with the company's artificial intelligence. ~
AMZN.O,UPDATE 3-U.S. FAA proposes fining Amazon $350,000 for hazardous package WASHINGTON, June 13 The U.S. Federal Aviation Administration said on Monday it is proposing a $350,000 civil fine against Amazon.com Inc for shipping a product that allegedly violated hazardous materials regulations and injured several UPS workers who handled the package. ~U.S. FAA proposes fining Amazon $350,000 for hazardous package WASHINGTON, June 13 The U.S. Federal Aviation Administration said on Monday it is proposing a $350,000 civil fine against Amazon.com Inc for allegedly violating hazardous materials regulations, the latest in a series of violations. ~
AAPL.O,US STOCKS-Wall St slides for third straight session; big tech drags * Indexes down: Dow 0.74 pct, S&P; 0.81 pct, Nasdaq 0.94 pct   (Updates with close of U.S. market) ~US STOCKS-Wall St sags for third straight session as tech weighs * Indexes down: Dow 0.44 pct, S&P; 0.49 pct, Nasdaq 0.66 pct   (Updates to late afternoon) ~Apple expected to showcase new powers for Siri at developer event June 13 Apple Inc is expected to show off new abilities for its Siri digital assistant on Monday by debuting tools to let developers work with the company's artificial intelligence. ~China's Uber rival Didi Chuxing raises $600 million from China Life Insurance Chinese car-hailing app Didi Chuxing said on Monday it had received an investment of about $600 million from China Life Insurance Co Ltd, boosting resources to fund its battle with Uber just a month after it raised $1 billion from Apple Inc. ~UPDATE 1-China's Uber rival Didi Chuxing raises $600 mln from China Life Insurance * Battle with Uber for control of China ride-failing market   (Adds details of deal, industry context) ~
T,Yahoo Mail could get boost if bought by mobile firm San Francisco June 13 Yahoo Inc's  venerable email system could have a better shot at challenging category crusher Gmail if a telecommunications company wins a Yahoo asset auction and presents it to a wider audience. ~
C,Citigroup says Brazilian unit sale talks may last up to 3 months BRASILIA/SAO PAULO, June 13 Talks between Citigroup Inc and potential bidders for its Brazilian retail banking unit could last up to three more months until "there is news" of a deal, the U.S. lender's top executive in the country said on Monday. ~
COP,ConocoPhillips, ENAP to explore for gas in southern Chile SANTIAGO, June 13 Chilean state oil company ENAP  has signed a deal with ConocoPhillips to explore and eventually exploit gas deposits in the nation's remote southern Magallanes region, a source familiar with the agreement confirmed on Monday. ~
FB.O,Gawker Media asks for approval of bankruptcy loan from Cerberus NEW YORK Gawker Media LLC asked a U.S. bankruptcy court judge on Monday for permission to borrow up to $22 million from an affiliate of buyout firm Cerberus Capital Management LP to help it through its sale process, according to a court filing. ~Gawker Media asks for approval of bankruptcy loan from Cerberus NEW YORK, June 13 Gawker Media LLC asked a U.S. bankruptcy court judge on Monday for permission to borrow up to $22 million from an affiliate of buyout firm Cerberus Capital Management LP to help it through its sale process, according to a court filing. ~
GS,UPDATE 1-Goldman exec paid for prostitutes, Libyan fund alleges in London trial LONDON, June 13 A Goldman Sachs executive footed the bill for prostitutes and the bank paid for a lavish trip to Dubai for the brother of a decision-maker at Libya's sovereign wealth fund, a lawyer for the fund alleged on Monday, in a case it has brought against Goldman in London's High Court. ~Libya SWF trial against Goldman Sachs set to start at London High Court LONDON, June 13 Libya's $67 billion sovereign wealth fund will go head-to-head with Goldman Sachs in London's High Court this week over claims that the U.S. investment bank exploited the fund by encouraging it to make risky and ultimately worthless investments. ~
JPM,Deutsche and JP Morgan stay overweight UK equities even as Brexit fears mount LONDON, June 13 Strategists at Deutsche Bank and JP Morgan backed staying "overweight" on UK equities on Monday, even as fears over Britain's vote next week on its membership of the European Union intensified volatility across world markets. ~
MAR.O,EU mergers and takeovers (June 13) BRUSSELS, June 13 The following are mergers under review by the European Commission and a brief guide to the EU merger process: ~
MCD,UPDATE 2-McDonald's moving headquarters to Chicago June 13 McDonald's Corp, working to remake itself as a "modern, progressive burger company," will move its corporate headquarters from an Illinois suburb to the former home of Oprah Winfrey's Harpo Studios in downtown Chicago by the spring of 2018. ~McDonald's to shift headquarters to downtown Chicago June 13 McDonald's Corp will move its corporate headquarters to the former campus of Oprah Winfrey's Harpo Studios in downtown Chicago by the spring of 2018. ~BRIEF-Mcdonald's Corp says move of its corporate headquarters to downtown Chicago by spring of 2018 * Mcdonald's Corp says move of its corporate headquarters to downtown Chicago by spring of 2018 ~
MSFT.O,Microsoft unveils new Xbox console at E3 June 13 Microsoft Corp launched a new version of its Xbox One console at the video game conference E3 in Los Angeles on Monday, bringing newer features such as support for 4K videos and high dynamic range imagery. ~US STOCKS SNAPSHOT-Wall St ends lower for 3rd straight session NEW YORK, June 13 Wall Street ended lower for a third straight session on Monday as tech stalwarts Microsoft and Apple dragged on indexes and investors braced for major economic and political events in the United States and Europe. ~UPDATE 1-Moody's reviews Microsoft credit rating for cut after LinkedIn deal June 13 Rating agency Moody's placed Microsoft Corp's 'AAA' credit rating under review for downgrade following the software giant's deal to buy LinkedIn Corp  for $26.2 billion, citing concerns that it would be funded through new debt. ~UPDATE 3-Hail a ride hands-free: Apple opens Siri to outside developers SAN FRANCISCO, June 13 Apple Inc is opening its popular Siri digital assistant to outside developers, which means iPhone users could soon be able to hail rides with Uber, publish photos on Shutterfly or make a call on Skype with voice commands. ~BRIEF-S&P; says Microsoft 'AAA/A-1+' ratings affirmed on its plan to acquire LinkedIn, outlook stable * Microsoft 'aaa/a-1+' ratings affirmed on its plan to acquire linkedin for $26.2 billion; outlook stable ~Moody's reviews Microsoft credit rating for cut after LinkedIn deal June 13 Rating agency Moody's placed software giant Microsoft Corp's AAA credit rating under review for downgrade following the software giant's deal to buy LinkedIn Corp for $26.2 billion. ~BRIEF-Moody's reviews Microsoft's AAA rating for downgrade * Moody's reviews Microsoft's AAA rating for downgrade following announced acquisition of LinkedIn ~US STOCKS-Wall St down for third-straight day as Microsoft drags * Indexes down: Dow 0.3 pct, S&P; 0.36 pct, Nasdaq 0.61 pct   (Updates to early afternoon) ~BRIEF-Microsoft CEO On CNBC - Started LinkedIn deal talks in earnest from February 2016 * Microsoft CEO On CNBC - Started deal talks in earnest from February 2016 ~
CRM,Salesforce.com Inc hires prominent hacking expert Trey Ford June 13 Cloud computing giant Salesforce.com Inc  said prominent computer hacking expert Trey Ford will join the company's Heroku unit as its head of trust, starting on Monday. ~
SRE,TransCanada JV wins $2.1 bln gas pipeline contract in Mexico June 13 TransCanada Corp said on Monday that it won a contract with a joint venture partner to build and operate a $2.1 billion natural gas pipeline in Mexico. ~
SYK,Stryker, Halo to get second chance at enhanced patent damages NEW YORK The U.S. Supreme Court on Monday said federal judges should have more discretion to boost penalties in patent infringement cases and ordered an appeals court to review whether Zimmer Biomet Holdings Inc willfully violated Stryker Corp patents on a surgical cleaning wand. ~UPDATE 3-Stryker, Halo to get second chance at enhanced patent damages NEW YORK, June 13 The U.S. Supreme Court on Monday said federal judges should have more discretion to boost penalties in patent infringement cases and ordered an appeals court to review whether Zimmer Biomet Holdings Inc  willfully violated Stryker Corp patents on a surgical cleaning wand. ~Stryker, Halo to get second chance at enhanced patent damages NEW YORK, June 13 The U.S. Supreme Court on Monday said federal judges should have more discretion to boost penalties in patent infringement cases and ordered a lower appeals court to review whether Zimmer Biomet Holdings Inc  willfully violated Stryker Corp patents on a surgical cleaning wand. ~
