AGN,CORRECTED-Valeant Pharmaceuticals' third-quarter sales to rise -filing (Corrects source of filing to Allergan, not Valeant. Adds Valeant statement from last week) ~
GOOGL.O,German privacy watchdog tells Google to restrict use of data FRANKFURT, Sept 30 A German data protection watchdog told Google Inc on Tuesday to seek users' permission for creating data profiles from its various services, adding to pressure on the U.S. technology giant in Europe over its privacy policy. ~U.S. attorney general criticizes Apple, Google data encryption WASHINGTON Joining a cry from law enforcement officials concerned about data encryption on Apple's newest operating system, U.S. Attorney General Eric Holder said on Tuesday that officers should not be blocked from the information they need to investigate a crime. ~U.S. attorney general criticizes Apple, Google data encryption WASHINGTON, Sept 30 Joining a cry from law enforcement officials concerned about data encryption on Apple's  newest operating system, U.S. Attorney General Eric Holder said on Tuesday that officers should not be blocked from the information they need to investigate a crime. ~Google searches for right note in online music business SAN FRANCISCO Google Inc is planning new and revamped streaming-music services in coming weeks, searching for a way to stand out in an increasingly crowded field of rivals from Apple Inc and Amazon.com Inc to Spotify. ~Google searches for right note in online music business SAN FRANCISCO, Sept 30 Google Inc   is planning new and revamped streaming-music services in coming weeks, searching for a way to stand out in an increasingly crowded field of rivals from Apple Inc and Amazon.com Inc to Spotify. ~
GOOG.O,German privacy watchdog tells Google to restrict use of data FRANKFURT, Sept 30 A German data protection watchdog told Google Inc on Tuesday to seek users' permission for creating data profiles from its various services, adding to pressure on the U.S. technology giant in Europe over its privacy policy. ~U.S. attorney general criticizes Apple, Google data encryption WASHINGTON Joining a cry from law enforcement officials concerned about data encryption on Apple's newest operating system, U.S. Attorney General Eric Holder said on Tuesday that officers should not be blocked from the information they need to investigate a crime. ~U.S. attorney general criticizes Apple, Google data encryption WASHINGTON, Sept 30 Joining a cry from law enforcement officials concerned about data encryption on Apple's  newest operating system, U.S. Attorney General Eric Holder said on Tuesday that officers should not be blocked from the information they need to investigate a crime. ~Google searches for right note in online music business SAN FRANCISCO Google Inc is planning new and revamped streaming-music services in coming weeks, searching for a way to stand out in an increasingly crowded field of rivals from Apple Inc and Amazon.com Inc to Spotify. ~Google searches for right note in online music business SAN FRANCISCO, Sept 30 Google Inc   is planning new and revamped streaming-music services in coming weeks, searching for a way to stand out in an increasingly crowded field of rivals from Apple Inc and Amazon.com Inc to Spotify. ~
AMZN.O,Google searches for right note in online music business SAN FRANCISCO Google Inc is planning new and revamped streaming-music services in coming weeks, searching for a way to stand out in an increasingly crowded field of rivals from Apple Inc and Amazon.com Inc to Spotify. ~Google searches for right note in online music business SAN FRANCISCO, Sept 30 Google Inc   is planning new and revamped streaming-music services in coming weeks, searching for a way to stand out in an increasingly crowded field of rivals from Apple Inc and Amazon.com Inc to Spotify. ~
AAPL.O,UPDATE 5-EBay follows Icahn's advice, plans PayPal spinoff in 2015 Sept 30 EBay Inc's agreement on Tuesday to spin off PayPal next year will give the unit more flexibility to strike deals in the rapidly evolving payments space as growth at the company's traditional e-commerce business slows. ~U.S. attorney general criticizes Apple, Google data encryption WASHINGTON, Sept 30 Joining a cry from law enforcement officials concerned about data encryption on Apple's  newest operating system, U.S. Attorney General Eric Holder said on Tuesday that officers should not be blocked from the information they need to investigate a crime. ~EU says Ireland swapped Apple tax deal for jobs BRUSSELS/LONDON The European Union has accused Ireland of swerving international tax rules by letting Apple shelter profits worth tens of billions of dollars from revenue collectors in return for maintaining jobs. | Video  ~UPDATE 3-EU says Ireland swapped Apple tax deal for jobs * EU regulator requests income statements of 2 Apple groups ~Google searches for right note in online music business SAN FRANCISCO Google Inc is planning new and revamped streaming-music services in coming weeks, searching for a way to stand out in an increasingly crowded field of rivals from Apple Inc and Amazon.com Inc to Spotify. ~Google searches for right note in online music business SAN FRANCISCO, Sept 30 Google Inc   is planning new and revamped streaming-music services in coming weeks, searching for a way to stand out in an increasingly crowded field of rivals from Apple Inc and Amazon.com Inc to Spotify. ~With iPhone 6 approved in China, Apple suppliers ready for demand TAIPEI With the launch of Apple's eagerly anticipated iPhone 6 finally on the horizon for Chinese fans, the U.S. company's supply chain is geared up and ready to deal with any surge in demand from the world's largest smartphone market. ~China OKs iPhone 6 sale after Apple addresses security concerns BEIJING The iPhone 6 will be sold in China from Oct 17, after rigorous regulator scrutiny led to Apple Inc  reassuring the Chinese government that the smartphones did not have security "backdoors" through which U.S. agencies can access users' data. ~
ADM,ADM expands venture with Marubeni, boosts PNW grain export capacity Sept 30 U.S. agribusiness company Archer Daniels Midland Co said on Tuesday that it has acquired a stake in Portland, Oregon, export terminal Columbia Grain by expanding its Kalama Export Company joint venture with Japanese grain trader Marubeni Corp. ~
T,UPDATE 1-AT&T; expects customer usage of NEXT to reach 50 pct in Q3 WASHINGTON, Sept 30 AT&T; Inc expects that customer use of its equipment installment plan will have reached 50 percent in the third quarter, the company said in a regulatory filing on Tuesday, fewer customers than analysts expected. ~
BA,UPDATE 3-Boeing to shift most defense work out of Washington state WASHINGTON, Sept 29 Boeing Co on Monday said it would move the majority of its defense services and support work out of Washington state to other U.S. cities, affecting the jobs of about 2,000 of its 5,200 defense employees in the Puget Sound region. ~
CME.O,MOVES-CME Group hires three people to expand international business Sept 30 CME Group Inc, parent of the Chicago Board of Trade, has appointed three people to key positions to expand its international business. ~
CMCSA.O,U.S. regulators look into treating Internet TV like cable WASHINGTON, Sept 30 The U.S. Federal Communications Commission is considering a  change in how it regulates Internet TV, potentially putting it on the same footing as traditional cable and satellite television, an FCC official familiar with the idea said on Tuesday. ~DEALS-European buyers buoy cross border deals while inversions slow LONDON/NEW YORK, Sept 30 European companies emboldened to spend their large cash balances on U.S. rivals have boosted global deal volumes by 60 percent so far in 2014, just as new government rules look set to dampen U.S. companies' deal making abroad aimed at cutting taxes. ~
