AET,UPDATE 5-Pfizer, Allergan drug merger talks raise tax hackles in U.S. Oct 29 Pfizer Inc, the No. 1 U.S. drugmaker, and Botox maker Allergan Plc said they were in friendly talks to create a pharmaceutical colossus but the prospect that the company would seek to avoid U.S. taxes sounded political alarm bells. ~UPDATE 3-Aetna raises forecast as government plans expand * Shares rise as much as 4.4 percent to $116.07   (Adds comments from CEO, analysts; updates shares) ~Health insurer Aetna revenue rises Oct 29 Health insurer Aetna Inc reported a 1.5 percent increase in quarterly revenue, helped by membership growth in its government business. ~
AGN,Pfizer-Allergan sparks fresh tax inversion angst on Capitol Hill WASHINGTON Pfizer Inc faces political risks in Washington if it proceeds with a bid for Allergan, but with little chance of legislation to curb such tax inversion deals, the Obama administration may be able to throw up only limited obstacles. ~Pfizer-Allergan sparks fresh tax inversion angst on Capitol Hill WASHINGTON, Oct 29 Pfizer Inc faces political risks in Washington if it proceeds with a bid for Allergan, but with little chance of legislation to curb such tax inversion deals, the Obama administration may be able to throw up only limited obstacles. ~US STOCKS-Wall St slips on tech results, chances of Fed hike * Indexes down: Dow .13 pct, S&P; .04 pct, Nasdaq .42 pct   (Updates close with Valeant down after the bell; LinkedIn up) ~UPDATE 5-Pfizer, Allergan drug merger talks raise tax hackles in U.S. Oct 29 Pfizer Inc, the No. 1 U.S. drugmaker, and Botox maker Allergan Plc said they were in friendly talks to create a pharmaceutical colossus but the prospect that the company would seek to avoid U.S. taxes sounded political alarm bells. ~UPDATE 3-Allergan unit to plead guilty to healthcare fraud, pay $125 mln Oct 29 Warner Chilcott US Sales LLC, now part of Botox maker Allergan Plc, agreed to plead guilty to felony healthcare fraud and pay $125 million to resolve U.S. charges that it paid kickbacks to doctors to induce them to prescribe several of its drugs. ~US STOCKS-Wall St ticks down as investors digest Fed, earnings * Indexes down: Dow .13 pct, S&P; .04 pct, Nasdaq .42 pct   (Updates to close) ~Deals of the day- Mergers and acquisitions Oct 29 The following bids, mergers, acquisitions and disposals were reported by 2000 GMT on Thursday: ~US STOCKS-Wall St slips with eye on Fed rate hike in Dec * Indexes down: Dow 0.2 pct, S&P; 0.11 pct, Nasdaq 0.36 pct   (Updates to late afternoon) ~Allergan unit to plead guilty to health care fraud, pay $125 mln Oct 29 Warner Chilcott US Sales LLC, now part of Allergan Plc, agreed to plead guilty to felony health care fraud and pay $125 million to resolve U.S. criminal and civil liability arising from its illegal marketing of several drugs, the Department of Justice said on Thursday. ~
GOOGL.O,UPDATE 1-Alphabet, Indonesian companies to expand Web access via balloons MOUNTAIN VIEW, Calif., Oct 28 Alphabet Inc , the new holding company for Google, has teamed up with three Indonesian telecommunications companies to expand Internet access in that country using solar-powered balloons. ~
GOOG.O,UPDATE 1-Alphabet, Indonesian companies to expand Web access via balloons MOUNTAIN VIEW, Calif., Oct 28 Alphabet Inc , the new holding company for Google, has teamed up with three Indonesian telecommunications companies to expand Internet access in that country using solar-powered balloons. ~
AAPL.O,Apple asks U.S. Supreme Court to toss e-books antitrust decision NEW YORK Apple Inc has asked the U.S. Supreme Court to overturn an appellate court decision that found the iPad maker conspired with five publishers to increase e-book prices. ~Apple asks U.S. Supreme Court to toss e-books antitrust decision NEW YORK, Oct 29 Apple Inc has asked the U.S. Supreme Court to overturn an appellate court decision that found the iPad maker conspired with five publishers to increase e-book prices. ~Taiwan stocks edge up, Apple suppliers, Coretronics gain TAIPEI, Oct 29 Taiwan stocks rose on Thursday along with gains on Wall Street, with Apple Inc  suppliers trading higher after the iPhone maker posted a near doubling of revenue from China. ~
ADM,Cargill to close chocolate plant in Pennsylvania NEW YORK, Oct 29 Cargill Inc. said on Thursday it will close a cocoa and chocolate plant in Lititz, Pennsylvania, in January as part of a restructuring of its North American cocoa and chocolate operations. ~
BRKa.N,UPDATE 2-SunPower to sell projects in power plant unit - CEO Oct 28 No. 2 U.S. solar panel maker SunPower Corp is looking to sell projects in its power plant business and potential buyers include Berkshire Hathaway Energy, Chief Executive Officer Thomas Werner told Reuters. ~
BA,UPDATE 2-Airbus set to announce new hike in A320 production -sources * Suppliers not yet ready to handle output as high as 63/month ~CORRECTED-UPDATE 1-China, Germany sign deal for Chinese airlines to buy 130 Airbus jets BEIJING, Oct 29 China and Germany signed a deal on Thursday that will see Chinese airlines buy 130 aeroplanes manufactured by Airbus Group SE. ~
BWA,BorgWarner 3rd-qtr profit tops Wall St expectations, revs miss DETROIT, Oct 29 BorgWarner Inc, a maker of automotive fuel-saving turbochargers and emissions systems, on Thursday reported third-quarter earnings that beat expectations, but revenue that missed. ~
COP,BRIEF-Conoco's strategic intent is to exit deepwater exploration-exec * Conocophillips executive says the company's strategic intent is to exit deepwater exploration  Source text for Eikon:  Further company coverage:    (Reporting by Anna Driver) ~ConocoPhillips posts quarterly loss as crude prices crash Oct 29 ConocoPhillips, the largest U.S. independent oil company, reported a quarterly loss, compared with a year-earlier profit, as the slump in crude prices sapped profitability. ~
CVS,UPDATE 4-CVS, Express Scripts drop Valeant's Philidor; stock dives Oct 29 Shares of Valeant Pharmaceuticals Inc. fell further on Thursday after CVS Health Corp and Express Scripts dropped Philidor Rx from their networks in a sign the fall-out from the drugmaker's connection with the specialty pharmacy is spreading. ~CVS Health drops Philidor, adds to Valeant's woes Drugstore chain CVS Health Corp  said it had dropped Philidor Rx, a specialty pharmacy associated with Valeant Pharmaceuticals Inc  , from its Caremark program. ~CVS Health drops Philidor, adds to Valeant's woes Oct 29 Drugstore chain CVS Health Corp  said it had dropped Philidor Rx, a specialty pharmacy associated with Valeant Pharmaceuticals Inc , from its Caremark program. ~
EA.O,UPDATE 2-Electronic Arts raises sales forecast for Star Wars' videogame * To sell 13 mln "Star Wars: Battlefront" units in fiscal 2016 ~
EXPE.O,Expedia Q3 profit beats estimates, says expects more money from Orbitz deal Oct 29 Expedia Inc on Thursday posted a rise in third-quarter profit that beat analysts' estimates, and said it now expects its merger with Orbitz Worldwide Inc  will generate more savings and revenue than previously anticipated. ~
