CTL,Deals of the day- Mergers and acquisitions Sept 9 The following bids, mergers, acquisitions and disposals were reported by 1000 GMT on Friday: ~
DD,EU regulators halt Dow, DuPont merger review to gather data BRUSSELS, Sept 9 EU antitrust regulators have halted their scrutiny of Dow Chemical Co and DuPont's  proposed merger while the companies provide more information regarding their $130 billion deal. ~
F,UPDATE 1-Ford to buy San Francisco shuttle service in mobility push SAN FRANCISCO, Sept 9 Ford Motor Co said on Friday it would acquire San Francisco-based shuttle service Chariot with plans to expand the service globally, as the carmaker expands beyond auto manufacturing and takes another step toward becoming a mobility company. ~BRIEF-Ford says Ford GoBike to launch in San Francisco * Ford partnering with global cities on new transportation; chariot shuttle to be acquired, ford gobike to launch in san francisco ~Ford to buy San Francisco shuttle service in mobility push SAN FRANCISCO, Sept 9 Ford Motor Co said on Friday it would acquire San Francisco-based shuttle service Chariot with plans to expand the service globally, another step in the carmaker expands beyond auto manufacturing to become a mobility company. ~
GM,UPDATE 2-GM recalls 4.3 million vehicles over air bag-related defect WASHINGTON, Sept 9 General Motors Co said on Friday it will recall nearly 4.3 million vehicles worldwide to fix a software defect that can prevent air bags from deploying during a crash, a flaw already linked to one death and three injuries. ~GM recalls 4.3 million vehicles over air bag-related defect General Motors Co said on Friday it will recall nearly 4.3 million vehicles worldwide due to a software defect that can prevent air bags from deploying during a crash, a flaw already linked to one death and three injuries. ~UPDATE 1-GM recalls 4.3 million vehicles over air bag-related defect WASHINGTON, Sept 9 General Motors Co said on Friday it will recall nearly 4.3 million vehicles worldwide due to a software defect that can prevent air bags from deploying during a crash, a flaw already linked to one death and three injuries. ~GM recalls 4.3 million vehicles worldwide for software defect WASHINGTON, Sept 9 General Motors Co said Friday it will recall nearly 4.3 million vehicles worldwide for a software defect that can, in rare instances, prevent air bags from deploying during a crash, an issue that has been linked to one death and three injuries. ~
KR,UPDATE 2-Low food prices force Kroger to cut profit forecast * Shares reverse course, up nearly 1 pct   (Adds comments from CEO, analysts; updates shares) ~Supermarket operator Kroger's profit falls 11.5 pct Sept 9 Kroger Co, the biggest U.S. supermarket company, reported an 11.5 percent fall in quarterly profit, largely hurt by charges related to restructuring of some pension obligations. ~BRIEF-Kroger Q2 adjusted earnings per share $0.47 * Sees fy 2016 adjusted earnings per share $2.10 to $2.20 excluding items ~
MA,UPDATE 3-Mastercard sued for $19 bln in Britain's biggest damages claim * Fees passed on to consumers for 16 years - court filings   (Adds Breakingviews link) ~
STX.O,UPDATE 2-Seagate Tech invites ValueAct in as major shareholder Sept 9 Seagate Technology Plc has invited ValueAct Capital in as an investor, selling a roughly 4 percent stake to the activist hedge fund, which will also get a front-row view of its board meetings, the hard-drive maker said on Friday. ~BRIEF-Seagate Technology says ValueAct Capital buys stake in co * Seagate technology executes secondary block trade transaction with valueact capital ~ValueAct buys stake in Seagate Technology Sept 9 Seagate Technology Plc has sold a stake in itself to ValueAct Capital in a deal that also provides the activist hedge fund with a front-row view of its board meetings, the hard-drive maker said on Friday. ~
LUV,Southwest Airlines signs tentative agreement with flight attendants Sept 9 Budget airline Southwest Airlines Co  said it reached a tentative agreement with a union that represents the company's flight attendants. ~BRIEF-Southwest Airlines, flight attendant union reach tentative agreement * Southwest Airlines and Flight Attendant Union reach tentative agreement ~
WMT,New Asda boss makes first price cuts LONDON, Sept 9 The new boss of Asda, the British supermarket arm of Wal-Mart, introduced his first wave of price cuts on Friday, seeking to reverse a dramatic slump in sales. ~
