AGN,UPDATE 1-Shareholder T. Rowe Price urges Allergan to hold off on deals (Adds comment from Allergan in paragraph 8; refiled to correct typographical error in headline) ~
XOM,Mexico to merge tenders and joint venture plan in oil opening CANCUN, Mexico, Sept 26 Mexico will seek joint ventures for state oil company Pemex at the same time it invites bidding from companies on oil fields during a historic opening of the industry to private investment, the government said on Friday. ~
GS,UPDATE 1-Goldman tightens conflict-of-interest rules Sept 26 Goldman Sachs Group Inc has tightened rules on investments its bankers can make in individual stocks and bonds, a company spokesman said on Friday. ~UPDATE 3-Secret tapes of Fed meetings on Goldman prompt call for U.S. hearings * Former New York Fed bank examiner recorded conversations ~
MSFT.O,UPDATE 1-Romania seeks probe into ex-ministers in school software deal (Adds to clarify that prosecutor's statement refers to Microsoft  products, not the company, paragraph 4) ~Romania seeks probe into ex-ministers in school software deal BUCHAREST, Sept 27 Romania's anti-corruption prosecutor's office (DNA) is seeking to launch a criminal inquiry against nine ex-government ministers suspected of money laundering, abuse of office and bribery related to Microsoft  educational licences from 2004 to 2009. ~
PFE,Pfizer drug effective in patients with rare lung cancer -study Sept 27 Pfizer Inc's Xalkori, which treats lung cancer patients with a specific gene mutation, proved effective in shrinking tumors in those with an even rarer form of the disease, according to data presented at a medical meeting on Saturday. ~
RTN,Raytheon links with Poland's WB Electronics in missile shield bid WARSAW, Sept 27 U.S. weapons maker Raytheon  has signed a letter of intent with Polish military software producer WB Electronics to cooperate in bidding for a contract to build Poland's planned anti-missile system, Polish state radio said on its website. ~
TROW.O,UPDATE 1-Shareholder T. Rowe Price urges Allergan to hold off on deals (Adds comment from Allergan in paragraph 8; refiled to correct typographical error in headline) ~
CLX,Clorox warns of safety concerns after Venezuelan takeover of plants Sept 27 U.S. cleaning products maker Clorox Co  said the Venezuelan government's takeover of two of its plants after the company pulled out of the country raised "grave concerns" about the safety of workers and surrounding communities. ~Venezuela takes over plants left by U.S. firm Clorox VALLES DEL TUY Venezuela Venezuela announced on Friday the "temporary" takeover of two plants belonging to U.S. cleaning products maker Clorox Co which has left the country because of difficult economic conditions. ~UPDATE 1-Venezuela takes over plants left by U.S. firm Clorox VALLES DEL TUY, Venezuela, Sept 26 Venezuela announced on Friday the "temporary" takeover of two plants belonging to U.S. cleaning products maker Clorox Co  which has left the country because of difficult economic conditions. ~
