AET,New form of U.S. healthcare saves money, improves quality, one insurer finds NEW YORK In one of the largest tests of a novel way to deliver and pay for healthcare, insurer CareFirst BlueCross BlueShield announced on Thursday that 1.1 million people receiving care through its "patient-centered medical homes" last year were hospitalized less often and stayed for fewer days compared to patients in traditional fee-for-service care. ~New form of U.S. healthcare saves money, improves quality, one insurer finds NEW YORK, July 10 In one of the largest tests of a novel way to deliver and pay for healthcare, insurer CareFirst BlueCross BlueShield announced on Thursday that 1.1 million people receiving care through its "patient-centered medical homes" last year were hospitalized less often and stayed for fewer days compared to patients in traditional fee-for-service care. ~
GOOGL.O,Woman charged with manslaughter in Google exec's heroin death SAN FRANCISCO, July 10 An alleged prostitute suspected of killing a California technology executive by injecting him with a fatal dose of heroin aboard his yacht off the coast of Santa Cruz has been charged with manslaughter, authorities said Thursday. ~Access to Google services within China returns BEIJING Users in China were able to access online services for Google Inc on Thursday, after more than a month of severe disruption that almost completely blocked people from using features such as its search, maps and e-mail functions. ~Access to Google services within China returns BEIJING, July 10 Users in China were able to access online services for Google Inc on Thursday, after more than a month of severe disruption that almost completely blocked people from using features such as its search, maps and e-mail functions. ~
GOOG.O,Woman charged with manslaughter in Google exec's heroin death SAN FRANCISCO, July 10 An alleged prostitute suspected of killing a California technology executive by injecting him with a fatal dose of heroin aboard his yacht off the coast of Santa Cruz has been charged with manslaughter, authorities said Thursday. ~Access to Google services within China returns BEIJING Users in China were able to access online services for Google Inc on Thursday, after more than a month of severe disruption that almost completely blocked people from using features such as its search, maps and e-mail functions. ~Access to Google services within China returns BEIJING, July 10 Users in China were able to access online services for Google Inc on Thursday, after more than a month of severe disruption that almost completely blocked people from using features such as its search, maps and e-mail functions. ~
AMZN.O,UPDATE 3-U.S. sues Amazon over purchases by kids using mobile apps (New throughout, adds details on apps and in-app purchases) ~British author Ahlberg says rejects award due to Amazon link LONDON British children's author Allan Ahlberg has rejected a lifetime achievement award after finding out it was sponsored by Internet bookseller Amazon, which he said does not pay its fair share of tax in Britain. ~UPDATE 1-British author Ahlberg says rejects award due to Amazon link LONDON, July 10 British children's author Allan Ahlberg has rejected a lifetime achievement award after finding out it was sponsored by Internet bookseller Amazon, which he said does not pay its fair share of tax in Britain. ~UPDATE 3-TV newcomers 'True Detective,' 'Orange' storm Emmys race (Adds details on overlooked shows, quotes from nominees)     By Mary Milliken and Eric Kelsey     LOS ANGELES, July 10 Television newcomers "True Detective," a crime drama from HBO, and "Orange is the New Black," a dark prison comedy from Netflix, racked up a dozen Emmy nominations each on Thursday in a challenge to stalwarts like "Breaking Bad" and "Modern Family."     Online streaming company Netflix Inc, the big disrupter of the Emmys last year, more than doubled its nominations f ~U.S. sues Amazon for kids' in-app charges without parental consent WASHINGTON, July 10 Amazon.com charged parents millions of dollars for in-app purchases that their children made without getting permission, the U.S. Federal Trade Commission said in a lawsuit filed against the online retailer on Thursday. ~British author Ahlberg says turns down award due to Amazon link LONDON Noted British children's book author Allan Ahlberg has rejected a lifetime achievement award after finding out it was sponsored by the Internet bookseller Amazon, which he maintained does not pay its fair share of tax in Britain. ~British author Ahlberg says turns down award due to Amazon link LONDON, July 10 Noted British children's book author Allan Ahlberg has rejected a lifetime achievement award after finding out it was sponsored by the Internet bookseller Amazon, which he maintained does not pay its fair share of tax in Britain. ~
AAPL.O,UPDATE 3-U.S. sues Amazon over purchases by kids using mobile apps (New throughout, adds details on apps and in-app purchases) ~Apple targets rising water use, production partners' emissions SAN FRANCISCO Apple Inc acknowledged on Wednesday it needs to address manufacturing partners' carbon emissions and its own rising water consumption, though the iPhone maker said it had cut back sharply on greenhouse gas output. ~Apple targets rising water use, production partners' emissions SAN FRANCISCO, July 9 Apple Inc  acknowledged on Wednesday it needs to address manufacturing partners' carbon emissions and its own rising water consumption, though the iPhone maker said it had cut back sharply on greenhouse gas output. ~
T,UPDATE 1-Verizon says added over 1.4 mln postpaid customers in Q2 (Adds quote from CEO, background on subscribers and details) ~
BAC,UPDATE 1-Bank of America resubmits request for dividend increase - WSJ (Adds BofA declining to comment, updates share movement, adds background) ~Bank of America resubmits request for dividend increase - WSJ July 10 Bank of America Corp has asked regulators to approve a higher quarterly dividend of 5 cents per share after it withdrew a previously planned increase in April, the Wall Street Journal reported on Wednesday, citing people familiar with the matter. ~
BA,US Air Force kicks off multibillion dollar bomber competition RAF FAIRFORD, England, July 10 The U.S. Air Force launched a formal competition on Thursday for a new long-range strike (LRS-B) bomber, saying it expected to award a contract for the multibillion-dollar program to a winning bidder next spring. ~UPDATE 2-General Electric picks partners for GE9X engine on Boeing 777X (New throughout, adds details about company stakes, testing) ~General Electric picks participants for GE9X engine on Boeing 777X NEW YORK, July 10 General Electric said on Thursday it picked Safran of France, Japan's IHI  and MTU Aero Engines Of Germany as key participants to work with GE on the GE9X engine that will power Boeing Co's new 777X aircraft. ~Boeing sees $5.2 trillion jet market, win versus Airbus on twin-aisles NEW YORK Boeing Co made its most bullish 20-year forecast for jetliner demand since 2011, saying on Thursday the world will need 36,770 new planes worth $5.2 trillion by 2033. ~Boeing will 'fight' revamped Airbus A330, defends 787 LONDON, July 10 Boeing hit back on Thursday at proposals by rival Airbus to revamp its A330 passenger jet, saying it would "fight" in the  marketplace and was confident that its newer 787 Dreamliner was a more valuable plane. ~Boeing sees $5.2 trln jet market, win vs Airbus on twin-aisles NEW YORK, July 10 Boeing Co made its most bullish 20-year forecast for jetliner demand since 2011, saying on Thursday the world will need 36,770 new planes worth $5.2 trillion by 2033. ~
CHK,UPDATE 2-Chesapeake faces trial on bid-rigging in Michigan lease sale (Adds comment from Michigan Attorney General, additional detail) ~Chesapeake to face trial on bid-rigging in Michigan lease sale July 10 A judge in Michigan has ruled that Oklahoma-based Chesapeake Energy Corp. must face a criminal trial on a charge of bid-rigging with competitor Encana Corp at a 2010 state land lease auction, citing evidence of a conspiracy between the companies that drove state lease prices down sharply. ~
CVX,Chevron expects second-quarter profit to rise Chevron Corp expects second-quarter profit to rise as asset sales in Chad and elsewhere offset spiking currency charges, the No. 2 U.S. oil company said on Thursday. ~UPDATE 1-Chevron expects second-quarter profit to rise July 10 Chevron Corp expects second-quarter profit to rise as asset sales in Chad and elsewhere offset spiking currency charges, the No. 2 U.S. oil company said on Thursday. ~Chevron expects second-quarter profit to rise July 10 Chevron Corp, the second-largest oil company in the United States, said on Thursday it expects its second-quarter profit to rise, helped in part by asset sales and fewer one-time charges. ~
