GOOGL.O,Google, Samsung to issue monthly Android security fixes LAS VEGAS, Aug 6 Google Inc and Samsung Electronics Co will release monthly security fixes for Android phones, a growing target for hackers, after the disclosure of a bug designed to attack the world's most popular mobile operating system. ~
GOOG.O,Google, Samsung to issue monthly Android security fixes LAS VEGAS, Aug 6 Google Inc and Samsung Electronics Co will release monthly security fixes for Android phones, a growing target for hackers, after the disclosure of a bug designed to attack the world's most popular mobile operating system. ~
AAL.O,UPDATE 2-China-linked hackers attack American Airlines, Sabre systems - Bloomberg Aug 7 China-linked hackers attacked the computer systems of travel reservations distributor Sabre Corp  and American Airlines Group Inc, Bloomberg reported, although the world's largest airline said there was no evidence of such a breach. ~China-linked hackers breach American Airlines, Sabre systems - Bloomberg Aug 7 China-linked hackers have breached the computer systems of U.S. airline company American Airline Group Inc and travel reservations platform provider Sabre Corp , Bloomberg reported, citing people familiar with the investigations. ~
AXP,UPDATE 1-Activist hedge fund ValueAct takes stake in AmEx Aug 7 Activist hedge fund ValueAct Capital Management LP has taken a stake in credit card issuer American Express Co, which is struggling with the loss of several co-branded tie-ups amid intense competition. ~Deals of the day- Mergers and acquisitions Aug 7 The following bids, mergers, acquisitions and disposals were reported by 2000 GMT on Friday: ~Activist fund ValueAct builds $1 bln stake in AmEx-Bloomberg   ~
BRKa.N,UPDATE 3-Berkshire profit falls 37 pct on investment, insurance slump Aug 7 Warren Buffett's Berkshire Hathaway Inc   said on Friday its second-quarter profit fell 37 percent, reflecting a significant decline in investment gains and an underwriting loss from insurance operations, which include Geico. ~Berkshire Hathaway 2nd-qtr profit falls 37 pct Aug 7 Warren Buffett's Berkshire Hathaway Inc   said on Friday second-quarter profit fell 37 percent, reflecting a significant decline in investment gains and weaker results in its insurance operations. ~Activist fund ValueAct builds $1 bln stake in AmEx-Bloomberg   ~
CF,Basic materials M&A; hits seven-year high buoyed by chemicals deals LONDON, Aug 7 Worldwide dealmaking in the basic materials sector rose in July to a seven-year high, lifted by U.S. fertiliser maker CF Industries' $8 billion bid for some of Dutch firm OCI NV's North American and European, Thomson Reuters data shows. ~
C,Board of Brazil's Petrobras approves plan for fuel unit IPO SAO PAULO, Aug 7 The board of Petróleo Brasileiro SA has approved a plan to request regulatory permission to list the state-controlled oil producer's fuel distrbution unit on the São Paulo Stock Exchange. ~
GM,DIARY-U.S. MEETINGS/WEEK AHEAD Thomson Reuters August 7, 2015 - Corporate Meetings for US companies for Week ahead.         S&P; 500 Earnings - MONTH AHEAD     Dividends                            Non S&P; 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC, right click, no click on Related Co Data, now click on Co Events.                * ~
GS,Malaysia officials visit Goldman office as part of 1MDB probe - sources KUALA LUMPUR/SINGAPORE, Aug 7 Malaysian anti-corruption officials investigating state investor 1MDB for alleged graft visited the local office of Goldman Sachs  last month seeking documents relating to the state firm, two people familiar with the visit said. ~
HAL,REFILE-RPT-'Frack now, pay later,' top services companies say amid oil crash HOUSTON, Aug 7 Business is so tough for oilfield giants Schlumberger NV and Halliburton Co that they have come up with a new sales pitch for crude producers halting work in the worst downturn in years. It amounts to this: "frack now and pay later." ~REFILE-'Frack now, pay later,' top services companies say amid oil crash HOUSTON, Aug 7 Business is so tough for oilfield giants Schlumberger NV and Halliburton Co that they have come up with a new sales pitch for crude producers halting work in the worst downturn in years. It amounts to this: "frack now and pay later." ~REUTERS BUSINESS NEWS SCHEDULE AT 1830 GMT/2:30 PM ET WASHINGTON - U.S. employment rose at a solid clip in July and wages rebounded after unexpectedly stalling in the prior month, signs of an improving economy that could open the door wider to a Federal Reserve interest rate hike in September. (USA-ECONOMY/ (WRAPUP 5), moved, by Lucia Mutikani, 870 words) ~
LMT,U.S. okays $1.5 bln sale of Lockheed Aegis combat system to Japan WASHINGTON, Aug 7 The U.S. State Department has approved the likely sale to Japan of two Lockheed Martin Corp  Aegis combat systems valued at $1.5 billion, a deal aimed at boosting Japan's defenses against a ballistic missile attack, the U.S. Defense Department said Friday. ~
MSFT.O,PRESS DIGEST- New York Times business news - Aug 7 Aug 7 The following are the top stories on the New York Times business pages. Reuters has not verified these stories and does not vouch for their accuracy. ~
MDLZ.O,Investor Ackman takes $5.5 billion stake in Cadbury owner Mondelez Activist investor William Ackman has built a stake worth about $5.5 billion in Mondelez International Inc , the maker of Cadbury chocolate and Oreo cookies, in what is seen as an attempt to push the company to boost earnings or sell itself. | Video  ~Billionaire Ackman eyeing Mondelez reunion with Kraft: sources BOSTON/NEW YORK Billionaire investor William Ackman's success at Mondelez International Inc  may depend largely on a calculation that nimbler rival Kraft Heinz Co  will soon snap up the maker of Cadbury chocolate and Oreo cookies, sources familiar with Ackman's approach said. ~Billionaire Ackman eyeing Mondelez reunion with Kraft -sources BOSTON/NEW YORK, Aug 6 Billionaire investor William Ackman's success at Mondelez International Inc  may depend largely on a calculation that nimbler rival Kraft Heinz Co will soon snap up the maker of Cadbury chocolate and Oreo cookies, sources familiar with Ackman's approach said. ~
NVDA.O,US STOCKS-Wall St falls as rosy jobs growth points to September rate hike * Indexes down: Dow 0.62 pct, S&P; 0.65 pct, Nasdaq 0.86 pct   (Updates to mid-afternoon) ~US STOCKS-Wall St falls as jobs data raises Sept rate hike chances * Traders pricing a 52 pct chance for Sept hike, up from 47 pct ~US STOCKS-Wall St falls as jobs data supports Sept rate hike * Nvidia touches four-month high after revenue beats estimates ~
OXY,REFILE-China's energy asset-rush stalls on crude slump, graft probes * Since 1993 China poured $140 bln into foreign energy projects ~
PRU,Prudential unit buys Deutsche India fund management business MUMBAI Prudential Financial Inc's  Pramerica Investment Management is buying Deutsche Asset Management's Indian unit for an undisclosed sum, betting on a revival of India's mutual fund industry. ~
