GOOGL.O,Daimler CEO mulls JVs with Apple, Google -magazine BERLIN, Aug 21 Daimler's chief executive said "different types" of cooperation with Apple  and Google are possible as carmakers realise next-generation autos cannot be built without greater input from telecoms and software experts. ~
GOOG.O,Daimler CEO mulls JVs with Apple, Google -magazine BERLIN, Aug 21 Daimler's chief executive said "different types" of cooperation with Apple  and Google are possible as carmakers realise next-generation autos cannot be built without greater input from telecoms and software experts. ~
APC,In downturn, frackers turn to toilet water in drought-prone Texas HOUSTON Top shale oil producer Pioneer Natural Resources Co  has found an unusual way to both save water and cut costs for its wells: tapping the treated runoff from toilets, sinks and showers in west Texas. ~In downturn, frackers turn to toilet water in drought-prone Texas HOUSTON, Aug 21 Top shale oil producer Pioneer Natural Resources Co has found an unusual way to both save water and cut costs for its wells: tapping the treated runoff from toilets, sinks and showers in west Texas. ~
AAPL.O,Tesla engineer joins Apple's growing team of automated car experts DETROIT/SAN FRANCISCO, Aug 21 Consumer electronics company Apple Inc has hired a senior engineer from electric car maker Tesla Motors Inc, according to a LinkedIn posting, as part of Apple's effort to build a team of experts in automated driving. ~US STOCKS-Wall St slumps as weak Chinese data adds to growth fears * Indexes down: Dow 0.98 pct, S&P; 0.94 pct, Nasdaq 1.35 pct   (Updates to open) ~Daimler CEO mulls JVs with Apple, Google: magazine BERLIN Daimler's  chief executive said "different types" of cooperation with Apple  and Google  are possible as carmakers realize next-generation autos cannot be built without greater input from telecoms and software experts. ~Daimler CEO mulls JVs with Apple, Google -magazine BERLIN, Aug 21 Daimler's chief executive said "different types" of cooperation with Apple  and Google are possible as carmakers realise next-generation autos cannot be built without greater input from telecoms and software experts. ~Apple smashes Kangaroo record with Aussie debut SYDNEY, Aug 21 (IFR) - US tech giant Apple, rated Aa1/AA+ (Moody's/S&P;), has raised a stunning A$2.25 billion (US$1.65 billion) from its debut Kangaroo offering, comfortably the largest Kangaroo trade by any issuer, including supranationals, sub-sovereigns and agencies, and overseas banks. ~Nikkei drops to 6-week low on Wall Street fall, China worries * Nikkei down for 4 straight days, has fallen 4.6 pct this week ~Apple tightens price guidance for Kangaroo debut SYDNEY, Aug 21 (IFR) - US tech giant Apple, rated Aa1/AA+ (Moody's/S&P;), has tightened price guidance for its three-tranche debut offering of Kangaroo bonds ahead of pricing later today. ~
BA,UPDATE 1-Boeing on track to meet 737 MAX production targets -spokesman Aug 21 Boeing Co remains on track to meet production targets it has set for its 737 MAX jetliner, a company spokesman said on Friday following a report on industry concerns that slow output at supplier GKN PLC could cause delays. ~Boeing on track to meet 737 MAX production targets - spokesman Aug 21 Boeing Co remains on track to meet production targets it has set for its 737 MAX jetliner, a spokesman for the plane maker said on Friday following a report on industry concerns that slow output at key supplier GKN  could derail the timeline. ~PRESS DIGEST- Wall Street Journal - Aug 21 Aug 21 The following are the top stories in the Wall Street Journal. Reuters has not verified these stories and does not vouch for their accuracy. ~
COST.O,US lawsuit accuses Costco, Thai supplier of selling prawns produced by slaves NEW YORK/BANGKOK, Aug 21 (Thomson Reuters Foundation) - A U.S. lawsuit accusing retailer Costco Wholesale Corp. of knowingly selling frozen prawns linked to a company that uses slave labor was described on Friday as "entirely without merit" by Thai seafood supply company CP Food Products. ~
DE,CORRECTED-UPDATE 3-Deere shares fall 8 pct following weak 3rd-qtr results Aug 21 Deere & Co reported that third-quarter profit tumbled 40 percent on weak demand for agricultural equipment and a stronger dollar, and gave a bleaker forecast for fourth-quarter equipment sales, sending shares sliding more than 8 percent. ~Deere profit falls 40 pct on weak demand for farm equipment Aug 21 Deere & Co, the maker of John Deere tractors, reported a 40 percent fall in quarterly profit, hurt by weak demand for its agriculture equipment. ~
FDX,UPDATE 1-Fedex reaches tentative agreement with pilots Aug 20 FedEx pilots tentatively agreed with the package delivery company on an amended collective bargaining agreement, the Air Line Pilots Association (ALPA) said. ~
F,Tesla engineer joins Apple's growing team of automated car experts DETROIT/SAN FRANCISCO, Aug 21 Consumer electronics company Apple Inc has hired a senior engineer from electric car maker Tesla Motors Inc, according to a LinkedIn posting, as part of Apple's effort to build a team of experts in automated driving. ~
LMT,Lockheed welcomes US plan to use its combat system for frigates MARINETTE, Wisconsin, Aug 21 Lockheed Martin Corp on Friday welcomed the U.S. Navy's decision to use Lockheed's integrated combat system for future frigate-class ships to be built beginning in fiscal 2019, saying it would allow greater commonality across the entire Navy fleet. ~
MCD,McDonald's signs second franchising deal in Russia MOSCOW McDonald's Corp.  said on Friday it had signed its second deal with a Russian franchisee which will help it to expand in remote Siberian regions. ~McDonald's signs second franchising deal in Russia MOSCOW, Aug 21 McDonald's Corp. said on Friday it had signed its second deal with a Russian franchisee which will help it to expand in remote Siberian regions. ~McDonald's grilled over labor, tax practices at Brazil hearing BRASILIA McDonald's Corp , the world's biggest fast-food chain, was accused of mistreating its employees and dodging taxes on Thursday during a Senate hearing in Brazil, where politicians, union leaders and workers from five continents voiced allegations. ~
