ABBV.N,AbbVie buys special review voucher for $350 mln Aug 19 AbbVie Inc has bought a priority review voucher from United Therapeutics Corp for $350 million that will allow it to accelerate the review process for one of its drugs. ~
C,Citigroup to pay $15 mln to settle U.S. compliance charges WASHINGTON A unit of Citigroup Inc will pay $15 million to settle civil charges alleging it failed to enforce policies designed to prevent and detect insider trading, U.S. regulators said. ~UPDATE 1-Citigroup to pay $15 mln to settle U.S. compliance charges WASHINGTON, Aug 19 A unit of Citigroup Inc  will pay $15 million to settle civil charges alleging it failed to enforce policies designed to prevent and detect insider trading, U.S. regulators said. ~Citigroup to pay $15 mln to settle U.S. SEC charges over compliance failures WASHINGTON, Aug 19 A unit of Citigroup Inc  will pay $15 million to settle civil charges alleging it failed to enforce policies designed to prevent and detect insider trading, U.S. regulators said. ~Petrobras may replace fuel unit CEO ahead of IPO, paper says SAO PAULO, Aug 19 State-controlled Brazilian oil producer Petróleo Brasileiro SA  plans to replace the head of fuel distribution subsidiary BR Distribuidora SA ahead of an initial public offering plan for the unit this year, Valor Econômico newspaper said on Wednesday. ~
ESRX.O,Wal-Mart's drug problem: pharmacy business drags on profit CHICAGO The world's largest retailer has a drug problem. ~Wal-Mart's drug problem: pharmacy business drags on profit CHICAGO, Aug 18 The world's largest retailer has a drug problem. ~
GM,GM extends Oshawa assembly line operations until 2017 TORONTO, Aug 19 General Motors Co will keep an Oshawa, Ontario assembly line operating until 2017, the company's Canadian unit said on Wednesday, extending the life of a line that has been repeatedly scheduled for closure over the last decade. ~
GS,JPMorgan, Goldman Sachs, Morgan Stanley to form data company-WSJ Aug 19 JPMorgan Chase & Co, Goldman Sachs Group Inc and Morgan Stanley are working to create a company that will pull together and clean reams of data used to determine pricing and transaction costs, the Wall Street Journal reported. ~Goldman Sachs's unit obtains Hong Kong banking license HONG KONG A wholly-owned unit of Goldman Sachs Group  received a banking license from The Hong Kong Monetary Authority (HKMA), the HKMA announced on Wednesday, in a step that creates a local subsidiary through which the U.S investment bank can book its trades. ~Goldman Sachs's unit obtains Hong Kong banking license HONG KONG, Aug 19 A wholly-owned unit of Goldman Sachs Group received a banking license from The Hong Kong Monetary Authority (HKMA), the HKMA announced on Wednesday, in a step that creates a local subsidiary through which the U.S investment bank can book its trades. ~
HD,UPDATE 4-Lowe's sales beat on demand for appliances, outdoor equipment * Profit $1.20/share vs est. $1.24   (Adds CEO comment, details; updates shares) ~
JPM,UPDATE 3-Bank of NY Mellon sued by U.S. regulator over $2 bln in soured mortgages * Defendants are accused of shirking duties as bond trustees   (Adds US Bancorp response) ~JPMorgan, Goldman Sachs, Morgan Stanley to form data company-WSJ Aug 19 JPMorgan Chase & Co, Goldman Sachs Group Inc and Morgan Stanley are working to create a company that will pull together and clean reams of data used to determine pricing and transaction costs, the Wall Street Journal reported. ~
LOW,UPDATE 4-Lowe's sales beat on demand for appliances, outdoor equipment * Profit $1.20/share vs est. $1.24   (Adds CEO comment, details; updates shares) ~Home improvement chain Lowe's sales rise 4.5 pct Aug 19 Lowe's Cos Inc, the No.2 U.S. home improvement chain, reported a 4.5 percent rise in quarterly sales as demand rose for products such as appliances and outdoor power equipment. ~
MS,JPMorgan, Goldman Sachs, Morgan Stanley to form data company-WSJ Aug 19 JPMorgan Chase & Co, Goldman Sachs Group Inc and Morgan Stanley are working to create a company that will pull together and clean reams of data used to determine pricing and transaction costs, the Wall Street Journal reported. ~
NTAP.O,UPDATE 1-NetApp results beat estimates as cloud focus pays off Aug 19 Data storage equipment maker NetApp Inc  reported better-than-expected quarterly adjusted profit and revenue as its focus on cloud-based storage products starts to pay off. ~NetApp first-quarter results beat analysts' estimates Aug 19 Data storage equipment maker NetApp Inc  reported better-than-expected quarterly adjusted profit and revenue as its focus on cloud-based storage products starts to pay off. ~
TGT,UPDATE 3-Target's quarterly sales outlook disappoints; shares dip CHICAGO, Aug 19 Target Corp forecast disappointing sales for this quarter and said it expected consumer demand to remain choppy, causing its shares to give up early gains. ~BRIEF-Target Q2 adjusted earnings per share $1.22 * Q2 GAAP earnings per share from continuing operations $1.21 ~Target raises 2015 earnings forecast for second time Aug 19 Retailer Target Corp raised its full-year earnings forecast for the second time and reported its sixth straight rise in quarterly sales, driven by demand for home products and apparel. ~
BK,Bank of NY Mellon sued by U.S. regulator over $2 billion in soured mortgages NEW YORK A U.S. regulator sued Bank of New York Mellon Corp  on Wednesday over $2.06 billion in residential mortgage-backed securities purchased by a failed Texas bank, and accused it of breaching its duties as bond trustee to protect investors. ~UPDATE 3-Bank of NY Mellon sued by U.S. regulator over $2 bln in soured mortgages * Defendants are accused of shirking duties as bond trustees   (Adds US Bancorp response) ~
KO,UPDATE 2-Coke takes minority stake in organic juice maker Suja Aug 19 Suja Life LLC said on Wednesday that it had sold minority stakes to Goldman Sachs Group Inc's  merchant banking division and to Coca-Cola Co, which will distribute its organic juices and smoothies. ~Coke takes minority stake in organic juice maker Suja Life Aug 19 Juice maker Suja Life LLC said Coca-Cola Co had bought a minority stake in the company and will distribute its products. ~
WMT,India Morning Call-Global Markets NEW YORK - U.S. stocks fell on Tuesday, with the S&P; 500 trading in its tightest daily range in nearly a month, weighed down by earnings-related selling in Wal-Mart and a drop in commodity stocks on concerns about China's economy.. ~Wal-Mart's drug problem: pharmacy business drags on profit CHICAGO The world's largest retailer has a drug problem. ~Wal-Mart's drug problem: pharmacy business drags on profit CHICAGO, Aug 18 The world's largest retailer has a drug problem. ~
