GOOGL.O,Google cancels staff meeting over fears of online harassment Alphabet's Google canceled on Thursday a company-wide meeting scheduled to discuss the controversy over a memo opposing diversity policies, the company said, citing concerns about personal attacks on employees from far-right commentators. ~UPDATE 1-Google cancels staff meeting over fears of online harassment Aug 10 Alphabet's Google canceled on Thursday a company-wide meeting scheduled to discuss the controversy over a memo opposing diversity policies, the company said, citing concerns about personal attacks on employees from far-right commentators. ~Google cancels staff meeting over fears of online harassment Aug 10 Alphabet's Google on Thursday canceled a company-wide meeting scheduled to discuss the controversy over a memo opposing company diversity policies, citing concerns about attacks on employees from far-right internet commenters, according to an email from Google's chief executive that was obtained by tech news site Recode. ~
GOOG.O,Google cancels staff meeting over fears of online harassment Alphabet's Google canceled on Thursday a company-wide meeting scheduled to discuss the controversy over a memo opposing diversity policies, the company said, citing concerns about personal attacks on employees from far-right commentators. ~UPDATE 1-Google cancels staff meeting over fears of online harassment Aug 10 Alphabet's Google canceled on Thursday a company-wide meeting scheduled to discuss the controversy over a memo opposing diversity policies, the company said, citing concerns about personal attacks on employees from far-right commentators. ~Google cancels staff meeting over fears of online harassment Aug 10 Alphabet's Google on Thursday canceled a company-wide meeting scheduled to discuss the controversy over a memo opposing company diversity policies, citing concerns about attacks on employees from far-right internet commenters, according to an email from Google's chief executive that was obtained by tech news site Recode. ~
AMZN.O,BRIEF-Amazon Studios closes overall deal with the Walking Dead creator Robert Kirkman and first-look deal with Skybound Entertainment * Amazon Studios closes overall deal with the Walking Dead creator Robert Kirkman and first-look deal with Skybound Entertainment ~
ANTM.N,Anthem to exit Obamacare market in Virginia next year Aug 11 U.S. health insurer Anthem Inc said on Friday it will exit Obamacare markets in Virginia and reduce its plan offerings in Washington and Scott counties and the city of Bristol next year. ~BRIEF-Anthem statement regarding individual market participation in Virginia * Anthem statement regarding individual market participation in Virginia ~
T,UPDATE 1-HBO offered $250,000 to hackers in bid to delay data release Aug 11 Time Warner Inc's HBO network last month offered $250,000 to cyber criminals who hacked into its computer system, asking them to extend a deadline for paying a much larger ransom, according to an email reviewed by Reuters. ~HBO offers $250,000 as 'bounty payment' to hackers - Variety Aug 11 The hackers behind HBO's recent data breach have leaked an email in which the U.S. cable channel offered them $250,000 as a  "bounty payment," Hollywood trade paper Variety reported on Thursday. ~
BLK,Third Point takes 1.6 mln share stake in BlackRock, 4.5 mln in Alibaba NEW YORK, Aug 11 Dan Loeb's Third Point took a 1.6 million-share stake in BlackRock Inc and reinitiated a stake in Alibaba Group Holding of 4.5 million shares during the second quarter ended June 30, according to regulatory filings late on Friday. ~BRIEF-Third Point LLC takes share stake in Blackrock Inc, Alexion Pharmaceuticals * Third Point LLC takes share stake of 1.6 million shares in Blackrock Inc - SEC filing‍​ ~
DISCA.O,Olympics-German broadcasters clinch Olympics rights deal with Discovery FRANKFURT, Aug 11 German state broadcasters ARD and ZDF have struck a deal with Discovery Communications for the right to show the Olympic Games from 2018 to 2024, after months of tough talks. ~BRIEF-Germany's ARD, ZDF sub-license Olympics right from Discovery * Says ARD, ZDF strike deal with Discovery Communications to broadcast Olympic Games from 2018-2024 Further company coverage: ~
DISCK.O,Olympics-German broadcasters clinch Olympics rights deal with Discovery FRANKFURT, Aug 11 German state broadcasters ARD and ZDF have struck a deal with Discovery Communications for the right to show the Olympic Games from 2018 to 2024, after months of tough talks. ~BRIEF-Germany's ARD, ZDF sub-license Olympics right from Discovery * Says ARD, ZDF strike deal with Discovery Communications to broadcast Olympic Games from 2018-2024 Further company coverage: ~
DD,FTC says it closes investigation of Honeywell, Du Pont agreements WASHINGTON, Aug 11 The U.S. Federal Trade Commission said on Friday it had closed its investigation of several agreements between Honeywell International Inc and E I du Pont de Nemours and Co related to the sale of a next-generation refrigerant in automotive air conditioning systems. ~
EFX,BRIEF-Equifax acquires ID Watchdog for about $63 million * Equifax acquires ID Watchdog, a leading identity protection and resolution services company ~
FB.O,Lithuanian court upholds extradition of man to U.S. in $100 million fraud case VILNIUS Lithuania's top appeals court on Friday upheld a decision to extradite to the United States a Lithuanian man accused of defrauding Facebook and Google out of more than $100 million. ~Lithuanian court upholds extradition to U.S. of man $100 mln fraud case VILNIUS, Aug 11 Lithuania's top appeals court on Friday upheld a decision to extradite to the United States a Lithuanian man accused of defrauding Facebook and Google out of more than $100 million. ~
FCX,UPDATE 1-Union federation accuses Freeport of treating 'fired' Indonesia mine workers 'with contempt' * Union group says Freeport treated "fired" workers "inhumanely" ~Union federation accuses copper miner Freeport of treating 'fired' workers 'with contempt' JAKARTA, Aug 11 IndustriALL Global Union, a federation of global workers unions, said on Friday that the Indonesian unit of copper miner Freeport McMoRan Inc and copper smelter PT Smelting treated "fired" workers "inhumanely and with contempt", urging both to reinstate the workers. ~
GE,Trian cuts Mondelez stake, ups GE holding: SEC filing NEW YORK Trian Partners cut its stake in snack maker Mondelez International Inc. during the last quarter, and boosted its shares in conglomerate General Electric, according to the activist fund's latest securities filing. ~Trian cuts Mondelez stake, ups GE holding -SEC filing NEW YORK, Aug 11 Trian Partners cut its stake in snack maker Mondelez International Inc. during the last quarter, and boosted its shares in conglomerate General Electric , according to the activist fund's latest securities filing. ~
GM,GM blasts $1 bln deal between ignition switch plaintiffs, creditor trust Aug 11 Plaintiffs suing General Motors Co over faulty ignition switches and other alleged vehicle defects have reached a $1 billion settlement requiring the automaker to turn over that amount of stock, a lawyer for the plaintiffs said in a court hearing on Friday. ~
HON,FTC says it closes investigation of Honeywell, Du Pont agreements WASHINGTON, Aug 11 The U.S. Federal Trade Commission said on Friday it had closed its investigation of several agreements between Honeywell International Inc and E I du Pont de Nemours and Co related to the sale of a next-generation refrigerant in automotive air conditioning systems. ~
KSS,UPDATE 3-J.C. Penney hits record low on wider loss, retail gloom Aug 11 J.C. Penney Co Inc's stock hit a life-low as sweeping store closures and a challenging retail environment drove the embattled department store chain to report a bigger-than-expected quarterly loss and took a toll on comparable sales. ~CORRECTED-UPDATE 4-Macy's, Kohl's sales declines raise turnaround concerns * "Environment of intense, destructive competition"- Macy's CEO ~
LMT,UPDATE 1-Lockheed Martin wins $8 bln U.S. special forces contract WASHINGTON, Aug 11 Lockheed Martin Corp has won an $8 billion U.S. defense contract for global logistics support services for special operations forces, the Pentagon said on Friday. ~Lockheed Martin wins $8 bln U.S. special forces contract -Pentagon WASHINGTON, Aug 11 Lockheed Martin Corp has been awarded an $8 billion contract for global logistics support services for U.S. special operations forces, the Pentagon said on Friday. (Reporting by Eric Beech; Editing by Tim Ahmann) ~Take Five: World markets themes for the week ahead LONDON Following are five big themes likely to dominate thinking of investors and traders in the coming week, and the Reuters stories related to them. ~
