APA,UPDATE 1-Apache talking with Argentina about selling assets -sources NEW YORK/BUENOS AIRES, Nov 22 Apache Corp  is in talks with Argentina's state-controlled energy company YPF about a possible sale of its assets in the South American country, sources told Reuters on Friday. ~Apache talking with Argentina about selling assets -sources NEW YORK/BUENOS AIRES, Nov 22 Apache Corp  is in talks with Argentina's state-controlled energy company YPF about a possible sale of its assets in the South American country, sources told Reuters on Friday. ~
BA,Boeing warns of engine icing risk on 747-8s, Dreamliners SEATTLE/TOKYO Boeing  advised airlines on Friday about a risk of engine icing problems on its new 747-8 and 787 Dreamliner planes with engines made by General Electric , urging 15 carriers to avoid flying them near high-level thunderstorms. ~Boeing invites more than a dozen sites to bid on 777 jet work Boeing Co  has invited more than a dozen U.S. locations to compete in a bidding process to determine where its new 777 long-haul passenger jet will be built, a company spokesman said. ~Boeing invites more than a dozen sites to bid on 777 jet work Nov 23 Boeing Co has invited more than a dozen U.S. locations to compete in a bidding process to determine where its new 777 long-haul passenger jet will be built, a company spokesman said. ~Boeing, GE notify airlines about engine icing risk on 747-8, Dreamliners TOKYO, Nov 23 Boeing and General Electric  have notified airlines about engine icing risk on 747-8 airplanes and 787 Dreamliners with some GE engines, urging carries to avoid flying them near thunderstorms, a Boeing official said. ~JAL pulls Dreamliner from two int'l routes after engine problem TOKYO Japan Airlines (JAL)  said on Saturday it will pull Boeing 787 Dreamliners from two international routes after the U.S. aircraft maker notified it of icing problems in engines produced by General Electric . ~
GE,Boeing warns of engine icing risk on 747-8s, Dreamliners SEATTLE/TOKYO Boeing  advised airlines on Friday about a risk of engine icing problems on its new 747-8 and 787 Dreamliner planes with engines made by General Electric , urging 15 carriers to avoid flying them near high-level thunderstorms. ~Boeing, GE notify airlines about engine icing risk on 747-8, Dreamliners TOKYO, Nov 23 Boeing and General Electric  have notified airlines about engine icing risk on 747-8 airplanes and 787 Dreamliners with some GE engines, urging carries to avoid flying them near thunderstorms, a Boeing official said. ~JAL pulls Dreamliner from two int'l routes after engine problem TOKYO Japan Airlines (JAL)  said on Saturday it will pull Boeing 787 Dreamliners from two international routes after the U.S. aircraft maker notified it of icing problems in engines produced by General Electric . ~
MSFT.O,UPDATE 1-Microsoft sells over a million Xbox Ones in under 24 hours SAN FRANCISCO, Nov 22 Microsoft Corp  sold over 1 million of its new Xbox One game consoles within 24 hours of their hitting store shelves on Friday, on par with Sony Corp's PlayStation 4 despite launching in far more countries. ~Microsoft sells over 1 mln Xbox One units in less than 24 hours SAN FRANCISCO, Nov 22 Microsoft Corp  said on Friday that it had sold over 1 million units of its new Xbox One gaming console in less than  24 hours after it went on sale in 13 countries. ~
PFE,Indian units of Pfizer and Wyeth to merge MUMBAI, Nov 23 Pfizer Ltd, the Indian unit of U.S. drug maker Pfizer Inc, is to take over local affiliate Wyeth Ltd, they said on Saturday after their boards approved the deal. ~
