AET,Health insurer Aetna's medical costs are low, boosting profit Aetna Inc , the third-largest U.S. health insurer, on Tuesday reported first-quarter profit that beat analyst expectations and said spending on medical claims in the first quarter remained low. ~UPDATE 2-Health insurer Aetna's medical costs are low, boosting profit April 28 Aetna Inc, the third-largest U.S. health insurer, on Tuesday reported first-quarter profit that beat analyst expectations and said spending on medical claims in the first quarter remained low. ~Health insurer Aetna's profit rises as it adds more members April 28 Aetna Inc, the third-largest U.S. health insurer,  reported a 16.8 percent rise in first-quarter profit as it added 122,000 more members compared with the fourth quarter. ~
AKAM.O,UPDATE 1- Strong dollar hurts Akamai's profit forecast, shares fall April 28 Akamai Technologies Inc, whose service helps speed up delivery of online content, forecast current-quarter profit below analysts' expectations, citing a stronger dollar. ~Akamai's quarterly revenue rises 16 pct April 28 Akamai Technologies Inc, whose service helps speed up delivery of online content, reported a 16 percent rise in quarterly revenue, helped by higher demand for its media and security products. ~
ALB,DIARY-U.S. MEETINGS/WEEK AHEAD Thomson Reuters April 28, 2015 - Corporate Meetings for US companies for Week ahead.         S&P; 500 Earnings - MONTH AHEAD     Dividends                            Non S&P; 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC, right click, no click on Related Co Data, now click on Co Events.                  ~
AAPL.O,U.S. shares rebound; oil pares gains after Iran ship seizure NEW YORK Two of three major U.S. stock indexes rose modestly on Tuesday as Merck posted strong earnings and IBM raised its dividend, while European stocks slid on weak corporate results and oil prices were flat to lower on expectations that U.S. crude stockpiles have reached record highs. ~Dow, S&P; 500 end up with Merck, IBM; Nasdaq slips with Apple The Dow and S&P; 500 ended a volatile session higher on Tuesday, helped by strong earnings from Merck and gains in IBM after it boosted its dividend, while the Nasdaq fell with Apple. ~US STOCKS-Dow, S&P; 500 end up with Merck, IBM; Nasdaq slips with Apple * Dow up 0.4 pct, S&P; up 0.28 pct, Nasdaq down 0.1 pct   (Updates to close) ~US STOCKS SNAPSHOT-Dow, S&P; 500 end higher; Nasdaq down with Apple NEW YORK, April 28 The Dow and S&P; 500 ended a volatile session higher on Tuesday, helped by strong earnings from Merck and gains in IBM after it boosted its dividend, while the Nasdaq fell with Apple. ~US STOCKS-Wall St edges up with Merck, IBM; Nasdaq slips with Apple * Dow up 0.3 pct, S&P; up 0.2 pct, Nasdaq down 0.04 pct   (Updates to late afternoon) ~U.S. 1st qtr earnings on track for slight gain NEW YORK, April 28 U.S. earnings are on track to post a slight gain for the first quarter following stronger-than-expected results from companies like Apple , reversing forecasts for the first quarterly profit decline since 2009. ~US STOCKS-Wall St moves higher after erratic early trading * Indexes up: Dow 0.4 pct, S&P; 0.3 pct, Nasdaq 0.2 pct   (Updates to early afternoon, changes comment) ~Apple's blockbuster quarter eases doubts about growth Apple Inc's  blowout second quarter, coming after record iPhone sales in the holiday shopping season, laid to rest doubts that the company could sustain its scorching pace of growth. | Video  ~Icahn says Apple still undervalued Apple Inc  remains undervalued and misunderstood, activist investor Carl Icahn tweeted, even as the company posted stellar quarterly results on Monday. | Video  ~
AMAT.O,Tokyo Electron shares sink after takeover by Applied Materials scrapped TOKYO, April 28 Tokyo Electron Ltd  shares plunged 15 percent on Tuesday to a six-month low after U.S. regulatory opposition forced the scrapping of its planned takeover by U.S.-based Applied Materials Inc. ~
BLL,DIARY-U.S. MEETINGS/WEEK AHEAD Thomson Reuters April 28, 2015 - Corporate Meetings for US companies for Week ahead.         S&P; 500 Earnings - MONTH AHEAD     Dividends                            Non S&P; 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC, right click, no click on Related Co Data, now click on Co Events.                  ~
BAC,UPDATE 2-SEC investigates customer protection violation by Bank of America-WSJ April 28 The U.S. Securities and Exchange Commission is investigating whether Bank of America Corp  violated customer-protection rules and put retail-brokerage funds at risk to increase profits, the Wall Street Journal reported, citing people familiar with the matter. ~SEC investigates customer protection violation by Bank of America-WSJ April 28 The Securities and Exchange Commission is investigating whether Bank of America Corp violated customer-protection rules and put retail-brokerage funds at risk to increase profits, the Wall Street Journal reported, citing people familiar with the matter. ~
BA,Boeing looks to car industry expert for jet production savings Boeing  plans to use newer and more standardised  manufacturing techniques for its new 777X jetliner, paving the way for "significant" savings as it gradually feeds the changes back into existing assembly lines, a senior executive said. ~
BSX,Boston Scientific reaches first transvaginal mesh settlement Boston Scientific Corp on Tuesday said it reached its first settlement agreement to resolve a portion of the legal claims it faces involving its transvaginal mesh product to treat urinary incontinence. ~UPDATE 1-Boston Scientific reaches first transvaginal mesh settlement April 28 Boston Scientific Corp on Tuesday said it reached its first settlement agreement to resolve a portion of the legal claims it faces involving its transvaginal mesh product to treat urinary incontinence. ~Boston Scientific says to settle some transvaginal mesh cases April 28 Boston Scientific Corp on Tuesday said it has reached an agreement to settle a portion of the legal claims it faces involving its transvaginal mesh product to treat urinary incontinence. ~Boston Scientific says reaches conditional settlement in some transvaginal mesh cases April 28 Boston scientific says it reached conditional agreement to settle some transvaginal mesh cases Boston scientific says it will pay about $119 million to resolve 2,970 cases Boston scientific says it increased its product liability reserves for transvaginal mesh litigation Boston scientific says reserves cover known and estimated future cases   (Reporting by Susan Kelly in Chicago) ~UPDATE 1-Boston Scientific cuts full-year forecast as legal costs weigh April 28 Medical device maker Boston Scientific Corp cut its full-year revenue and profit forecasts as it continues to bear the brunt of charges from a number of lawsuits. ~Boston Scientific posts loss on litigation costs April 28 Medical device maker Boston Scientific Corp reported a quarterly net loss due to one-time charges, including litigation costs of $193 million. ~
BMY,Strong Merck cancer drug sales upstage rival Bristol-Myers Investors betting that Bristol-Myers Squibb will emerge as the leading player in a hot new class of cancer drugs hit the pause button on Tuesday as a rival therapy from Merck & Co showed much higher sales. ~UPDATE 1-FDA approves generic versions of antipsychotic drug Abilify April 28 The U.S. Food and Drug Administration said it approved the first copycat versions of Otsuka Pharmaceutical Co Ltd's antipsychotic drug, Abilify. ~High-profile Bristol cancer drug disappoints, shares off Bristol-Myers Squibb Co  on Tuesday reported first-quarter sales of its new cancer immunotherapy Opdivo that were about half of those for a rival medicine from Merck & Co , and its shares fell 2 percent. ~UPDATE 2-High-profile Bristol cancer drug disappoints, shares off April 28 Bristol-Myers Squibb Co on Tuesday reported first-quarter sales of its new cancer immunotherapy Opdivo that were about half of those for a rival medicine from Merck & Co, and its shares fell 2 percent. ~DIARY-U.S. MEETINGS/WEEK AHEAD Thomson Reuters April 28, 2015 - Corporate Meetings for US companies for Week ahead.         S&P; 500 Earnings - MONTH AHEAD     Dividends                            Non S&P; 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC, right click, no click on Related Co Data, now click on Co Events.                  ~Bristol-Myers tops forecasts, helped by Abilify royalty adjustment April 28 Bristol-Myers Squibb Co  reported better than expected quarterly results, helped by cost cuts and a higher estimate of royalties owed the company from sales of its Abilify schizophrenia treatment. ~
CNC,DIARY-U.S. MEETINGS/WEEK AHEAD Thomson Reuters April 28, 2015 - Corporate Meetings for US companies for Week ahead.         S&P; 500 Earnings - MONTH AHEAD     Dividends                            Non S&P; 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC, right click, no click on Related Co Data, now click on Co Events.                  ~
CVX,DIARY-U.S. MEETINGS/WEEK AHEAD Thomson Reuters April 28, 2015 - Corporate Meetings for US companies for Week ahead.         S&P; 500 Earnings - MONTH AHEAD     Dividends                            Non S&P; 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC, right click, no click on Related Co Data, now click on Co Events.                  ~
