AA,Larger-than-usual move for Alcoa shares expected after results NEW YORK, Oct 7 Alcoa Inc's shares are expected to move nearly twice as much as they have following other recent earnings reports when the aluminum producer reports third quarter financial results on Wednesday. ~
AGN,Exclusive: Actavis plans new merger approach for Allergan - sources NEW YORK Actavis Plc  plans to approach Allergan Inc  again about a potential merger, as the Botox maker warms up to the possibility of a sale, people familiar with the matter said on Tuesday. ~Deals of the day- Mergers and acquisitions (Adds Swisscom, Vista Equity Partners, Waterland, Coty, Brookfield Asset Management, Actavis Plc, Bright Food, America Movil, Wilbur Ross) ~
GOOGL.O,Investors, activists press eBay, others to break up with ALEC WASHINGTON, Oct 7 More than 80 environmental, labor and civic groups on Tuesday urged eBay Inc to end its association with the political group the American Legislative Exchange Council (ALEC), weeks after Google Inc  abruptly left ALEC over its views on climate change. ~Twitter sues U.S. Justice Department for right to reveal surveillance requests SAN FRANCISCO Twitter Inc  sued the U.S. Department of Justice on Tuesday, intensifying its battle with federal agencies as the Internet industry's self-described champion of free speech seeks the right to reveal the extent of U.S. government surveillance. ~Twitter sues U.S. Justice Dept for right to reveal surveillance requests SAN FRANCISCO, Oct 7 Twitter Inc has sued the U.S. Department of Justice and the Federal Bureau of Investigation seeking the right to provide more specifics about the extent of U.S. government surveillance and requests for information from federal agencies. ~
GOOG.O,Investors, activists press eBay, others to break up with ALEC WASHINGTON, Oct 7 More than 80 environmental, labor and civic groups on Tuesday urged eBay Inc to end its association with the political group the American Legislative Exchange Council (ALEC), weeks after Google Inc  abruptly left ALEC over its views on climate change. ~Twitter sues U.S. Justice Department for right to reveal surveillance requests SAN FRANCISCO Twitter Inc  sued the U.S. Department of Justice on Tuesday, intensifying its battle with federal agencies as the Internet industry's self-described champion of free speech seeks the right to reveal the extent of U.S. government surveillance. ~Twitter sues U.S. Justice Dept for right to reveal surveillance requests SAN FRANCISCO, Oct 7 Twitter Inc has sued the U.S. Department of Justice and the Federal Bureau of Investigation seeking the right to provide more specifics about the extent of U.S. government surveillance and requests for information from federal agencies. ~
AMZN.O,EU watchdog targets Amazon's Luxembourg tax deals BRUSSELS Amazon's tax arrangements with Luxembourg are being investigated by EU regulators, as the online retailer becomes the latest global company to be accused of striking tax-minimising deals with member states that may break bloc rules. ~RPT-UPDATE 2-EU watchdog targets Amazon's Luxembourg tax deals BRUSSELS, Oct 7 Amazon's tax arrangements with Luxembourg are being investigated by EU regulators, as the online retailer becomes the latest global company to be accused of striking tax-minimising deals with member states that may break bloc rules. ~Amazon says no special tax deals with Luxembourg BRUSSELS U.S. online retailer Amazon said on Tuesday that it has not made any special tax deals with Luxembourg following an EU state aid regulators' decision to open an investigation into the issue. ~Amazon says no special tax deals with Luxembourg BRUSSELS, Oct 7 U.S. online retailer Amazon  said on Tuesday that it has not made any special tax deals with Luxembourg following an EU state aid regulators' decision to open an investigation into the issue. ~
AAPL.O,UPDATE 1-Taiwan September exports lag on weak European growth (Adds details on exports markets, comments)     By Roger Tung and Michael Gold     TAIPEI, Oct 7 Taiwan's September exports expanded only half as much as expected, data showed on Tuesday, as weakness in some industrial sectors and stagnant demand from the euro zone offset the dividends from new product launches by Apple Inc.     Exports in September grew 4.70 percent from a year earlier,  the island's Ministry of Finance said, versus expectations of 9.30 percent in a Reuters poll of  ~
ADP.O,CORRECTED-YOUR MONEY-Five ways to get help with your 401(k) (In the first section, corrects the company name to Corporate Insight from Corporate Insights.) ~
BDX,RLPC-Goldman leads $9.1bn bridge loan for Becton Dickinson NEW YORK, Oct 7 Medical equipment supplier Becton Dickinson & Co's acquistion of medical device manufacturer CareFusion will be financed with a $9.1 billion bridge loan, bankers said on Tuesday. ~
BRKa.N,UPDATE 1-Berkshire's Buffett predicts Hillary Clinton will win presidency in 2016 (Updates with comments on presidential election, background, quotes) ~Berkshire's Buffett says U.S. bank business not as good as in past- Fortune Summit NEW YORK, Oct 7 Warren Buffett, chairman and chief executive of conglomerate Berkshire Hathaway Inc, said on Tuesday that the businesses of big U.S. banks were not as good as they were a few years ago, and that U.S. home-building would pick up. ~
BLK,MOVES-BlackRock hires Edward Bang from UBS Global Asset Management Oct 7 BlackRock Inc, the world's biggest money manager, named Edward Bang as head of multi-asset strategies Asia Pacific, hiring him from UBS Global Asset Management. ~
BMY,UPDATE 2-Bristol-Myers pulls U.S. marketing application for hep C treatment (Adds comment from Bristol-Myers and analyst, adds background, updates shares) ~Bristol-Myers pulls U.S. marketing application for hepatitis C treatment Bristol-Myers Squibb said it withdrew its U.S. marketing application for an oral drug combination to treat hepatitis C, citing a "rapidly evolving" treatment landscape in the country. ~Bristol-Myers pulls U.S. marketing application for hepatitis C treatment Oct 7 Bristol-Myers Squibb said it withdrew its U.S. marketing application for a drug combination to treat hepatitis C. ~
CF,Norway's Yara fires CEO, continues CF Industries merger talks OSLO, Oct 7 Norwegian fertiliser firm Yara international said on Tuesday it had fired chief executive Joergen Ole Haslestad and that its merger talks with CF Industries would continue. ~
SCHW.N,CORRECTED-YOUR MONEY-Five ways to get help with your 401(k) (In the first section, corrects the company name to Corporate Insight from Corporate Insights.) ~
EBAY.O,Investors, activists press eBay, others to break up with ALEC WASHINGTON, Oct 7 More than 80 environmental, labor and civic groups on Tuesday urged eBay Inc to end its association with the political group the American Legislative Exchange Council (ALEC), weeks after Google Inc  abruptly left ALEC over its views on climate change. ~
GS,MOVES-Deutsche Bank to hire Goldman exec as Americas compliance head - WSJ Oct 7 Deutsche Bank AG is set to hire Elizabeth Ford from Goldman Sachs Group as its new head of compliance in the Americas region, the Wall Street Journal reported, citing an internal memo by the German bank. ~Goldman Sachs ordered to pay Libyan fund's legal costs LONDON Goldman Sachs has been ordered to pay the Libyan Investment Authority (LIA) 200,000 pounds ($321,820) in legal costs as part of a lawsuit brought by the fund over $1 billion in trades that ended up worthless. ~Goldman Sachs ordered to pay Libyan fund's legal costs LONDON, Oct 7 Goldman Sachs has been ordered to pay the Libyan Investment Authority (LIA) 200,000 pounds ($321,820) in legal costs as part of a lawsuit brought by the fund over $1 billion in trades that ended up worthless. ~Goldman leads $9.1 billion bridge loan for Becton Dickinson NEW YORK Medical equipment supplier Becton Dickinson & Co's  acquisition of medical device manufacturer CareFusion  will be financed with a $9.1 billion bridge loan, bankers said on Tuesday. ~RLPC-Goldman leads $9.1bn bridge loan for Becton Dickinson NEW YORK, Oct 7 Medical equipment supplier Becton Dickinson & Co's acquistion of medical device manufacturer CareFusion will be financed with a $9.1 billion bridge loan, bankers said on Tuesday. ~
HPQ,HP sells UAE-based IT firm stake to Abu Dhabi fund Mubadala ABU DHABI, Oct 7 Hewlett-Packard Co has sold its 40 percent stake in United Arab Emirates-based Injazat Data Systems for an undisclosed amount to its investment partner, Abu Dhabi state-owned fund Mubadala. ~
MSFT.O,UPDATE 2-Samsung seeks Hong Kong arbitration after Microsoft lawsuit (Adds comments by Microsoft spokeswoman, background on new case) ~Samsung brings arbitration against Microsoft after patent royalty lawsuit NEW YORK, Oct 7 Samsung Electronics initiated an arbitration proceeding in Hong Kong against Microsoft Corp on Tuesday, amid ongoing U.S. litigation over smartphone patent royalties. ~UPDATE 1-Nokia to suspend production at Indian handset plant * Microsoft to terminate manufacturing services starting Nov 1 ~
