AAPL.O,UPDATE 3-U.S. jury orders smartphone maker Samsung to pay Apple $120 mln (Adds comment from Apple and Samsung, details on patent litigation) ~U.S. jury orders Apple to pay Samsung $158,400 in mobile patents trial SAN JOSE, California A U.S. jury on Friday ordered Apple Inc to pay $158,400 to Samsung Electronics Co Ltd, after it found the iPhone maker infringed on at least one of the Korean company's patents. ~U.S. jury orders Apple to pay Samsung $158,400 in mobile patents trial SAN JOSE, Calif., May 2 A U.S. jury on Friday ordered Apple Inc to pay $158,400 to Samsung Electronics Co Ltd, after it found the iPhone maker infringed on at least one of the Korean company's patents. ~U.S. jury finds Samsung infringed two Apple patents SAN JOSE, Calif., May 2 A U.S. jury on Friday found Samsung Electronics Co Ltd has infringed two Apple Inc patents, and did not infringe two patents. ~
BRKa.N,WRAPUP 2-Buffett defends Coke, BNSF at Berkshire annual meeting OMAHA, Neb., May 3 Warren Buffett on Saturday defended his recent controversial vote on executive pay at Coca-Cola Co and disappointing performance at railroad BNSF, as investors grilled him on his Berkshire Hathaway Inc   conglomerate at its annual shareholder meeting. ~Buffett endorses Airbnb to combat hefty Omaha hotel prices OMAHA, Nebraska Warren Buffett on Saturday gave an endorsement for the online home rental service Airbnb Inc, after receiving many complaints from Berkshire Hathaway Inc shareholders about how many Omaha hotels had jacked up room rates on the weekend of the company's annual meeting. ~Buffett says willing to partner with 3G again on 'very large' deals Warren Buffett on Saturday said Berkshire Hathaway Inc would team up again with 3G Capital on more transactions, perhaps very large ones, despite criticism of the Brazilian investment firm's decision to cut thousands of jobs at HJ Heinz & Co. ~UPDATE 1-Buffett says willing to partner with 3G again on 'very large' deals May 3 Warren Buffett on Saturday said Berkshire Hathaway Inc  would team up again with 3G Capital on more transactions, perhaps very large ones, despite criticism of the Brazilian investment firm's decision to cut thousands of jobs at HJ Heinz & Co. ~Berkshire housing executive laments dearth of first-time buyers OMAHA, Nebraska The chief executive of a real estate brokerage business owned by Warren Buffett's Berkshire Hathaway Inc said the U.S. housing market is more than halfway through its recovery from its recent depths, held back by a paucity of buyers able to obtain financing for their first homes. ~Berkshire quarterly profit hurt by winter weather, insurance OMAHA, Nebraska Warren Buffett's Berkshire Hathaway Inc   on Friday said quarterly profit declined 4 percent, falling short of analyst forecasts, as earnings from insurance underwriting declined and bad weather disrupted shipping at its BNSF Railway unit. ~WRAPUP 1-Buffett defends Coke, BNSF at Berkshire annual meeting OMAHA, Neb., May 3 Warren Buffett on Saturday defended his recent controversial vote on executive pay at Coca-Cola Co and disappointing performance at railroad BNSF as investors grilled him on his Berkshire Hathaway Inc   conglomerate at its annual shareholder meeting. ~Buffett: BNSF railroad will spend money to improve, not on acquisitions OMAHA Warren Buffett, chairman of conglomerate Berkshire Hathaway , on Saturday said that railroad BNSF will spend to improve its operations but is not planning to acquire any other businesses. ~Buffett: BNSF railroad will spend money to improve, not on acquisitions OMAHA, May 3 Warren Buffett, chairman of conglomerate Berkshire Hathaway , on Saturday said that railroad BNSF will spend to improve its operations but is not planning to acquire any other businesses. ~
CHD,Papal commission on sex abuse to push for accountability VATICAN CITY A commission advising Pope Francis on the sexual abuse crisis will recommend that negligent clerics be held accountable regardless of their rank in the Church, Boston's Cardinal Sean O'Malley said on Saturday. ~
EBAY.O,PayPal says new executive leaves after disparaging tweets SAN FRANCISCO, May 3 PayPal, the payment processing arm of eBay Inc, said on Saturday that it parted ways with a recently-hired strategy executive after he posted a series of disparaging and at times indecipherable tweets. ~
GM,GM recalls nearly 52,000 SUVs for inaccurate fuel gauge WASHINGTON, May 3 General Motors Co is recalling 51,640 Buick Enclave, Chevrolet Traverse and GMC Acadia SUVs of the 2014 model year because faulty software may cause the fuel gauge to read inaccurately, U.S. regulators said on Saturday. ~Honda to double number of models in China: media TOKYO Honda Motor Co  will double the number of car models it sells in China over the next two years to try to capture market share from rivals such as General Motors Co , Japan's Nikkei newspaper reported on Saturday. ~Honda to double number of models in China -media TOKYO, May 3 Honda Motor Co will double the number of car models it sells in China over the next two years to try to capture market share from rivals such as General Motors Co, Japan's  Nikkei newspaper reported on Saturday. ~
NKE,Adidas investor says loses confidence in management-report FRANKFURT, May 3 Adidas AG's failure to narrow the market share gap with rival sportswear maker Nike Inc means shareholders should refuse to back the German company's management, a top investor was quoted as saying. ~
PFE,Pfizer expected to be patient in face of AstraZeneca rejection Pfizer Inc has already had its takeover overtures rebuffed three times by rival AstraZeneca Plc, but investors in the U.S. drugmaker say it can tolerate a little more rejection before going hostile with the deal. ~Pfizer expected to be patient in face of AstraZeneca rejection May 3 Pfizer Inc has already had its takeover overtures rebuffed three times by rival AstraZeneca Plc , but investors in the U.S. drugmaker say it can tolerate a little more rejection before going hostile with the deal. ~
KO,WRAPUP 1-Buffett defends Coke, BNSF at Berkshire annual meeting OMAHA, Neb., May 3 Warren Buffett on Saturday defended his recent controversial vote on executive pay at Coca-Cola Co and disappointing performance at railroad BNSF as investors grilled him on his Berkshire Hathaway Inc   conglomerate at its annual shareholder meeting. ~
WYNN.O,Nevada court rejects U.S. request on Okada probe, says Wynn suit can proceed LAS VEGAS A Nevada state judge ruled on Friday that a civil lawsuit between Wynn Resorts and Japanese billionaire Kazuo Okada could proceed, rejecting the U.S. government's request to keep it on hold for another six months to protect the identity of witnesses in a criminal probe into Okada's business in the Philippines. ~Nevada court rejects U.S. request on Okada probe, says Wynn suit can proceed LAS VEGAS, May 2 A Nevada state judge ruled on Friday that a civil lawsuit between Wynn Resorts and Japanese billionaire Kazuo Okada could proceed, rejecting the U.S. government's request to keep it on hold for another six months to protect the identity of witnesses in a criminal probe into Okada's business in the Philippines. ~
