AMZN.O,UPDATE 1-Taiwan's Foxconn plans $5 bln investment over 5 yrs in Indian facility * Foxconn looking for local partners for the facility   (Adds comments from Foxconn founder, chief minister, details) ~Taiwan's Foxconn plans $5 bln investment over 5 yrs in Indian facility MUMBAI, Aug 8 Taiwan's Foxconn, the trade name for Hon Hai Precision Industry Co Ltd, on Saturday signed a pact with India's  Maharashtra state to invest $5 billion over five years on a new  electronic manufacturing facility. ~
AAPL.O,Taiwan's Foxconn plans $5 billion investment over five years in Indian facility MUMBAI Taiwan's Foxconn, the world's largest contract electronics manufacturer and a key supplier to Apple Inc, on Saturday signed a pact with India's Maharashtra state to invest $5 billion over five years on a new electronics manufacturing facility. ~UPDATE 1-Taiwan's Foxconn plans $5 bln investment over 5 yrs in Indian facility * Foxconn looking for local partners for the facility   (Adds comments from Foxconn founder, chief minister, details) ~
BRKa.N,UPDATE 4-Buffett's Berkshire nears deal for Precision Castparts -source Aug 8 Warren Buffett's Berkshire Hathaway Inc  is nearing an agreement to buy Precision Castparts Corp , in what could be the company's largest purchase ever, according to a person familiar with the matter. ~Warren Buffett's Berkshire Hathaway nearing deal to buy Precision Castparts - WSJ Aug 8 Warren Buffett's Berkshire Hathaway Inc  is nearing a deal to buy Precision Castparts Corp , in an acquisition that could be valued at more than $30 billion, the Wall Street Journal reported on Saturday, citing people familiar with the matter.   (Reporting by Lisa Shumaker in Chicago; Editing by Alison Williams) ~
