MMM,3M expects 2015 sales to grow 3-6 pct; raises dividend Dec 16 3M Co, a maker of adhesives, abrasives and other products for a variety of industries, said it expected organic sales to rise 3-6 percent in 2015, excluding the effect of foreign exchange rates. ~
AET,INSIGHT-U.S. corporate health exchanges find no new blue chip clients NEW YORK, Dec 15 Healthcare companies including Aetna Inc, Mercer and Towers Watson & Co have invested hundreds of millions of dollars to build exchanges that allow company employees to buy their own insurance, betting that Corporate America wants to get out of managing workers' health benefits. ~
APA,U.S. jury finds Apache did not breach contract with W&T; Offshore Apache Corp was not in breach of contract in a lawsuit brought by Houston-based oil and gas producer W&T; Offshore Inc in 2011, a federal jury found on Monday, according to a court filing. ~US jury finds Apache did not breach contract with W&T; Offshore Dec 15 Apache Corp was not in breach of contract in a lawsuit brought by Houston-based oil and gas producer W&T; Offshore Inc in 2011, a federal jury found on Monday, according to a court filing. ~
AAPL.O,Apple wins digital music U.S. antitrust trial OAKLAND, Calif. Apple Inc won an antitrust trial on Tuesday when a U.S. jury decided the company did not act improperly when it restricted music purchases for iPod users to Apple's iTunes digital store. ~UPDATE 2-Apple wins digital music U.S. antitrust trial OAKLAND, Calif., Dec 16 Apple Inc won an antitrust trial on Tuesday when a U.S. jury decided the company did not act improperly when it restricted music purchases for iPod users to Apple's iTunes digital store. ~Apple wins digital music antitrust trial OAKLAND, Dec 16 Apple won an antitrust trial on Tuesday when a U.S. jury decided the company did not act improperly when it restricted music purchases for iPod users to Apple's iTunes digital store. ~Imagination Tech sees 'significant' improvement ahead after profit fall LONDON Imagination Technologies, the British company that supplies graphics processing to Apple Inc, said it expected an improved second half as costly investments which weighed on the first months of the year begin to pay off. ~UPDATE 1-Imagination Tech sees "significant" improvement ahead after profit fall * H1 adjusted pretax slumps 75 pct, reflecting higher investment ~
ADM,UPDATE 1-China buyers in deals for more than 1 mln tonnes of U.S. soy (Adds details on sellers, buyers, background, futures prices) ~Olam to become top-tier cocoa processor with $1.3 bln ADM deal NEW YORK/SINGAPORE Olam International Ltd will buy Archer Daniels Midland Co's cocoa business for $1.3 billion, catapulting the Singapore-based commodities firm into the top tier of global suppliers to the growing chocolate business. ~Factbox: ADM's and Olam's cocoa businesses Olam International Ltd's $1.3 billion deal to buy Archer Daniels Midland Co's cocoa business will create one of the world's top cocoa bean processors and traders, rivaling Barry Callebaut AG and Cargill Inc. ~UPDATE 3-Olam to become top-tier cocoa processor with $1.3 bln ADM deal NEW YORK/SINGAPORE, Dec 16 Olam International Ltd will buy Archer Daniels Midland Co's cocoa business for $1.3 billion, catapulting the Singapore-based commodities firm into the top tier of global suppliers to the growing chocolate business. ~
BRKa.N,UPDATE 2-Jefferies in talks to sell futures business Dec 16 Investment bank Jefferies Group LLC, owned by Leucadia National Corp, said it was in talks to sell its commodities and financial derivatives brokerage, which has been struggling with high costs and falling fees. ~
BA,US STOCKS-Dow, S&P; 500 edge up as energy shares rebound; Nasdaq slips * Indexes: Dow up 0.4 pct, S&P; up 0.3 pct, Nasdaq down 0.1 pct   (Updates to afternoon) ~US STOCKS-Energy rally boosts Wall St despite global growth woes * Indexes up: Dow 0.7 pct, S&P; 0.6 pct, Nasdaq 0.3 pct   (Updates prices) ~US STOCKS-Energy rally boosts Wall St despite global growth woes * Indexes up: Dow 0.9 pct, S&P; 0.8 pct, Nasdaq 0.4 pct   (Updates to midday) ~
CVS,US STOCKS-Energy rally boosts Wall St despite global growth woes * Indexes up: Dow 0.7 pct, S&P; 0.6 pct, Nasdaq 0.3 pct   (Updates prices) ~US STOCKS-Energy rally boosts Wall St despite global growth woes * Indexes up: Dow 0.9 pct, S&P; 0.8 pct, Nasdaq 0.4 pct   (Updates to midday) ~
DRI,Darden sales rise on growing demand at Olive Garden Darden Restaurants Inc reported a 4.9 percent rise in quarterly sales, helped by higher comparable sales at its flagship Olive Garden chain, and raised the lower end of its adjusted profit forecast for the full year. ~Darden sales rise on growing demand at Olive Garden Dec 16 Darden Restaurants Inc reported a 4.9 percent rise in quarterly sales as demand rose at its flagship Olive Garden chain. ~
XOM,Exclusive: Citgo valued at more than $10 billion in revised bids - sources Citgo Petroleum Corp, Venezuela's U.S. oil refining unit, has received revised bids from at least four bidders, some which have valued the company at more than $10 billion, according to three people familiar with the matter. ~
F,Ford India to recall 20,752 EcoSport cars to inspect corrosion concerns MUMBAI Ford Motor Co's  India unit on Tuesday said it will recall 20,752 EcoSport cars in the country to correct concerns about fuel and vapor line corrosion in the long-term. ~Ford India to recall 20,752 EcoSport cars to inspect corrosion concerns MUMBAI, Dec 16 Ford Motor Co's India unit on Tuesday said it will recall 20,752 EcoSport cars in the country to correct concerns about fuel and vapour line corrosion in the long-term. ~
