ALK,Deals of the day - Mergers and acquisitions Nov 18 The following bids, mergers, acquisitions and disposals were reported by 2100 GMT on Friday: ~Alaska Air nearing settlement with U.S. on Virgin deal: source Alaska Air Group Inc is close to reaching a settlement with U.S. antitrust officials that will allow it to complete its proposed $2.6 billion acquisition of Virgin America Inc, according to a person familiar with the matter. ~UPDATE 2-Alaska Air nearing settlement with U.S. on Virgin deal -source Nov 18 Alaska Air Group Inc is close to reaching a settlement with U.S. antitrust officials that will allow it to complete its proposed $2.6 billion acquisition of Virgin America Inc, according to a person familiar with the matter. ~Alaska Air nearing settlement with U.S. on Virgin deal - Bbg Nov 18 Alaska Air Group Inc is close to reaching a settlement with U.S. antitrust officials that will allow it to complete its proposed $2.6 billion acquisition of Virgin America Inc, Bloomberg reported, citing people familiar with the matter. ~
AAL.O,UPDATE 1-U.S. tentatively blocks American Airlines-Qantas expansion WASHINGTON, Nov 18 Plans by American Airlines Group Inc and Qantas Airways Ltd to expand their alliance for flights between the United States and Australasia were tentatively denied by the U.S. Transportation on Friday, the agency said, citing competition concerns. ~
CAT,Caterpillar global dealer machinery sales soft as decline pace slows Nov 18 Caterpillar Inc said on Friday its global retail sales declined 12 percent for the three months ended October, but the pace of the decline is less steep than in previous months, the data shows. ~BRIEF-Caterpillar says world dealer reported retail stats of machines for 3-month rolling period ended Oct 2016 down 12 pct * Says North America dealer reported retail statistics of machines for 3-month rolling period ended October 2016 down 16 percent ~
CELG.O,BRIEF-Triphase Accelerator says Celgene will buy co's assets related to marizomib * says Celgene Corp, through an affiliate, has acquired co's assets related to its proteasome inhibitor, marizomib ~
XOM,Eni signs off on plans for Mozambique gas development MILAN Eni on Friday finalised plans to develop Mozambique's Coral South offshore gas project, part of a larger scheme that will see Italy's top energy company and partners spend an estimated $50 billion. ~Eni signs off on plans for Mozambique gas development MILAN, Nov 18 Eni on Friday finalised plans to develop Mozambique's Coral South offshore gas project, part of a larger scheme that will see Italy's top energy company and partners spend an estimated $50 billion. ~UPDATE 1-Iraq's oil contracts make joining OPEC output cut more painful * Iraq must compensate firms for output curbs -documents, sources ~
FB.O,BRIEF-Facebook Chief Accounting Officer Jas Athwal to resign * Facebook Inc - on Nov. 14, Jas Athwal notified co of his decision to resign from his position as company's chief accounting officer - SEC filing ~BRIEF-Facebook's board authorize repurchase of up to $6 bln * Repurchase program will go into effect in Q1 of 2017 and does not have a fixed expiration ~
F,UPDATE 2-Ford tells Trump no Lincoln SUV production going to Mexico WASHINGTON, Nov 17 U.S. President-elect Donald Trump said Ford Motor Co Executive Chairman Bill Ford Jr told him the automaker would not move a Kentucky plant to Mexico, but the firm said it informed him the decision was to keep one vehicle in U.S. production. ~Trump says Ford not moving U.S. plant to Mexico WASHINGTON, Nov 17 U.S. President-elect Donald Trump said on Thursday Ford Motor Co Chairman Bill Ford had just told him the automaker had decided not to move production at a Kentucky plant to Mexico. ~
GPS,UPDATE 4-Abercrombie, Gap forecasts signal tough holiday qtr for retailers * Shares slump as much as 15.14 pct   (Adds analyst comments, updates shares) ~
GS,Deutsche Bank looking to cut back U.S. mortgage securitization: sources FRANKFURT/LONDON Deutsche Bank is looking to cut its loan securitization business further starting with repackaged U.S. mortgages, two people familiar with the matter said, as the lender braces for a large fine in the United States for alleged mis-selling of such debt. ~Deutsche Bank looking to cut back U.S. mortgage securitisation - sources FRANKFURT/LONDON, Nov 18 Deutsche Bank is looking to cut its loan securitisation business further starting with repackaged U.S. mortgages, two people familiar with the matter said, as the lender braces for a large fine in the United States for alleged mis-selling of such debt. ~
JPM,Ex-JPMorgan executive who fled to Argentina pleads guilty in U.S. NEW YORK A former JPMorgan Chase & Co  executive who spent eight years on the run in Argentina pleaded guilty on Friday to U.S. charges that he embezzled $5.4 million from clients at the bank and at a prior employer, UBS AG. ~Ex-JPMorgan executive who fled to Argentina pleads guilty in U.S. NEW YORK, Nov 18 A former JPMorgan Chase & Co  executive who spent eight years on the run in Argentina pleaded guilty on Friday to U.S. charges that he embezzled $5.4 million from clients at the bank and at a prior employer, UBS AG. ~JPMorgan has clutch of CEO understudies, people guessing on winner NEW YORK JPMorgan Chase & Co is once again facing questions about who will succeed its larger-than-life chief executive after Jamie Dimon was courted by the incoming U.S. president for the role of Treasury secretary. ~JPMorgan has clutch of CEO understudies, people guessing on winner NEW YORK, Nov 18 JPMorgan Chase & Co is once again facing questions about who will succeed its larger-than-life chief executive after Jamie Dimon was courted by the incoming U.S. president for the role of Treasury secretary. ~
LMT,Lockheed Martin wins $1.2 billion U.S. defense contract -Pentagon WASHINGTON, Nov 18 Lockheed Martin Corp  subsidiary Lockheed Martin Aeronautics Co has been awarded a $1.2 billion contract to upgrade F-16 aircraft for South Korea, the Pentagon said on Friday.   Work will be performed at Fort Worth, Texas, and is expected to be complete by Nov. 15, 2025, the Pentagon said in a statement.     (Reporting by Eric Walsh; Editing by Eric Beech) ~
MU.O,BRIEF-Tsinghua Unigroup says not in talks with Micron regarding Changjiang Storage * Says it has not entered any negotiations with U.S. company Micron Technology and any other companies regarding Changjiang Storage ~
CRM,UPDATE 3-Salesforce's revenue forecast beats estimates, shares rise SAN FRANCISCO, Nov 17 Salesforce.com Inc  on Thursday forecast current-quarter revenue above analysts' estimates as it closed deals for its  cloud-based sales and marketing software with a number of major customers, sending its shares 5 percent higher in extended trade. ~REFILE-UPDATE 2-Salesforce's revenue forecast beats estimates, shares rise Nov 17 Salesforce.com Inc on Thursday forecast current-quarter revenue above analysts' estimates as more businesses adopted its cloud-based sales and marketing software, sending its shares 5 higher in extended trade. ~
STT,BRIEF-State Street Global says announces changes to indices of two SPDR ETFs * Says introducing proprietary indices that will replace two Russell indexes that are being terminated ~
URBN.O,Navajo Nation settles trademark suit against Urban Outfitters PHOENIX The Navajo Nation, the largest Native American tribe, has settled a trademark suit brought against the apparel retail chain Urban Outfitters Inc over use of the tribe's name in company merchandise, the two sides said on Friday. ~Navajo Nation settles trademark suit against Urban Outfitters PHOENIX, Nov 18 The Navajo Nation, the largest Native American tribe, has settled a trademark suit brought against the apparel retail chain Urban Outfitters Inc  over use of the tribe's name in company merchandise, the two sides said on Friday. ~
WRK,U.S. packaging group Westrock puts dispensers unit up for sale - sources FRANKFURT, Nov 18 U.S. packaging group Westrock  has put a unit making soap dispensers and perfume sprayers up for sale in a potential $1 billion deal, as it seeks to streamline its portfolio after a recent merger, three people close to the matter said. ~
