ADBE.O,US STOCKS-Futures point to slight gains at the open * Shutdown enters fourth day, investors watch debt ceiling ~Adobe says source code, customer data stolen by hackers BOSTON Adobe Systems Inc said on Thursday that hackers had stolen source code to some of its most popular software and data about millions of its customers. ~
AMZN.O,UPDATE 1-Memories of Facebook cloud Twitter's IPO SAN FRANCISCO, Oct 4 When Facebook Inc  was preparing to go public last year, the telephones at Granite Investment Advisors rang off the hook as clients called about the social media's company's highly anticipated debut. ~RPT-Memories of Facebook cloud Twitter's IPO SAN FRANCISCO, Oct 4 When Facebook Inc  was preparing to go public last year, the telephones at Granite Investment Advisors rang off the hook as clients called about the social media's company's highly anticipated debut. ~Ecuador congress approves Yasuni basin oil drilling in Amazon QUITO, Oct 3 Ecuador's parliament on Thursday authorized drilling of the nation's largest oil fields in part of the Amazon rainforest after the failure of President Rafael Correa's plan to have rich nations pay to avoid its exploitation. ~
AAPL.O,Atlanta woman says she is the voice of Apple's Siri ATLANTA, Oct 4 Siri, whose voice do you have? ~PRESS DIGEST - Wall Street Journal - Oct 4 Oct 4 The following are the top stories in the Wall Street Journal. Reuters has not verified these stories and does not vouch for their accuracy. ~
ADM,Illinois governor opposes ADM tax incentives without pension fix CHICAGO, Oct 4 Illinois Gov. Pat Quinn is opposed to giving Archer Daniels Midland Co tax incentives to retain a global headquarters there until lawmakers address the state's pension problems, a spokesman said on Friday. ~UPDATE 1-Australia extends time for decision on ADM acquisition of Graincorp CANBERRA, Oct 4 Australian Treasurer Joe Hockey on Friday extended the time period for a foreign investment decision on Archer Daniels Midland Co's acquisition of Australian grain handler GrainCorp Ltd, which is now due by Dec. 17. ~Australia extends time for decision on ADM acquisition of Graincorp CANBERRA, Oct 4 Australian Treasurer Joe Hockey on Friday extended the time period for a foreign investment decision on Archer Daniels Midland Co's acquisition of Australian grain handler GrainCorp Ltd, which is now due by Dec. 17. ~
BAX,U.S. FDA approves Baxter's intravenous nutritional supplement Oct 4 The U.S. Food and Drug Administration said on Friday it has approved Baxter International Inc's  nutritional supplement Clinolipid, moving quickly to alleviate a drug shortage. ~
XOM,Exxon secures extra $1.5 bln financing for PNG LNG PERTH, Oct 4 Exxon Mobil has secured an additional $1.5 billion in debt financing for its $19 billion Papua New Guinea liquefied natural gas (LNG) project, its project partner Oil Search said on Friday. ~
FB.O,Mario's Tweets: Twitter celebrity name-dropping reflects novel IPO risk SAN FRANCISCO Celebrity chef Mario Batali landed on a new promotional platform this week, one that was regulatory rather than razzle-dazzle: the opening pages of Twitter's 234-page document on its initial public offering. ~REFILE-Mario's Tweets: Twitter celebrity name-dropping reflects novel IPO risk SAN FRANCISCO, Oct 4 Celebrity chef Mario Batali landed on a new promotional platform this week, one that was regulatory rather than razzle-dazzle: the opening pages of Twitter's 234-page document on its initial public offering. ~UPDATE 4-Twitter reveals rip-roaring growth, big losses ahead of IPO SAN FRANCISCO, Oct 3 Twitter Inc, racing toward the largest Silicon Valley IPO since Facebook Inc's 2012 coming-out party, hopes to woo investors with rip-roaring revenue growth despite having posted big losses over the past three years. ~
GM,GM launches new employee pricing program DETROIT, Oct 4 General Motors Co has rolled out a new program to simplify the pricing discounts its employees and retirees receive when buying the U.S. automaker's cars and trucks. ~
GS,PRESS DIGEST- Canada- Oct 4 Oct 4 The following are the top stories from selected Canadian newspapers. Reuters has not verified these stories and does not vouch for their accuracy. ~
JPM,JPMorgan's Dimon gives up chairman role at bank subsidiary Oct 3 JPMorgan Chase & Co chairman and CEO Jamie Dimon has given up the title of chairman of the company's main bank subsidiary to conform with a new internal policy on multiple roles. ~
LMT,CORRECTED-Lockheed to furlough 3,000 workers due to U.S. shutdown (Corrects first graph to say 3,000 employees would be furloughed on Monday, not from Monday) ~FACTBOX-U.S. companies affected by government shutdown Oct 4 The U.S. government shutdown, now into its fourth day, is beginning to hit the factory floor as concerns grow about the economic consequences of a prolonged stalemate in Congress. ~
MRO,Oil companies wonder if North Africa is really worth it LONDON Two years of turmoil since the Arab Spring and some of the toughest terms in the business have led international oil companies to reassess their role in North Africa, with U.S. firms looking keenest to leave. ~
HSY,Hershey to invest $250 mln in Malaysia Oct 4 Hershey Co, North America's biggest chocolate maker, said it would invest $250 million to build a manufacturing plant in Malaysia, its biggest investment in Asia. ~
TSN,UPDATE 1-Tyson to use private data to price hogs during U.S. shutdown CHICAGO, Oct 4 Top U.S. meat packer Tyson Foods Inc told hog producers that it had developed an alternative formula to determine the price it pays for hogs since U.S. Department of Agriculture's market prices have been suspended due to the government shutdown on Oct. 1. ~Tyson to use private data to price hogs during gov't shutdown CHICAGO, Oct 4 Top U.S. meat packer Tyson Foods Inc told hog producers in a letter late Thursday that it has developed an alternative formula to determine the price it pays for hogs since USDA market prices have been suspended due to the government shutdown on Oct. 1. ~
WHR,INSIGHT-Americans eye cheap home refueling for natural gas cars NEW YORK, Oct 4 When Connie Jones arrives home from her job as an information technology manager in Chandler, Arizona, she parks her car in her garage and fills it up with natural gas. It is a convenience that relatively few Americans can enjoy. ~
