AMZN.O,Tech companies ramp up NAFTA lobbying on eve of trade talks WASHINGTON Technology companies, such as Microsoft  and Cisco Systems   have ramped up lobbying ahead of talks to renegotiate the North American Free Trade Agreement, looking to avoid any future restrictions on cloud storage and to promote an international pact to eliminate technology goods tariffs. ~Tech companies ramp up NAFTA lobbying on eve of trade talks WASHINGTON, Aug 15 Technology companies, such as Microsoft and Cisco Systems  have ramped up lobbying ahead of talks to renegotiate the North American Free Trade Agreement, looking to avoid any future restrictions on cloud storage and to promote an international pact to eliminate technology goods tariffs. ~Amazon adds 'Instant Pickup' in U.S. brick-and-mortar push BERKELEY, Calif Amazon.com Inc is rolling out U.S. pickup points where shoppers can retrieve items immediately after ordering them, shortening delivery times from hours to minutes in its latest move into brick-and-mortar retail. | Video  ~UPDATE 1-Amazon adds 'Instant Pickup' in U.S. brick-and-mortar push BERKELEY, Calif. Aug 15 Amazon.com Inc is rolling out U.S. pickup points where shoppers can retrieve items immediately after ordering them, shortening delivery times from hours to minutes in its latest move into brick-and-mortar retail. ~TJX among few bright spots in glum U.S. retail sector TJX Cos Inc's  quarterly performance was one of the few bright spots in the gloomy U.S. retail environment, proving that the company's off-price business model was luring shoppers even as competition from Amazon.com Inc  intensifies. ~BRIEF-Amazon.com says introduced Instant Pickup in five U.S. locations * instant pickup will deliver selection of daily essentials available for pickup in two minutes or less at five of Amazon's locations ~Amazon opens 'Instant Pickup' points in U.S. brick-and-mortar push BERKELEY, Ca. Aug 15 Amazon.com Inc is rolling out pickup points in the United States where shoppers can retrieve items immediately after ordering them, shortening delivery times from hours to minutes, the company said on Tuesday. ~BRIEF-Amazon.com announces private offering of senior unsecured notes * Amazon.com announces private offering of senior unsecured notes ~BRIEF-Yuan Longping High-tech Agriculture to invest up to $400 mln for stake in Amazon Agri Biotech HK Aug 15 Yuan Longping High-tech Agriculture Co Ltd ~
AIG,AIG shops $2 billion death benefits portfolio -sources Aug 15 American International Group Inc wants to sell a $2 billion portfolio of life insurance policies that would pay out when sick or elderly customers die, two people familiar with the matter said. ~
AAPL.O,UPDATE 2-Apple sets record with C$2.5 bln Maple bond market issue TORONTO, Aug 15 Apple Inc priced its C$2.5 billion ($1.96 billion) in seven-year bonds in a Canadian-dollar-denominated issue, one of the joint book-running managers said on Tuesday, setting a record amount for an issuer in the Maple bond market. ~BRIEF-Apple Inc files final pricing term sheet related to C$2.5 bln notes offering * Apple Inc files final pricing term sheet with U.S. SEC related to C​$2.5 billion offering of 2.513% notes due 2024 ~Apple plans to sell C$2.5 bln in bonds in Canada-IFR TORONTO, Aug 15 Apple Inc plans to sell C$2.5 billion ($1.96 billion) in bonds in a Canadian dollar-denominated issue, which would be a record amount for a foreign issuer in Maple bond market, Thomson Reuters IFR reported on Tuesday. ~BRIEF-Apple files for potential offering of Canadian dollar notes due 2024 size undisclosed - SEC Filing‍​ * Apple Inc files for potential offering of Canadian dollar notes due 2024; size undisclosed - SEC filing‍​ Source text: (http://bit.ly/2fHrUCz) Further company coverage: ~
BRKa.N,Deals of the day-Mergers and acquisitions Aug 15 The following bids, mergers, acquisitions and disposals were reported by 1000 GMT on Tuesday: ~PRESS DIGEST - Wall Street Journal - Aug 15 Aug 15 The following are the top stories in the Wall Street Journal. Reuters has not verified these stories and does not vouch for their accuracy. ~
BMY,UPDATE 1-Bristol-Myers kidney cancer drug fails late-stage trial Aug 15 Bristol-Myers Squibb Co said on Tuesday its combination drug to treat previously untreated patients with advanced or metastatic renal cell carcinoma, a type of kidney cancer, failed to meet one of the main goals of a late-stage trial. ~Bristol-Myers kidney cancer drug fails late-stage trial Aug 15 Bristol-Myers Squibb Co said on Tuesday its combination drug to treat previously untreated patients with advanced or metastatic renal cell carcinoma, a type of kidney cancer, failed to meet one of the main goals of a late-stage trial. ~BRIEF-Bristol-Myers Squibb announces topline results * Bristol-Myers Squibb announces topline results from checkmate -214, a phase 3 study of opdivo in combination with yervoy in intermediate and poor-risk patients with previously untreated advanced or metastatic renal cell carcinoma ~
CNC,UPDATE 1-Centene to sell Obamacare plans in Nevada next year Aug 15 Centene Corp, one of the largest players in the Obamacare individual insurance market, said it would offer Obamacare plans in Nevada in 2018. ~Centene to sell Obamacare plans in Nevada next year - report Aug 15 Centene Corp, one of the largest players in the Obamacare individual insurance market, will offer Obamacare plans in 14 rural counties of Nevada in 2018, the Nevada Independent reported, citing people familiar with the matter. (http://bit.ly/2w76jKR) ~
CSCO.O,Tech companies ramp up NAFTA lobbying on eve of trade talks WASHINGTON, Aug 15 Technology companies, such as Microsoft and Cisco Systems  have ramped up lobbying ahead of talks to renegotiate the North American Free Trade Agreement, looking to avoid any future restrictions on cloud storage and to promote an international pact to eliminate technology goods tariffs. ~
COH,UPDATE 5-Handbag maker Coach's retreat from dept. stores hits outlook Aug 15 Coach Inc's full-year revenue forecast missed Wall Street estimates as the handbag maker's strategy to limit exposure to the troubled department store sector takes a toll on sales, sending its shares tumbling 14 percent. ~BRIEF-Coach expects to open 20-25 net Kate Spade stores in FY18, mainly in outlet channel * CEO on Conf call- Q4 sales in Japan decreased due to fewer Chinese tourists and as company continues to cut down on distribution ~Coach's quarterly profit nearly doubles Aug 15 Coach Inc reported a quarterly profit that nearly doubled, helped by strong demand for Stuart Weitzman shoes and for its handbag and accessories in North America. ~BRIEF-Coach Inc Q4 earnings per share $0.53 * Coach Inc reports fiscal 2017 fourth quarter and full year results ~
CSX.O,Trade groups call on U.S. to investigate CSX rail disruptions Aug 15 Dozens of U.S. trade groups have asked federal rail regulators to investigate CSX Corp's "chronic service failures," saying problems at No. 3 U.S. railroad have rippled across the North American rail network, according to a letter seen by Reuters. ~
EXPE.O,Online travel firm Despegar aims to raise $100 mln in IPO Aug 15 Latin American online travel provider Despegar.com Corp on Tuesday filed to raise up to $100 million in an initial public offering on the New York Stock Exchange. ~
FB.O,UPDATE 1-Schibsted's sales outlook not threatened by Facebook launch -CFO OSLO, Aug 15 Facebook's launch of its Marketplace e-commerce service in 17 European countries this week hit the shares of classified adds group Schibsted on Tuesday, but the Norwegian company said it was unlikely to affect its sales outlook. ~Schibsted's revenue outlook not threatened by Facebook launch -CFO OSLO, Aug 15 Facebook's launch of its Marketplace e-commerce service in 17 European countries is unlikely to impact the revenues of online classified adds provider Schibsted, the Norwegian company told Reuters on Tuesday. ~
HD,US STOCKS-Wall St steady; economic data offsets retailer results * Indexes: Dow up 0.1 pct, S&P; up 0.01 pct, Nasdaq down 0.1 pct (Updates to late afternoon) ~Looming housing slowdown clouds Home Depot's strong results Home Depot Inc  raised its full-year forecasts but concerns over a looming slowdown in the U.S. housing market due to supply constraints weighed on the retailer's stock. | Video  ~UPDATE 5-Looming housing slowdown clouds Home Depot's strong results * Shares fall as much as 3.9 percent to $148.30 (Adds Breakingviews link) ~US STOCKS-Wall St little changed as discretionary stocks weigh * Indexes up: Dow 0.04 pct, S&P; 0.01 pct, Nasdaq 0.05 pct (Updates to early afternoon) ~BRIEF-Home Depot on conf call- Q2 big-ticket transactions up 12.4% * On conf call- pro sales once again outpaced diy sales in Q2 ~US STOCKS-Wall St little changed as retail, energy stocks weigh * Dow up 0.03 pct, S&P; off 0.05 pct, Nasdaq down 0.08 pct (Adds details, changes comment, updates prices) ~US STOCKS-Wall St opens flat as North Korea tensions fade * Indexes up: Dow 0.13 pct, S&P; 0.05 pct, Nasdaq 0.02 pct (Updates to open) ~BRIEF-Home Depot Q2 earnings per share $2.25 * The Home Depot announces second quarter results; updates fiscal year 2017 guidance ~
LH,BRIEF-Labcorp files for potential mixed shelf offering ‍​ * Files for potential mixed shelf offering; size not disclosed - sec filing‍​ Source text for Eikon: Further company coverage: ~
MRK,Three CEOs resign from Trump council over Charlottesville The chief executives of Intel Corp, Merck & Co Inc and Under Armour Inc resigned from U.S. President Donald Trump's American Manufacturing Council on Monday, following Trump's initially tepid response to weekend violence at a rally of white supremacists in Charlottesville, Virginia. | Video  ~UPDATE 10-Three CEOs resign from Trump council over Charlottesville Aug 14 The chief executives of Intel Corp , Merck & Co Inc and Under Armour Inc resigned from U.S. President Donald Trump's American Manufacturing Council on Monday, following Trump's initially tepid response to weekend violence at a rally of white supremacists in Charlottesville, Virginia. ~
MSFT.O,Tech companies ramp up NAFTA lobbying on eve of trade talks WASHINGTON, Aug 15 Technology companies, such as Microsoft and Cisco Systems  have ramped up lobbying ahead of talks to renegotiate the North American Free Trade Agreement, looking to avoid any future restrictions on cloud storage and to promote an international pact to eliminate technology goods tariffs. ~U.S. judge says LinkedIn cannot block startup from public profile data SAN FRANCISCO A U.S. federal judge on Monday ruled that Microsoft Corp's  LinkedIn unit cannot prevent a startup from accessing public profile data, in a test of how much control a social media site can wield over information its users have deemed to be public. ~UPDATE 2-U.S. judge says LinkedIn cannot block startup from public profile data SAN FRANCISCO, Aug 14 A U.S. federal judge on Monday ruled that Microsoft Corp's LinkedIn unit cannot prevent a startup from accessing public profile data, in a test of how much control a social media site can wield over information its users have deemed to be public. ~
PX,Linde says acceptance period for Praxair merger starts FRANKFURT, Aug 15 German industrial gases group Linde said the 10-week acceptance period for its proposed $74 billion merger with U.S. peer Praxair started on Tuesday and would run through Oct. 24. ~
TJX,BRIEF-TJX reports Q2 earnings per share of $0.85 * Qtrly consolidated comp store sales increased 3% over last year's 4% increase‍​ ~Off-price retailer TJX posts better-than-expected comparable sales Aug 15 TJX Cos Inc, the owner of off-price retail chains T.J. Maxx and Marshalls, reported a better-than-expected increase in quarterly sales at established stores as discounts attracted more shoppers. ~
UA,UPDATE 10-Three CEOs resign from Trump council over Charlottesville Aug 14 The chief executives of Intel Corp , Merck & Co Inc and Under Armour Inc resigned from U.S. President Donald Trump's American Manufacturing Council on Monday, following Trump's initially tepid response to weekend violence at a rally of white supremacists in Charlottesville, Virginia. ~
VIAB.O,Pink to get Vanguard award at MTV Video Music Awards LOS ANGELES, Aug 15 Pop star Pink has been chosen to receive the 2017 Vanguard Award, MTV's equivalent of a lifetime achievement honor for video music, the U.S. cable and satellite television channel said on Tuesday. ~
WMT,Walmart Chile signs deal with workers, avoiding strike SANTIAGO, Aug 14 Lider, Wal-Mart Stores Inc's main supermarket chain in Chile, has signed a new work contract with its employees, averting a possible strike, the union said on Monday. ~
WFC,BRIEF-Wells Fargo announces board changes * Wells Fargo & Co - ‍elizabeth Duke to succeed Stephen Sanger as independent board chair​ ~
