GOOGL.O,UPDATE 1-Google to release monthly data on self-driving car accidents June 5 Google Inc said it would give monthly updates of accidents involving its driverless cars. ~CORRECTED-Google to release monthly data on self-driving car accidents June 5 Google Inc said it would give monthly updates of accidents involving its driverless cars. ~
GOOG.O,UPDATE 1-Google to release monthly data on self-driving car accidents June 5 Google Inc said it would give monthly updates of accidents involving its driverless cars. ~CORRECTED-Google to release monthly data on self-driving car accidents June 5 Google Inc said it would give monthly updates of accidents involving its driverless cars. ~
AAPL.O,Apple set to introduce Apple Pay in Britain -Telegraph June 6 Apple is planning to introduce its mobile payment system, Apple Pay, to Britain this summer, The Telegraph reported on Saturday, citing industry sources. ~No transaction fee for Google on mobile phone payments -WSJ June 6 Google's new mobile phone payment service, Android Pay, will not garner any transaction fees from credit card companies, which may put pressure on competitor Apple to drop or lower its charges, the Wall Street Journal reported. ~Exclusive: In 'year of Apple Pay', many top retailers remain skeptical CHICAGO In a January earnings call with investors, Apple Inc  Chief Executive Tim Cook made a confident prediction: "2015 will be the year of Apple Pay," he said. | Video  ~
CVX,Three more tendons sink at Chevron's Big Foot site in U.S. Gulf June 6 Three more tendons designed to link Chevron Corp's Big Foot deepwater oil project to the Gulf of Mexico seabed have sunk, escalating concerns about how long it will take for the project to start. ~
NFLX.O,UPDATE 1-Netflix expands Internet TV service to southern Europe FRANKFURT, June 6 Internet television service Netflix plans to expand into Italy and Portugal later this year, the company said on Saturday, as part of a bid to expand its popular streaming TV service to some 200 countries worldwide within two years. ~Netflix to offer Internet TV service in Italy, Spain FRANKFURT, June 6 Internet TV service Netflix  plans to expand into Italy later this year, the company said on Saturday, as part of a bid to expand its popular streaming television service to some 200 countries worldwide within two years. ~
