BRKa.N,Buffett expresses sympathy, but Berkshire political spending proposal fails OMAHA, Neb. Berkshire Hathaway Inc  shareholders on Saturday rejected a proposal to have the conglomerate run by Warren Buffett disclose its political contributions twice a year. ~Buffett downplays value clash between Berkshire, cost-cutting 3G OMAHA, Neb. Warren Buffett on Saturday downplayed suggestions that Berkshire Hathaway Inc's  partnerships with Brazil's 3G Capital, a renowned cost-cutter, undermined Berkshire's own value system. ~Wells Fargo says agrees with Buffett and is fixing its problems Wells Fargo & Co  agreed with Warren Buffett's blistering comments early Saturday at the annual Berkshire Hathaway meeting, remarking that the company has taken decisive actions regarding recent sales abuse practices. ~Buffett assails Wells Fargo, defends 3G at wide-ranging meeting OMAHA, Neb. Warren Buffett, the chairman of Berkshire Hathaway Inc , on Saturday criticized Wells Fargo & Co  for failing to stop employees from signing up customers for bogus accounts even after learning it was happening, causing a scandal. | Video  ~Highlights: Berkshire's Warren Buffett comments on healthcare, trade, buybacks Billionaire investor Warren Buffett and Berkshire Hathaway  Vice Chairman Charlie Munger are answering five hours of questions from shareholders, journalists and analysts at Berkshire's 52nd annual meeting in Omaha, Nebraska. ~Buffett's praise of Jack Bogle sounds self-serving DALLAS (Reuters Breakingviews) - Warren Buffett respects his elders. During Berkshire Hathaway's  annual shareholder bash in Omaha on Saturday, the 86-year-old Oracle sang the praises of – and delivered early 88th birthday wishes to – Jack Bogle, the Vanguard founder who pioneered low-fee index mutual funds. While the sentiment is undoubtedly genuine, it is also starting to sound a bit self-serving. ~
KSS,RPT-Wall St Weekahead-Old-guard retail back in the cross hairs NEW YORK, May 5 A glance at the U.S. stock market's main measure for the health of retailers suggests all is well among those companies in the business of peddling stuff directly to consumers. ~
KHC.O,Buffett assails Wells Fargo, defends 3G at wide-ranging meeting OMAHA, Neb. Warren Buffett, the chairman of Berkshire Hathaway Inc , on Saturday criticized Wells Fargo & Co  for failing to stop employees from signing up customers for bogus accounts even after learning it was happening, causing a scandal. | Video  ~Buffett's praise of Jack Bogle sounds self-serving DALLAS (Reuters Breakingviews) - Warren Buffett respects his elders. During Berkshire Hathaway's  annual shareholder bash in Omaha on Saturday, the 86-year-old Oracle sang the praises of – and delivered early 88th birthday wishes to – Jack Bogle, the Vanguard founder who pioneered low-fee index mutual funds. While the sentiment is undoubtedly genuine, it is also starting to sound a bit self-serving. ~
M,RPT-Wall St Weekahead-Old-guard retail back in the cross hairs NEW YORK, May 5 A glance at the U.S. stock market's main measure for the health of retailers suggests all is well among those companies in the business of peddling stuff directly to consumers. ~
JWN,RPT-Wall St Weekahead-Old-guard retail back in the cross hairs NEW YORK, May 5 A glance at the U.S. stock market's main measure for the health of retailers suggests all is well among those companies in the business of peddling stuff directly to consumers. ~
REGN.O,Regeneron shares poised for rebound - Barron's May 7 Shares of Regeneron Pharmaceuticals Inc , which tumbled 32 percent in 2016, are poised for a rebound, the financial newspaper Barron's said. ~
