AMGN.O,UPDATE 1-Amgen seeks FDA approval for monthly dosing option for Repatha Sept 11 Amgen Inc said on Friday it had asked the U.S. Food and Drug Administration to approve a monthly single-dosing option for its recently approved cholesterol drug, Repatha. ~Amgen seeks FDA approval for monthly dosing option for Repatha Sept 11 Amgen Inc said it had asked the U.S. Food and Drug Administration to approve a monthly single-dosing option for its recently approved cholesterol drug, Repatha. ~BRIEF-AstraZeneca buys manufacturing facility in U.S. from Amgen * Purchases us biologics manufacturing facility to support growing pipeline ~
AAPL.O,Verizon says TV streaming could be added to new mobile video service LAS VEGAS If Verizon's new mobile video service go90 succeeds in grabbing the attention of millenials who increasingly watch content on mobile devices, a streaming option for TVs could be next. ~
BAC,Equity funds shed $46 bln in four-week run of outflows -BAML LONDON, Sept 11 Investors pulled another $19 billion from equity funds over the past week as they sought safety in government bond funds, which have enjoyed the longest run of inflows in four years, Bank of America/Merrill Lynch said on Friday. ~
C,Chicago convention center to sell $222 mln of bonds after downgrade Sept 11 A Chicago convention center authority will sell $222 million of bonds in the U.S. municipal market next week, just over a month after its ratings plummeted due to Illinois' budget impasse. ~
CMCSA.O,Shyamalan creeps into micro-budget horror with 'The Visit' LOS ANGELES, Sept 11 Nana and Pop Pop seem like the perfect grandparents. They bake cookies, go for long walks and volunteer at a local psychiatric hospital. But after the sun goes down, things get weird in M. Night Shyamalan's latest horror movie, "The Visit." ~
GS,GLOBAL MARKETS-Oil falls on Goldman call, stocks mixed before Fed meeting * Dollar drifts before possible U.S. rate hike   (Adds close of U.S. markets) ~Oil ends down about 2 percent as Goldman Sachs cuts price forecast NEW YORK Crude futures fell 2 percent or more on Friday after influential Wall Street trader Goldman Sachs cut its outlook on oil, but positive sentiment from rebounding U.S. stock prices and less drilling for oil helped the market pare losses. ~UPDATE 12-Oil ends down about 2 pct as Goldman Sachs cuts price forecast * Goldman cuts 2015, 2016 outlook; Commerzbank also pares forecast ~GLOBAL MARKETS-Oil slumps on Goldman call, stocks mixed before Fed meeting * Dollar drifts before possible U.S. rate hike   (Adds oil settlement prices) ~GLOBAL MARKETS-Oil slumps on Goldman call, stocks steady before Fed meeting * Dollar drifts before possible U.S. rate hike   (Adds close of European bond, stock markets) ~Goldman, Commerzbank cut oil forecasts on oversupply Goldman Sachs and Germany's Commerzbank slashed their forecasts for oil prices on Friday, citing global oversupply and worries about top energy consumer China. | Video  ~GLOBAL MARKETS-Oil slumps on Goldman call, stocks dip before Fed meeting * Dollar drifts before possible U.S. rate hike   (Adds U.S. market open, byline, dateline; previous LONDON) ~Goldman cuts oil price forecasts on oversupply, China slowdown Goldman Sachs said it expects oil prices to tumble further this year on rising OPEC production and recovering non-OPEC supply, which is expected to outstrip demand. ~China central bank seen ready to intervene again if offshore pushes yuan too far HONG KONG A spike higher in the offshore yuan following suspected rare intervention by Chinese state banks is expected to be short-lived, especially with a looming U.S. interest rate rise likely to add to the attraction of owning dollars. ~
HARJ.J,BRIEF-Harmony Gold to consider reverse split for NYSE-listed ADRs * Notified by NYSE on 8 Sept 2015 that trading price of co's adrs has fallen below nyse's continued listing standard ~
IBM,SEC can pursue insider trading case against brokers -judge NEW YORK, Sept 11 Two New York stockbrokers must still face civil insider trading charges brought by U.S. securities regulators, a U.S. judge ruled on Friday, despite a landmark appellate ruling that torpedoed the criminal case against them. ~
KR,UPDATE 2-Kroger profit beats estimates on lower costs, raises forecast * Raises full-year EPS forecast to $1.92-$1.98 from $1.90-$1.95 ~Kroger quarterly profit up 25 pct Sept 11 Kroger Co, the biggest U.S. supermarket operator, reported a 25 percent rise in quarterly profit, helped by lower operating expenses and higher fuel margins. ~
MSFT.O,Microsoft names general counsel Brad Smith as chief legal officer Sept 11 Microsoft Corp on Friday appointed its general counsel, Brad Smith, as the company's president and chief legal officer, effective Friday. ~
MDLZ.O,UPDATE 2-Pershing Square's Ackman tells CNBC Mondelez could be takeover target NEW YORK, Sept 11 William Ackman, head of hedge fund firm Pershing Square Capital Management, said on Friday that stocks were cheap at current levels and that Mondelez International Inc could be an acquisition target. ~
MON,CORRECTED-French court confirms Monsanto liable in chemical poisoning case LYON/PARIS, France, Sept 10 A French court upheld on Thursday a 2012 ruling in which Monsanto was found to be liable in the chemical poisoning of a French farmer, who says he suffered neurological problems after inhaling the U.S. biotech company's Lasso weedkiller. ~
MS,China central bank seen ready to intervene again if offshore pushes yuan too far HONG KONG A spike higher in the offshore yuan following suspected rare intervention by Chinese state banks is expected to be short-lived, especially with a looming U.S. interest rate rise likely to add to the attraction of owning dollars. ~
PEP,UPDATE 1-PepsiCo expands availability of soda caps for SodaStream machines Sept 11 PepsiCo Inc said it would offer caps filled with Pepsi and Sierra Mist drink mixes for at-home soda machines made by SodaStream International Ltd on more platforms as it tests the homemade beverages market for its products. ~PepsiCo deepens ties with SodaStream for homemade products Sept 11 PepsiCo Inc said it will expand its partnership with at-home soda machine maker SodaStream International Ltd to offer caps filled with Pepsi and Sierra Mist to flavor water carbonated by SodaStream machines. ~
