GOOGL.O,Waymo working on self-driving trucks Alphabet Inc's  self-driving car unit Waymo is working on developing self-driving trucks, the company said on Thursday. ~Waymo working on self-driving trucks June 1 Alphabet Inc's self-driving car unit Waymo is working on developing self-driving trucks, the company said on Thursday. ~
GOOG.O,Waymo working on self-driving trucks Alphabet Inc's  self-driving car unit Waymo is working on developing self-driving trucks, the company said on Thursday. ~Waymo working on self-driving trucks June 1 Alphabet Inc's self-driving car unit Waymo is working on developing self-driving trucks, the company said on Thursday. ~
AMZN.O,Apple set to expand Siri, taking different route from Amazon's Alexa June 2 Apple Inc is expected to announce plans next week to make its Siri voice assistant work with a larger variety of apps, as the technology company looks to counter the runaway success of Amazon.com Inc's competing Alexa service. ~Wal-Mart reassures employees as it touts tech investments FAYETTEVILLE, Ark., June 2 Wal-Mart Stores Inc executives on Friday reassured workers they remained integral to the company's success as they highlighted investments in online sales and other technology to compete with rivals like Amazon.com Inc. ~BRIEF-Amazon fulfillment center to open in Fresno, California * Amazon fulfillment center to open in Fresno, California Source text for Eikon: Further company coverage: ~
APA,CANADA STOCKS-TSX down as lower oil prices weigh on energy stocks TORONTO, June 2 Canada's main stock index fell on Friday, weighed by weakness in energy stocks due to lower oil prices and a drop in heavyweight financial shares after U.S. jobs growth came in below expectations. ~
AAPL.O,Apple set to expand Siri, taking different route from Amazon's Alexa June 2 Apple Inc is expected to announce plans next week to make its Siri voice assistant work with a larger variety of apps, as the technology company looks to counter the runaway success of Amazon.com Inc's competing Alexa service. ~EU regulators say Qualcomm has not offered concessions in NXP bid BRUSSELS U.S. smartphone chipmaker Qualcomm  has not offered any concessions so far in its $38-billion bid for NXP Semiconductors , EU antitrust regulators said on Friday, increasing the risk of a lengthy investigation into the deal. ~Chipmakers at Taiwan's biggest tech fair look beyond crowded smartphone market TAIPEI Chipmakers switched focus at Taiwan's top tech fair this week with bets on new areas such as driverless cars, virtual reality and artificial intelligence, shifting away from smartphones where intense competition has pushed down components prices. ~Chipmakers at Taiwan's biggest tech fair look beyond crowded smartphone market * Driverless cars, gaming technologies seen as growth markets ~
T,BRIEF-AT&T; to acquire Vyatta Software Technology from Brocade * AT&T; Inc - intends to hire certain Brocade employees associated with that business ~
BLK,U.S. May jobs data seen supporting bond market - BlackRock NEW YORK, June 2 The U.S. May payrolls report which showed hiring slowed more than forecast would underpin demand for U.S. bonds in the near term, a top bond executive at BlackRock, the world's largest asset manager said on Friday. ~
BA,UPDATE 2-Boeing delays delivery of third 737 MAX jetliner SEATTLE, June 2 Boeing Co said on Friday it had delayed the delivery of its third 737 MAX jetliner, set for next week to Norwegian Air Shuttle, to resolve a technical issue. ~BRIEF-Boeing says fully expect to deliver later this month 737 max to Norwegian Air Shuttle * Boeing says fully expect to deliver later this month 737 max to Norwegian Air Shuttle Further company coverage: ~BRIEF-Boeing to delay Norwegian Air's delivery of its first 737 max * Norwegian air says Boeing has informed co that the delivery of its first 737 max is postponed until the end of June‍​ ~Aeroflot says new Russian jet 'serious' competitor to Boeing, Airbus ST PETERSBURG, Russia Russia's new MS-21 passenger plane, its first domestically-built mainline commercial aircraft since the collapse of the Soviet Union, is a serious venture capable of competing with industry heavyweights Airbus  and Boeing , the head of national airline Aeroflot  told Reuters on Friday. ~
BMY,BRIEF-Bristol-Myers Squibb and Seattle Genetics expand collaboration to evaluate combination of opdivo and adcetris * Bristol-Myers Squibb and Seattle Genetics expand clinical collaboration to evaluate combination of opdivo (nivolumab) and adcetris® (brentuximab vedotin) in pivotal phase 3 clinical trial in relapsed hodgkin lymphoma ~
CVX,BRIEF-Shell buys Chevron's Trinidad and Tobago assets for $250 mln ** Royal Dutch Shell has agreed to acquire Chevron's assets in Trinidad and Tobago, including its holdings in the East Coast Marine Area Blocks 6, 5a and E, the company said ~
C,Stress test relief tops bank wish list ahead of Trump's rule review As Wall Street awaits President Donald Trump's vision for financial regulation, big U.S. banks are pushing for a lucrative change his appointees can execute without a legislative fight: easing annual stress tests. ~Stress test relief tops bank wish list ahead of Trump's rule review June 2 As Wall Street awaits President Donald Trump's vision for financial regulation, big U.S. banks are pushing for a lucrative change his appointees can execute without a legislative fight: easing annual stress tests. ~
CAG,Conagra's talks to acquire Pinnacle Foods end with no deal -source June 2 Reddi-wip whipped cream owner Conagra Brands Inc has concluded talks to acquire Pinnacle Foods Inc, the maker of packaged foods such as Vlasic pickles, after failing to agree on a price, a person familiar with the matter said on Friday. ~
STZ,BRIEF-Constellation Brands CEO Robert Sands' FY 2017 total compensation was $9.6 mln vs $9.3 mln in FY 2016 * CEO Robert Sands' FY 2017 total compensation was $9.6 million versus $9.3 million in FY 2016 - sec filing ~
DLTR.O,Dollar Express sues Dollar Tree for driving it out of business WASHINGTON U.S. discount retailer Dollar Express has filed a lawsuit accusing rival Family Dollar and its parent company Dollar Tree Inc  of driving it out of business, the third government-required divestiture to fail in recent years. ~Dollar Express sues Dollar Tree for driving it out of business WASHINGTON, June 2 U.S. discount retailer Dollar Express has filed a lawsuit accusing rival Family Dollar and its parent company Dollar Tree Inc of driving it out of business, the third government-required divestiture to fail in recent years. ~
XOM,NY prosecutor says Exxon misled investors on climate change NEW YORK New York's top prosecutor on Friday accused Exxon Mobil of misleading investors about how it accounts for climate change risks, court filings show, offering a rare look inside an ongoing fraud investigation as it pressed the company to turn over more documents. ~New York prosecutor says Exxon misled investors on climate change NEW YORK New York's top prosecutor on Friday accused Exxon Mobil of misleading investors about how it accounts for climate change risks, court filings show, offering a rare look inside an ongoing fraud investigation as it pressed the company to turn over more documents. ~UPDATE 3-NY prosecutor says Exxon misled investors on climate change NEW YORK, June 2 New York's top prosecutor on Friday accused Exxon Mobil of misleading investors about how it accounts for climate change risks, court filings show, offering a rare look inside an ongoing fraud investigation as it pressed the company to turn over more documents. ~Investors expect to meet with Exxon on climate: impact report HOUSTON Exxon Mobil Corp  investors will push to meet with oil company officials this summer to hash out elements of a climate-impact analysis following a shareholder vote calling for studies of technology and climate-related risks to its business. ~GLOBAL LNG-Prices inch lower as Gorgon plant restarts production June 2 Asian spot LNG prices edged lower this week as the early restart of Chevron's Gorgon production facility in Australia weighed on sentiment, projects offered supply and demand from Japan stayed weak. ~NY prosecutor says Exxon's climate change math 'may be a sham' NEW YORK, June 2 New York's top prosecutor on Friday increased pressure on Exxon Mobil to turn over records of internal assessments of the risks global warming poses to its businesses, claiming to already have evidence of "potential materially false and misleading statements by Exxon," court filings show. ~BRIEF-New York AG alleges Exxon misled investors on climate- WSJ * New York AG claims Exxon used internal climate risk figures that differed from public statements- WSJ, citing court papers Source http://on.wsj.com/2rsaeN2 ~
GS,Spotify stock listing could be within a year: source STOCKHOLM Streaming music service Spotify could be floated within a year, a source familiar with the matter told Reuters on Friday, after co-founder Martin Lorentzon told Swedish radio a listing was not in the pipeline. ~UPDATE 1-Spotify stock listing could be within a year-source STOCKHOLM, June 2 Streaming music service Spotify could be floated within a year, a source familiar with the matter told Reuters on Friday, after co-founder Martin Lorentzon told Swedish radio a listing was not in the pipeline. ~Goldman Sachs applies for Saudi equities trading license: sources DUBAI Goldman Sachs  has applied to Saudi Arabia's capital markets regulator for a license to trade equities in the kingdom, two sources familiar with the move said, in the latest step by Western banks to expand operations in the country. ~Goldman Sachs applies for Saudi equities trading licence-sources DUBAI, June 2 Goldman Sachs has applied to Saudi Arabia's capital markets regulator for a licence to trade equities in the kingdom, two sources familiar with the move said, in the latest step by Western banks to expand operations in the country. ~
MS,Morgan Stanley shuffles wealth management unit Morgan Stanley  has shuffled its wealth unit, eliminating a layer of management and promoting two key executives, according to a memo reviewed by Reuters on Friday. ~UPDATE 1-Morgan Stanley shuffles wealth management unit June 2 Morgan Stanley has shuffled its wealth unit, eliminating a layer of management and promoting two key executives, according to a memo reviewed by Reuters on Friday. ~Morgan Stanley shuffles wealth management unit June 2 Morgan Stanley has shuffled its wealth unit, eliminating a layer of management and promoting two key executives, according to a memo reviewed by Reuters on Friday. ~Spotify stock listing could be within a year: source STOCKHOLM Streaming music service Spotify could be floated within a year, a source familiar with the matter told Reuters on Friday, after co-founder Martin Lorentzon told Swedish radio a listing was not in the pipeline. ~
